	time	count
0	0.0010	28709
1	0.0011	61527
2	0.0012	78990
3	0.0013	95269
4	0.0014	54655
5	0.0015	122083
6	0.0016	66888
7	0.0017	69585
8	0.0018	147342
9	0.0019	77224
10	0.0020	79528
11	0.0021	81598
12	0.0022	83439
13	0.0023	84463
14	0.0024	171904
15	0.0025	87865
16	0.0026	89005
17	0.0027	90005
18	0.0028	90900
19	0.0029	91117
20	0.0030	91813
21	0.0031	92490
22	0.0032	93097
23	0.0033	93630
24	0.0034	94116
25	0.0035	89731
26	0.0036	87480
27	0.0037	88262
28	0.0038	89297
29	0.0039	90265
30	0.0040	91123
31	0.0041	91878
32	0.0042	92003
33	0.0043	92597
34	0.0044	93186
35	0.0045	93728
36	0.0046	94197
37	0.0047	94065
38	0.0048	94420
39	0.0049	94801
40	0.0050	95137
41	0.0051	95430
42	0.0052	95157
43	0.0053	95394
44	0.0054	95662
45	0.0055	95906
46	0.0056	95589
47	0.0057	191762
48	0.0058	0
49	0.0059	96184
50	0.0060	191814
51	0.0061	0
52	0.0062	96189
53	0.0063	95819
54	0.0064	95971
55	0.0065	96171
56	0.0066	95821
57	0.0067	95984
58	0.0068	96179
59	0.0069	95811
60	0.0070	95972
61	0.0071	96168
62	0.0072	95803
63	0.0073	95961
64	0.0074	95618
65	0.0075	95736
66	0.0076	93959
67	0.0077	94109
68	0.0078	93947
69	0.0079	94320
70	0.0080	94167
71	0.0081	94516
72	0.0082	94331
73	0.0083	94655
74	0.0084	94461
75	0.0085	94227
76	0.0086	94552
77	0.0087	94367
78	0.0088	94162
79	0.0089	94508
80	0.0090	94328
81	0.0091	94089
82	0.0092	93903
83	0.0093	94258
84	0.0094	94095
85	0.0095	93906
86	0.0096	93746
87	0.0097	93590
88	0.0098	93454
89	0.0099	93873
90	0.0100	93770
91	0.0101	93614
92	0.0102	93477
93	0.0103	93348
94	0.0104	93243
95	0.0105	93142
96	0.0106	93023
97	0.0107	92944
98	0.0108	93418
99	0.0109	93361
100	0.0110	93259
101	0.0111	93167
102	0.0112	93079
103	0.0113	93003
104	0.0114	92923
105	0.0115	92918
106	0.0116	91444
107	0.0117	91374
108	0.0118	91468
109	0.0119	92111
110	0.0120	92200
111	0.0121	92195
112	0.0122	92206
113	0.0123	92220
114	0.0124	92230
115	0.0125	92236
116	0.0126	92247
117	0.0127	92260
118	0.0128	92274
119	0.0129	92274
120	0.0130	92269
121	0.0131	92260
122	0.0132	92819
123	0.0133	92829
124	0.0134	92786
125	0.0135	92751
126	0.0136	92684
127	0.0137	92648
128	0.0138	92618
129	0.0139	92597
130	0.0140	92572
131	0.0141	92546
132	0.0142	92529
133	0.0143	92500
134	0.0144	92472
135	0.0145	92450
136	0.0146	92442
137	0.0147	92978
138	0.0148	92966
139	0.0149	92906
140	0.0150	92843
141	0.0151	92789
142	0.0152	92738
143	0.0153	92689
144	0.0154	92653
145	0.0155	92574
146	0.0156	90129
147	0.0157	91010
148	0.0158	92170
149	0.0159	93266
150	0.0160	94260
151	0.0161	95139
152	0.0162	95926
153	0.0163	96634
154	0.0164	195042
155	0.0165	98255
156	0.0166	98689
157	0.0167	99664
158	0.0168	100015
159	0.0169	100267
160	0.0170	100480
161	0.0171	100685
162	0.0172	100863
163	0.0173	101010
164	0.0174	101144
165	0.0175	101276
166	0.0176	101382
167	0.0177	101475
168	0.0178	101567
169	0.0179	101618
170	0.0180	101698
171	0.0181	101756
172	0.0182	101815
173	0.0183	101880
174	0.0184	0
175	0.0185	0
176	0.0186	101885
