	time	count
0	0.0010	0
1	0.0011	3103
2	0.0012	10011
3	0.0013	10302
4	0.0014	6109
5	0.0015	13492
6	0.0016	7585
7	0.0017	16507
8	0.0018	8874
9	0.0019	9149
10	0.0020	9498
11	0.0021	19926
12	0.0022	10391
13	0.0023	10638
14	0.0024	10961
15	0.0025	11066
16	0.0026	11238
17	0.0027	11385
18	0.0028	11537
19	0.0029	11660
20	0.0030	23607
21	0.0031	11905
22	0.0032	12003
23	0.0033	12094
24	0.0034	12160
25	0.0035	12232
26	0.0036	12225
27	0.0037	12284
28	0.0038	12329
29	0.0039	12388
30	0.0040	12435
31	0.0041	12403
32	0.0042	12025
33	0.0043	11840
34	0.0044	11921
35	0.0045	12018
36	0.0046	12021
37	0.0047	12103
38	0.0048	12189
39	0.0049	12252
40	0.0050	12323
41	0.0051	12368
42	0.0052	12420
43	0.0053	12461
44	0.0054	12425
45	0.0055	12469
46	0.0056	12520
47	0.0057	12553
48	0.0058	12564
49	0.0059	12600
50	0.0060	12635
51	0.0061	12582
52	0.0062	12593
53	0.0063	12619
54	0.0064	12563
55	0.0065	12589
56	0.0066	12545
57	0.0067	12563
58	0.0068	12588
59	0.0069	12540
60	0.0070	12567
61	0.0071	12519
62	0.0072	12536
63	0.0073	12499
64	0.0074	12598
65	0.0075	12558
66	0.0076	12585
67	0.0077	12525
68	0.0078	12480
69	0.0079	12515
70	0.0080	12478
71	0.0081	12506
72	0.0082	12461
73	0.0083	12226
74	0.0084	12186
75	0.0085	12245
76	0.0086	12221
77	0.0087	12203
78	0.0088	12188
79	0.0089	12166
80	0.0090	12229
81	0.0091	12218
82	0.0092	12199
83	0.0093	12181
84	0.0094	12162
85	0.0095	12150
86	0.0096	12135
87	0.0097	12118
88	0.0098	12190
89	0.0099	12180
90	0.0100	12168
91	0.0101	12139
92	0.0102	12190
93	0.0103	12182
94	0.0104	12163
95	0.0105	12134
96	0.0106	12122
97	0.0107	12120
98	0.0108	12105
99	0.0109	12095
100	0.0110	12090
101	0.0111	12173
102	0.0112	12160
103	0.0113	12147
104	0.0114	12143
105	0.0115	12134
106	0.0116	12115
107	0.0117	12108
108	0.0118	12102
109	0.0119	12100
110	0.0120	12085
111	0.0121	12088
112	0.0122	12161
113	0.0123	11787
114	0.0124	11898
115	0.0125	12047
116	0.0126	12188
117	0.0127	12305
118	0.0128	12420
119	0.0129	12520
120	0.0130	12606
121	0.0131	12683
122	0.0132	12754
123	0.0133	12822
124	0.0134	12880
125	0.0135	12931
126	0.0136	12966
127	0.0137	12999
128	0.0138	13040
129	0.0139	13071
130	0.0140	13101
131	0.0141	13134
132	0.0142	13155
133	0.0143	13169
134	0.0144	13190
135	0.0145	13210
136	0.0146	13224
137	0.0147	13238
138	0.0148	13253
139	0.0149	13270
140	0.0150	13358
141	0.0151	13363
142	0.0152	13361
143	0.0153	13356
144	0.0154	13363
145	0.0155	13358
146	0.0156	13361
147	0.0157	13364
148	0.0158	13366
149	0.0159	13366
150	0.0160	13370
151	0.0161	13366
152	0.0162	13335
153	0.0163	13141
154	0.0164	13139
155	0.0165	13164
156	0.0166	13186
157	0.0167	13207
158	0.0168	13230
159	0.0169	13244
160	0.0170	13260
161	0.0171	13347
162	0.0172	13357
163	0.0173	13366
164	0.0174	13361
165	0.0175	13366
166	0.0176	13371
167	0.0177	13373
168	0.0178	13378
169	0.0179	13379
170	0.0180	13374
