	time	count
0	0.0010	1664
1	0.0011	0
2	0.0012	1196
3	0.0013	0
4	0.0014	0
5	0.0015	0
6	0.0016	1110
7	0.0017	0
8	0.0018	0
9	0.0019	0
10	0.0020	0
11	0.0021	1015
12	0.0022	0
13	0.0023	0
14	0.0024	0
15	0.0025	0
16	0.0026	0
17	0.0027	913
18	0.0028	0
19	0.0029	0
20	0.0030	0
21	0.0031	0
22	0.0032	0
23	0.0033	0
24	0.0034	743
25	0.0035	0
26	0.0036	0
27	0.0037	0
28	0.0038	0
29	0.0039	666
30	0.0040	0
31	0.0041	0
32	0.0042	0
33	0.0043	0
34	0.0044	600
35	0.0045	0
36	0.0046	0
37	0.0047	0
38	0.0048	542
39	0.0049	0
40	0.0050	0
41	0.0051	0
42	0.0052	491
43	0.0053	0
44	0.0054	0
45	0.0055	0
46	0.0056	446
47	0.0057	0
48	0.0058	0
49	0.0059	407
50	0.0060	0
51	0.0061	0
52	0.0062	373
53	0.0063	0
54	0.0064	0
55	0.0065	343
56	0.0066	0
57	0.0067	0
58	0.0068	316
59	0.0069	0
60	0.0070	293
61	0.0071	0
62	0.0072	0
63	0.0073	256
64	0.0074	239
65	0.0075	0
66	0.0076	227
67	0.0077	0
68	0.0078	215
69	0.0079	0
70	0.0080	205
71	0.0081	195
72	0.0082	0
73	0.0083	187
74	0.0084	180
75	0.0085	0
76	0.0086	174
77	0.0087	168
78	0.0088	165
79	0.0089	0
80	0.0090	161
81	0.0091	157
82	0.0092	155
83	0.0093	0
84	0.0094	152
85	0.0095	149
86	0.0096	148
87	0.0097	146
88	0.0098	144
89	0.0099	142
90	0.0100	141
91	0.0101	0
92	0.0102	140
93	0.0103	139
94	0.0104	138
95	0.0105	137
96	0.0106	136
97	0.0107	136
98	0.0108	136
99	0.0109	136
100	0.0110	136
101	0.0111	0
102	0.0112	136
103	0.0113	136
104	0.0114	135
105	0.0115	135
106	0.0116	135
107	0.0117	135
108	0.0118	135
109	0.0119	135
110	0.0120	134
111	0.0121	133
112	0.0122	133
113	0.0123	0
114	0.0124	133
115	0.0125	132
116	0.0126	132
117	0.0127	132
118	0.0128	132
119	0.0129	133
120	0.0130	133
121	0.0131	133
122	0.0132	133
123	0.0133	134
124	0.0134	134
125	0.0135	133
126	0.0136	133
127	0.0137	133
128	0.0138	133
129	0.0139	133
130	0.0140	133
131	0.0141	133
132	0.0142	133
133	0.0143	134
134	0.0144	134
135	0.0145	0
136	0.0146	134
137	0.0147	134
138	0.0148	134
139	0.0149	134
140	0.0150	134
141	0.0151	134
142	0.0152	134
143	0.0153	133
144	0.0154	132
145	0.0155	131
146	0.0156	130
147	0.0157	131
148	0.0158	132
149	0.0159	132
150	0.0160	132
151	0.0161	132
152	0.0162	133
153	0.0163	134
154	0.0164	134
155	0.0165	135
156	0.0166	136
157	0.0167	137
158	0.0168	139
159	0.0169	139
160	0.0170	139
161	0.0171	140
162	0.0172	141
163	0.0173	141
164	0.0174	141
165	0.0175	141
166	0.0176	141
167	0.0177	141
168	0.0178	141
169	0.0179	141
170	0.0180	142
171	0.0181	142
172	0.0182	144
173	0.0183	308
174	0.0184	391
