	time	count
0	0.0010	86356
1	0.0011	97833
2	0.0012	120030
3	0.0013	67710
4	0.0014	151063
5	0.0015	74812
6	0.0016	75101
7	0.0017	77204
8	0.0018	78652
9	0.0019	80597
10	0.0020	82427
11	0.0021	169594
12	0.0022	86813
13	0.0023	87993
14	0.0024	89023
15	0.0025	89946
16	0.0026	90722
17	0.0027	90868
18	0.0028	91551
19	0.0029	92183
20	0.0030	92745
21	0.0031	93279
22	0.0032	93694
23	0.0033	93507
24	0.0034	93852
25	0.0035	94859
26	0.0036	95206
27	0.0037	95393
28	0.0038	95426
29	0.0039	95603
30	0.0040	96369
31	0.0041	95964
32	0.0042	96027
33	0.0043	96538
34	0.0044	96610
35	0.0045	96641
36	0.0046	96142
37	0.0047	96172
38	0.0048	96849
39	0.0049	97356
40	0.0050	97395
41	0.0051	97358
42	0.0052	96774
43	0.0053	96205
44	0.0054	96783
45	0.0055	96888
46	0.0056	96710
47	0.0057	94750
48	0.0058	94767
49	0.0059	94973
50	0.0060	95237
51	0.0061	95455
52	0.0062	95608
53	0.0063	95227
54	0.0064	95366
55	0.0065	95538
56	0.0066	95139
57	0.0067	95878
58	0.0068	96497
59	0.0069	96614
60	0.0070	96688
61	0.0071	96190
62	0.0072	95689
63	0.0073	96331
64	0.0074	96477
65	0.0075	96564
66	0.0076	96618
67	0.0077	96637
68	0.0078	96691
69	0.0079	96723
70	0.0080	96241
71	0.0081	96264
72	0.0082	96331
73	0.0083	96406
74	0.0084	96485
75	0.0085	96560
76	0.0086	96055
77	0.0087	96085
78	0.0088	96159
79	0.0089	96258
80	0.0090	96367
81	0.0091	96444
82	0.0092	96504
83	0.0093	96032
84	0.0094	96060
85	0.0095	96133
86	0.0096	96179
87	0.0097	94938
88	0.0098	95010
89	0.0099	94665
90	0.0100	94868
91	0.0101	95091
92	0.0102	95320
93	0.0103	94981
94	0.0104	95146
95	0.0105	95340
96	0.0106	95532
97	0.0107	95191
98	0.0108	95380
99	0.0109	95550
100	0.0110	95126
101	0.0111	95293
102	0.0112	95951
103	0.0113	96145
104	0.0114	95665
105	0.0115	95722
106	0.0116	95700
107	0.0117	95833
108	0.0118	96008
109	0.0119	96107
110	0.0120	95657
111	0.0121	95735
112	0.0122	95912
113	0.0123	95535
114	0.0124	95054
115	0.0125	95204
116	0.0126	95374
117	0.0127	95030
118	0.0128	95241
119	0.0129	94898
120	0.0130	95068
121	0.0131	94726
122	0.0132	94936
123	0.0133	94644
124	0.0134	94839
125	0.0135	94558
126	0.0136	94799
127	0.0137	92736
128	0.0138	91568
129	0.0139	92426
130	0.0140	94050
131	0.0141	94939
132	0.0142	95653
133	0.0143	96859
134	0.0144	97466
135	0.0145	97950
136	0.0146	98336
137	0.0147	99262
138	0.0148	199365
139	0.0149	100016
140	0.0150	100170
141	0.0151	100312
142	0.0152	100993
143	0.0153	101132
144	0.0154	101668
145	0.0155	101621
146	0.0156	101623
147	0.0157	101610
148	0.0158	102171
149	0.0159	102178
150	0.0160	102088
151	0.0161	101999
152	0.0162	101924
153	0.0163	101857
154	0.0164	101798
155	0.0165	101748
156	0.0166	101743
157	0.0167	101734
158	0.0168	102329
159	0.0169	102315
160	0.0170	102201
161	0.0171	102145
162	0.0172	102090
163	0.0173	102020
164	0.0174	101934
165	0.0175	101780
166	0.0176	100394
167	0.0177	100934
168	0.0178	101081
169	0.0179	101159
170	0.0180	101166
171	0.0181	101196
172	0.0182	101224
173	0.0183	101209
174	0.0184	101803
175	0.0185	101856
176	0.0186	101873
177	0.0187	101874
178	0.0188	101829
179	0.0189	101819
180	0.0190	101777
181	0.0191	101728
182	0.0192	101684
183	0.0193	101667
184	0.0194	101618
185	0.0195	101648
186	0.0196	101647
187	0.0197	102232
188	0.0198	102290
189	0.0199	102238
190	0.0200	102149
191	0.0201	102072
192	0.0202	102022
193	0.0203	101982
194	0.0204	101918
195	0.0205	101877
196	0.0206	101877
197	0.0207	101860
198	0.0208	102388
199	0.0209	102417
200	0.0210	102343
201	0.0211	102225
202	0.0212	102159
203	0.0213	102093
204	0.0214	102020
205	0.0215	0
