	time	count
0	0.0010	6192
1	0.0011	3630
2	0.0012	49813
3	0.0013	35712
4	0.0014	78779
5	0.0015	43135
6	0.0016	94444
7	0.0017	51587
8	0.0018	53660
9	0.0019	113141
10	0.0020	59346
11	0.0021	54872
12	0.0022	53526
13	0.0023	54334
14	0.0024	55838
15	0.0025	57065
16	0.0026	58238
17	0.0027	59043
18	0.0028	121054
19	0.0029	61886
20	0.0030	62387
21	0.0031	62425
22	0.0032	63302
23	0.0033	63667
24	0.0034	63982
25	0.0035	64741
26	0.0036	65063
27	0.0037	65229
28	0.0038	65382
29	0.0039	66003
30	0.0040	66185
31	0.0041	66198
32	0.0042	66240
33	0.0043	66296
34	0.0044	66477
35	0.0045	66458
36	0.0046	66495
37	0.0047	66521
38	0.0048	67578
39	0.0049	67958
40	0.0050	67734
41	0.0051	67631
42	0.0052	67543
43	0.0053	67903
44	0.0054	67562
45	0.0055	67467
46	0.0056	67361
47	0.0057	67301
48	0.0058	67441
49	0.0059	67658
50	0.0060	67605
51	0.0061	67309
52	0.0062	65823
53	0.0063	65304
54	0.0064	65819
55	0.0065	65979
56	0.0066	66017
57	0.0067	66090
58	0.0068	66621
59	0.0069	66797
60	0.0070	66343
61	0.0071	66343
62	0.0072	66330
63	0.0073	66870
64	0.0074	66951
65	0.0075	66875
66	0.0076	66843
67	0.0077	66560
68	0.0078	66909
69	0.0079	66988
70	0.0080	66890
71	0.0081	66890
72	0.0082	67101
73	0.0083	66976
74	0.0084	66958
75	0.0085	66883
76	0.0086	66877
77	0.0087	67113
78	0.0088	67397
79	0.0089	67010
80	0.0090	66932
81	0.0091	66895
82	0.0092	67045
83	0.0093	66970
84	0.0094	66961
85	0.0095	66878
86	0.0096	66870
87	0.0097	67006
88	0.0098	66886
89	0.0099	66899
90	0.0100	66833
91	0.0101	66795
92	0.0102	65663
93	0.0103	65899
94	0.0104	66012
95	0.0105	65700
96	0.0106	65753
97	0.0107	66266
98	0.0108	66017
99	0.0109	66031
100	0.0110	66059
101	0.0111	65996
102	0.0112	66187
103	0.0113	65870
104	0.0114	65936
105	0.0115	66006
106	0.0116	66086
107	0.0117	66182
108	0.0118	65840
109	0.0119	65939
110	0.0120	66016
111	0.0121	66243
112	0.0122	65860
113	0.0123	65497
114	0.0124	65618
115	0.0125	65781
116	0.0126	65919
117	0.0127	65609
118	0.0128	65272
119	0.0129	65784
120	0.0130	65560
121	0.0131	65188
122	0.0132	64903
123	0.0133	65449
124	0.0134	65325
125	0.0135	65028
126	0.0136	64764
127	0.0137	65335
128	0.0138	65219
129	0.0139	64941
130	0.0140	64659
131	0.0141	65230
132	0.0142	63724
133	0.0143	0
134	0.0144	126687
135	0.0145	0
136	0.0146	126546
137	0.0147	63928
138	0.0148	64928
139	0.0149	65526
140	0.0150	65920
141	0.0151	66336
142	0.0152	67059
143	0.0153	67457
144	0.0154	67693
145	0.0155	68372
146	0.0156	68567
147	0.0157	69008
148	0.0158	69265
149	0.0159	69352
150	0.0160	69393
151	0.0161	69443
152	0.0162	69539
153	0.0163	69537
154	0.0164	69805
155	0.0165	70468
156	0.0166	70547
157	0.0167	70507
158	0.0168	70469
159	0.0169	70418
160	0.0170	70406
161	0.0171	70387
162	0.0172	70347
163	0.0173	70511
164	0.0174	70660
165	0.0175	70634
166	0.0176	70580
167	0.0177	70534
168	0.0178	70468
169	0.0179	70375
170	0.0180	70339
171	0.0181	70125
172	0.0182	69014
173	0.0183	69411
174	0.0184	69558
175	0.0185	69585
176	0.0186	69608
177	0.0187	69606
178	0.0188	70089
179	0.0189	70128
180	0.0190	70171
181	0.0191	70495
182	0.0192	70538
183	0.0193	70492
184	0.0194	70463
185	0.0195	70438
186	0.0196	70383
187	0.0197	70346
188	0.0198	70279
189	0.0199	70228
190	0.0200	71030
191	0.0201	71046
192	0.0202	71023
193	0.0203	70962
194	0.0204	70870
195	0.0205	70797
196	0.0206	70685
197	0.0207	70650
198	0.0208	70573
199	0.0209	70481
200	0.0210	70679
201	0.0211	70786
202	0.0212	70796
203	0.0213	70754
204	0.0214	70691
205	0.0215	70627
206	0.0216	70534
207	0.0217	70951
208	0.0218	70940
209	0.0219	70817
210	0.0220	71010
211	0.0221	70958
212	0.0222	69797
213	0.0223	69640
214	0.0224	69661
215	0.0225	69645
216	0.0226	69678
217	0.0227	70039
218	0.0228	70038
219	0.0229	70396
220	0.0230	70507
221	0.0231	70434
222	0.0232	70423
223	0.0233	70838
224	0.0234	70761
225	0.0235	70743
226	0.0236	70665
227	0.0237	70607
228	0.0238	70682
229	0.0239	70868
230	0.0240	70808
231	0.0241	70722
232	0.0242	70639
233	0.0243	70566
234	0.0244	70511
235	0.0245	70393
236	0.0246	70331
237	0.0247	70262
238	0.0248	70957
239	0.0249	71127
240	0.0250	71079
241	0.0251	70984
242	0.0252	70905
243	0.0253	70813
244	0.0254	70734
245	0.0255	70657
246	0.0256	70639
247	0.0257	70583
248	0.0258	70581
249	0.0259	71324
250	0.0260	71313
251	0.0261	71129
252	0.0262	70125
253	0.0263	69968
254	0.0264	69948
255	0.0265	69924
256	0.0266	69948
257	0.0267	69950
258	0.0268	70262
259	0.0269	70324
260	0.0270	70269
261	0.0271	70266
262	0.0272	70218
263	0.0273	70165
264	0.0274	70585
265	0.0275	70585
266	0.0276	70496
267	0.0277	70751
268	0.0278	70791
269	0.0279	70742
270	0.0280	70723
271	0.0281	70703
272	0.0282	70629
273	0.0283	70560
274	0.0284	70520
275	0.0285	70445
276	0.0286	70440
277	0.0287	70710
278	0.0288	70739
279	0.0289	71099
280	0.0290	71060
281	0.0291	70963
282	0.0292	70844
283	0.0293	70772
284	0.0294	70697
285	0.0295	70661
286	0.0296	70579
287	0.0297	70759
288	0.0298	70869
289	0.0299	70864
290	0.0300	70783
291	0.0301	70698
292	0.0302	69798
293	0.0303	69703
294	0.0304	69728
295	0.0305	69773
296	0.0306	69831
297	0.0307	70701
298	0.0308	70795
299	0.0309	70754
300	0.0310	70676
301	0.0311	70598
302	0.0312	70594
303	0.0313	70518
304	0.0314	70461
305	0.0315	70410
306	0.0316	70651
307	0.0317	70726
308	0.0318	70663
309	0.0319	70613
310	0.0320	70567
311	0.0321	70460
312	0.0322	70425
313	0.0323	70403
314	0.0324	70382
315	0.0325	70807
316	0.0326	71155
317	0.0327	71119
318	0.0328	70999
319	0.0329	70968
320	0.0330	70908
321	0.0331	70783
322	0.0332	70678
323	0.0333	70650
324	0.0334	70581
325	0.0335	70528
326	0.0336	70765
327	0.0337	70817
328	0.0338	70837
