	time	count
0	0.0010	834
1	0.0011	0
2	0.0012	0
3	0.0013	0
4	0.0014	1034
5	0.0015	0
6	0.0016	0
7	0.0017	0
8	0.0018	0
9	0.0019	0
10	0.0020	0
11	0.0021	0
12	0.0022	0
13	0.0023	941
14	0.0024	0
15	0.0025	0
16	0.0026	0
17	0.0027	0
18	0.0028	0
19	0.0029	0
20	0.0030	0
21	0.0031	0
22	0.0032	0
23	0.0033	750
24	0.0034	0
25	0.0035	0
26	0.0036	0
27	0.0037	0
28	0.0038	0
29	0.0039	0
30	0.0040	0
31	0.0041	0
32	0.0042	667
33	0.0043	0
34	0.0044	0
35	0.0045	0
36	0.0046	0
37	0.0047	0
38	0.0048	0
39	0.0049	595
40	0.0050	0
41	0.0051	0
42	0.0052	0
43	0.0053	0
44	0.0054	0
45	0.0055	0
46	0.0056	532
47	0.0057	0
48	0.0058	0
49	0.0059	0
50	0.0060	0
51	0.0061	0
52	0.0062	477
53	0.0063	0
54	0.0064	0
55	0.0065	0
56	0.0066	0
57	0.0067	0
58	0.0068	428
59	0.0069	0
60	0.0070	0
61	0.0071	0
62	0.0072	0
63	0.0073	350
64	0.0074	0
65	0.0075	0
66	0.0076	0
67	0.0077	316
68	0.0078	0
69	0.0079	0
70	0.0080	0
71	0.0081	287
72	0.0082	0
73	0.0083	0
74	0.0084	261
75	0.0085	0
76	0.0086	0
77	0.0087	0
78	0.0088	239
79	0.0089	0
80	0.0090	0
81	0.0091	220
82	0.0092	0
83	0.0093	203
84	0.0094	0
85	0.0095	0
86	0.0096	188
87	0.0097	0
88	0.0098	175
89	0.0099	0
90	0.0100	164
91	0.0101	0
92	0.0102	154
93	0.0103	0
94	0.0104	146
95	0.0105	0
96	0.0106	139
97	0.0107	0
98	0.0108	128
99	0.0109	0
100	0.0110	122
101	0.0111	117
102	0.0112	0
103	0.0113	113
104	0.0114	110
105	0.0115	107
106	0.0116	0
107	0.0117	104
108	0.0118	104
109	0.0119	101
110	0.0120	0
111	0.0121	98
112	0.0122	97
113	0.0123	97
114	0.0124	0
115	0.0125	95
116	0.0126	94
117	0.0127	94
118	0.0128	93
119	0.0129	92
120	0.0130	0
121	0.0131	90
122	0.0132	89
123	0.0133	89
124	0.0134	88
125	0.0135	89
126	0.0136	89
127	0.0137	89
128	0.0138	0
129	0.0139	89
130	0.0140	88
131	0.0141	87
132	0.0142	87
133	0.0143	87
134	0.0144	86
135	0.0145	86
136	0.0146	85
137	0.0147	0
138	0.0148	85
139	0.0149	85
140	0.0150	85
141	0.0151	85
142	0.0152	85
143	0.0153	85
144	0.0154	85
145	0.0155	85
146	0.0156	85
147	0.0157	85
148	0.0158	85
149	0.0159	85
150	0.0160	0
151	0.0161	170
152	0.0162	86
153	0.0163	87
154	0.0164	89
155	0.0165	89
156	0.0166	89
157	0.0167	89
158	0.0168	89
159	0.0169	89
160	0.0170	90
161	0.0171	90
162	0.0172	0
163	0.0173	90
164	0.0174	90
165	0.0175	90
166	0.0176	90
167	0.0177	90
168	0.0178	90
169	0.0179	90
170	0.0180	90
171	0.0181	91
172	0.0182	91
173	0.0183	91
174	0.0184	91
175	0.0185	91
176	0.0186	91
177	0.0187	91
178	0.0188	0
179	0.0189	91
180	0.0190	91
181	0.0191	91
182	0.0192	90
183	0.0193	89
