	time	count
0	0.0010	29052
1	0.0011	61480
2	0.0012	37872
3	0.0013	38828
4	0.0014	79944
5	0.0015	42853
6	0.0016	95898
7	0.0017	111876
8	0.0018	62291
9	0.0019	66098
10	0.0020	141272
11	0.0021	74533
12	0.0022	77020
13	0.0023	79263
14	0.0024	81265
15	0.0025	167693
16	0.0026	86051
17	0.0027	86678
18	0.0028	88466
19	0.0029	89532
20	0.0030	89670
21	0.0031	90435
22	0.0032	91179
23	0.0033	92520
24	0.0034	92530
25	0.0035	92994
26	0.0036	94097
27	0.0037	94957
28	0.0038	95252
29	0.0039	91259
30	0.0040	89455
31	0.0041	89468
32	0.0042	90800
33	0.0043	91591
34	0.0044	91702
35	0.0045	91679
36	0.0046	92216
37	0.0047	93354
38	0.0048	93875
39	0.0049	187825
40	0.0050	94412
41	0.0051	94720
42	0.0052	95578
43	0.0053	95804
44	0.0054	96005
45	0.0055	95600
46	0.0056	95154
47	0.0057	95293
48	0.0058	95494
49	0.0059	96098
50	0.0060	96845
51	0.0061	96944
52	0.0062	97008
53	0.0063	96515
54	0.0064	96520
55	0.0065	96569
56	0.0066	96096
57	0.0067	96147
58	0.0068	96246
59	0.0069	96917
60	0.0070	97020
61	0.0071	97060
62	0.0072	96522
63	0.0073	96529
64	0.0074	96576
65	0.0075	96101
66	0.0076	96151
67	0.0077	96241
68	0.0078	96904
69	0.0079	96836
70	0.0080	95496
71	0.0081	95557
72	0.0082	95200
73	0.0083	94820
74	0.0084	94999
75	0.0085	95245
76	0.0086	96058
77	0.0087	96257
78	0.0088	96344
79	0.0089	95925
80	0.0090	95479
81	0.0091	95603
82	0.0092	95744
83	0.0093	96475
84	0.0094	96613
85	0.0095	96135
86	0.0096	96186
87	0.0097	96328
88	0.0098	96448
89	0.0099	95973
90	0.0100	95478
91	0.0101	95598
92	0.0102	96348
93	0.0103	96495
94	0.0104	96577
95	0.0105	96123
96	0.0106	96195
97	0.0107	96281
98	0.0108	95811
99	0.0109	95313
100	0.0110	95445
101	0.0111	96195
102	0.0112	96366
103	0.0113	95926
104	0.0114	96026
105	0.0115	96162
106	0.0116	95713
107	0.0117	95298
108	0.0118	95439
109	0.0119	0
110	0.0120	96142
111	0.0121	93975
112	0.0122	94053
113	0.0123	188684
114	0.0124	96004
115	0.0125	96660
116	0.0126	97755
117	0.0127	98804
118	0.0128	99156
119	0.0129	99985
120	0.0130	100223
121	0.0131	100904
122	0.0132	101044
123	0.0133	101637
124	0.0134	101648
125	0.0135	102194
126	0.0136	102194
127	0.0137	102686
128	0.0138	102606
129	0.0139	103024
130	0.0140	102905
131	0.0141	102734
132	0.0142	103116
133	0.0143	102948
134	0.0144	102795
135	0.0145	103185
136	0.0146	103056
137	0.0147	102879
138	0.0148	103286
139	0.0149	103139
140	0.0150	102962
141	0.0151	102816
142	0.0152	102680
143	0.0153	102554
144	0.0154	102441
145	0.0155	102327
146	0.0156	102808
147	0.0157	102731
148	0.0158	102574
149	0.0159	102375
150	0.0160	100948
151	0.0161	100850
152	0.0162	100903
153	0.0163	100962
154	0.0164	100990
155	0.0165	101032
156	0.0166	101651
157	0.0167	101688
158	0.0168	101684
159	0.0169	101682
160	0.0170	101665
161	0.0171	101639
162	0.0172	102193
163	0.0173	102152
164	0.0174	102099
165	0.0175	102047
166	0.0176	101992
167	0.0177	101930
168	0.0178	101900
169	0.0179	101847
170	0.0180	101802
171	0.0181	101767
172	0.0182	101712
173	0.0183	101685
174	0.0184	101686
175	0.0185	102217
176	0.0186	102204
177	0.0187	102145
178	0.0188	102037
179	0.0189	101969
180	0.0190	101920
181	0.0191	101860
182	0.0192	101836
183	0.0193	101801
184	0.0194	101775
185	0.0195	102336
186	0.0196	102339
187	0.0197	102261
188	0.0198	102204
189	0.0199	102081
190	0.0200	100272
191	0.0201	100241
192	0.0202	100393
193	0.0203	100490
194	0.0204	99783
195	0.0205	100890
196	0.0206	102021
197	0.0207	103023
198	0.0208	103928
199	0.0209	105340
200	0.0210	106076
201	0.0211	106682
202	0.0212	107194
203	0.0213	107630
204	0.0214	108076
205	0.0215	108478
206	0.0216	108816
207	0.0217	109102
208	0.0218	109357
209	0.0219	109592
210	0.0220	109808
211	0.0221	220126
212	0.0222	110286
213	0.0223	110433
214	0.0224	110538
215	0.0225	110638
216	0.0226	110745
217	0.0227	110790
218	0.0228	110844
219	0.0229	110904
220	0.0230	110946
221	0.0231	110981
222	0.0232	111586
223	0.0233	111619
224	0.0234	111609
225	0.0235	111602
226	0.0236	111582
227	0.0237	111529
228	0.0238	111450
229	0.0239	0
230	0.0240	111169
231	0.0241	219864
232	0.0242	110654
233	0.0243	110815
234	0.0244	110862
235	0.0245	110922
236	0.0246	110953
237	0.0247	110960
238	0.0248	110970
239	0.0249	111027
240	0.0250	111594
241	0.0251	111652
242	0.0252	111648
243	0.0253	111631
244	0.0254	111589
245	0.0255	111545
246	0.0256	111549
247	0.0257	111546
248	0.0258	111544
249	0.0259	111537
250	0.0260	111528
251	0.0261	111481
252	0.0262	111463
253	0.0263	112033
254	0.0264	112024
255	0.0265	111950
256	0.0266	111872
257	0.0267	111835
258	0.0268	111794
259	0.0269	111756
260	0.0270	111702
261	0.0271	111615
262	0.0272	111603
263	0.0273	111575
264	0.0274	111563
265	0.0275	111549
266	0.0276	111455
267	0.0277	111455
268	0.0278	112033
269	0.0279	111952
270	0.0280	110675
271	0.0281	110563
272	0.0282	110631
273	0.0283	110745
274	0.0284	110835
275	0.0285	110887
276	0.0286	110915
277	0.0287	110933
278	0.0288	111024
279	0.0289	111069
280	0.0290	111088
281	0.0291	111674
282	0.0292	111751
283	0.0293	111708
284	0.0294	111696
285	0.0295	111683
286	0.0296	111660
287	0.0297	111641
288	0.0298	111576
289	0.0299	111576
290	0.0300	111570
291	0.0301	111545
292	0.0302	111518
293	0.0303	112055
294	0.0304	112074
295	0.0305	111995
296	0.0306	111927
297	0.0307	111857
298	0.0308	111788
299	0.0309	111747
300	0.0310	111715
301	0.0311	111684
302	0.0312	111669
303	0.0313	110430
304	0.0314	110480
305	0.0315	111815
306	0.0316	113857
307	0.0317	115063
308	0.0318	116763
309	0.0319	117643
310	0.0320	114399
311	0.0321	116730
312	0.0322	119485
313	0.0323	121225
