	time	count
0	0.0010	46265
1	0.0011	67655
2	0.0012	84305
3	0.0013	104612
4	0.0014	60820
5	0.0015	63437
6	0.0016	135279
7	0.0017	72661
8	0.0018	74796
9	0.0019	76072
10	0.0020	76728
11	0.0021	78886
12	0.0022	80746
13	0.0023	162562
14	0.0024	84159
15	0.0025	0
16	0.0026	79104
17	0.0027	76740
18	0.0028	75492
19	0.0029	75250
20	0.0030	74600
21	0.0031	74468
22	0.0032	73967
23	0.0033	72985
24	0.0034	72510
25	0.0035	72143
26	0.0036	71363
27	0.0037	70656
28	0.0038	70899
29	0.0039	71025
30	0.0040	70814
31	0.0041	70991
32	0.0042	70339
33	0.0043	70012
34	0.0044	69964
35	0.0045	70234
36	0.0046	71068
37	0.0047	71332
38	0.0048	70672
39	0.0049	69669
40	0.0050	69175
41	0.0051	69067
42	0.0052	70350
43	0.0053	70928
44	0.0054	70811
45	0.0055	70199
46	0.0056	69598
47	0.0057	69458
48	0.0058	69466
49	0.0059	69325
50	0.0060	0
51	0.0061	69187
52	0.0062	68386
53	0.0063	68360
54	0.0064	68372
55	0.0065	68391
56	0.0066	69176
57	0.0067	68117
58	0.0068	68000
59	0.0069	67889
60	0.0070	68381
61	0.0071	68421
62	0.0072	68431
63	0.0073	68082
64	0.0074	67625
65	0.0075	69102
66	0.0076	69246
67	0.0077	69200
68	0.0078	69216
69	0.0079	68744
70	0.0080	68666
71	0.0081	68321
72	0.0082	67917
73	0.0083	67975
74	0.0084	137479
75	0.0085	69990
76	0.0086	0
77	0.0087	70268
78	0.0088	69340
79	0.0089	69263
80	0.0090	69160
81	0.0091	69099
82	0.0092	68689
83	0.0093	68658
84	0.0094	68239
85	0.0095	68559
86	0.0096	69913
87	0.0097	70058
88	0.0098	69967
89	0.0099	69716
90	0.0100	69225
91	0.0101	69087
92	0.0102	68612
93	0.0103	68624
94	0.0104	68256
95	0.0105	68209
96	0.0106	68296
97	0.0107	67585
98	0.0108	68229
99	0.0109	67898
100	0.0110	67898
101	0.0111	68010
102	0.0112	67667
103	0.0113	67335
104	0.0114	67419
105	0.0115	67845
106	0.0116	69186
107	0.0117	68463
108	0.0118	68347
109	0.0119	68007
110	0.0120	67643
111	0.0121	67674
112	0.0122	67344
113	0.0123	67531
114	0.0124	67979
115	0.0125	68120
116	0.0126	68138
117	0.0127	68237
118	0.0128	67483
119	0.0129	67434
120	0.0130	67175
121	0.0131	67449
122	0.0132	67870
123	0.0133	68002
124	0.0134	67635
125	0.0135	67328
126	0.0136	66965
127	0.0137	67042
128	0.0138	66797
129	0.0139	67240
130	0.0140	67504
131	0.0141	67188
132	0.0142	67266
133	0.0143	66624
134	0.0144	66298
135	0.0145	66078
136	0.0146	66706
137	0.0147	65112
138	0.0148	65519
139	0.0149	66088
140	0.0150	66627
141	0.0151	67439
142	0.0152	68470
143	0.0153	69402
144	0.0154	69669
145	0.0155	69860
146	0.0156	70449
147	0.0157	70611
148	0.0158	70738
149	0.0159	70880
150	0.0160	70502
151	0.0161	71002
152	0.0162	71133
153	0.0163	71627
154	0.0164	71728
155	0.0165	71845
156	0.0166	143934
157	0.0167	72493
158	0.0168	72485
159	0.0169	72489
160	0.0170	72796
161	0.0171	72737
162	0.0172	72742
163	0.0173	73071
164	0.0174	72908
165	0.0175	72740
166	0.0176	0
167	0.0177	144356
168	0.0178	72999
169	0.0179	73328
170	0.0180	73183
171	0.0181	73374
172	0.0182	73293
173	0.0183	73141
174	0.0184	73013
175	0.0185	0
176	0.0186	73210
177	0.0187	72099
178	0.0188	71982
179	0.0189	72046
180	0.0190	72006
181	0.0191	144019
182	0.0192	0
183	0.0193	72380
184	0.0194	72336
185	0.0195	71922
186	0.0196	144199
187	0.0197	72739
188	0.0198	72646
189	0.0199	72582
190	0.0200	72967
191	0.0201	72908
192	0.0202	72829
193	0.0203	72820
194	0.0204	72747
195	0.0205	72687
196	0.0206	72709
197	0.0207	73035
198	0.0208	72953
199	0.0209	72910
200	0.0210	72832
