	time	count
0	0.0010	1378
1	0.0011	1128
2	0.0012	0
3	0.0013	0
4	0.0014	0
5	0.0015	0
6	0.0016	0
7	0.0017	0
8	0.0018	0
9	0.0019	0
10	0.0020	0
11	0.0021	0
12	0.0022	1076
13	0.0023	0
14	0.0024	0
15	0.0025	0
16	0.0026	0
17	0.0027	0
18	0.0028	0
19	0.0029	0
20	0.0030	0
21	0.0031	0
22	0.0032	0
23	0.0033	0
24	0.0034	852
25	0.0035	0
26	0.0036	0
27	0.0037	0
28	0.0038	0
29	0.0039	0
30	0.0040	0
31	0.0041	0
32	0.0042	0
33	0.0043	0
34	0.0044	0
35	0.0045	755
36	0.0046	0
37	0.0047	0
38	0.0048	0
39	0.0049	0
40	0.0050	0
41	0.0051	0
42	0.0052	0
43	0.0053	0
44	0.0054	0
45	0.0055	671
46	0.0056	0
47	0.0057	0
48	0.0058	0
49	0.0059	0
50	0.0060	0
51	0.0061	0
52	0.0062	0
53	0.0063	0
54	0.0064	534
55	0.0065	0
56	0.0066	0
57	0.0067	0
58	0.0068	0
59	0.0069	0
60	0.0070	0
61	0.0071	476
62	0.0072	0
63	0.0073	0
64	0.0074	0
65	0.0075	0
66	0.0076	0
67	0.0077	426
68	0.0078	0
69	0.0079	0
70	0.0080	0
71	0.0081	0
72	0.0082	0
73	0.0083	383
74	0.0084	0
75	0.0085	0
76	0.0086	0
77	0.0087	0
78	0.0088	345
79	0.0089	0
80	0.0090	0
81	0.0091	0
82	0.0092	312
83	0.0093	0
84	0.0094	0
85	0.0095	0
86	0.0096	283
87	0.0097	0
88	0.0098	0
89	0.0099	0
90	0.0100	258
91	0.0101	0
92	0.0102	0
93	0.0103	217
94	0.0104	0
95	0.0105	0
96	0.0106	199
97	0.0107	0
98	0.0108	0
99	0.0109	184
100	0.0110	0
101	0.0111	171
102	0.0112	0
103	0.0113	160
104	0.0114	0
105	0.0115	150
106	0.0116	0
107	0.0117	143
108	0.0118	0
109	0.0119	135
110	0.0120	0
111	0.0121	127
112	0.0122	0
113	0.0123	121
114	0.0124	116
115	0.0125	0
116	0.0126	112
117	0.0127	0
118	0.0128	108
119	0.0129	105
120	0.0130	104
121	0.0131	0
122	0.0132	101
123	0.0133	99
124	0.0134	96
125	0.0135	0
126	0.0136	95
127	0.0137	93
128	0.0138	91
129	0.0139	91
130	0.0140	0
131	0.0141	91
132	0.0142	90
133	0.0143	89
134	0.0144	88
135	0.0145	0
136	0.0146	86
137	0.0147	86
138	0.0148	87
139	0.0149	87
140	0.0150	176
141	0.0151	0
142	0.0152	90
143	0.0153	90
144	0.0154	90
145	0.0155	90
146	0.0156	89
147	0.0157	89
148	0.0158	89
149	0.0159	0
150	0.0160	89
151	0.0161	88
152	0.0162	88
153	0.0163	88
154	0.0164	88
155	0.0165	89
156	0.0166	89
157	0.0167	89
158	0.0168	89
159	0.0169	89
160	0.0170	90
161	0.0171	90
162	0.0172	90
163	0.0173	90
164	0.0174	90
165	0.0175	90
166	0.0176	90
167	0.0177	90
168	0.0178	90
169	0.0179	0
170	0.0180	89
171	0.0181	89
172	0.0182	89
173	0.0183	88
174	0.0184	0
175	0.0185	86
176	0.0186	85
177	0.0187	85
178	0.0188	85
179	0.0189	84
180	0.0190	83
181	0.0191	0
182	0.0192	83
183	0.0193	82
184	0.0194	82
185	0.0195	82
186	0.0196	82
187	0.0197	82
188	0.0198	82
189	0.0199	82
190	0.0200	82
191	0.0201	82
192	0.0202	83
193	0.0203	83
194	0.0204	83
195	0.0205	83
