	time	count
0	0.0010	28736
1	0.0011	59271
2	0.0012	73631
3	0.0013	88470
4	0.0014	51029
5	0.0015	115296
6	0.0016	63566
7	0.0017	135182
8	0.0018	73146
9	0.0019	75348
10	0.0020	77139
11	0.0021	78723
12	0.0022	162183
13	0.0023	83211
14	0.0024	84198
15	0.0025	85634
16	0.0026	86992
17	0.0027	87634
18	0.0028	88152
19	0.0029	89193
20	0.0030	89087
21	0.0031	89961
22	0.0032	90270
23	0.0033	91061
24	0.0034	91828
25	0.0035	91966
26	0.0036	92585
27	0.0037	92617
28	0.0038	92581
29	0.0039	93082
30	0.0040	93062
31	0.0041	90195
32	0.0042	89045
33	0.0043	89211
34	0.0044	89506
35	0.0045	90343
36	0.0046	90637
37	0.0047	90849
38	0.0048	91593
39	0.0049	183547
40	0.0050	92421
41	0.0051	92483
42	0.0052	92487
43	0.0053	92498
44	0.0054	92432
45	0.0055	92398
46	0.0056	92940
47	0.0057	92434
48	0.0058	92380
49	0.0059	92374
50	0.0060	92922
51	0.0061	92418
52	0.0062	92903
53	0.0063	92905
54	0.0064	92864
55	0.0065	92817
56	0.0066	93308
57	0.0067	93246
58	0.0068	93153
59	0.0069	93068
60	0.0070	93008
61	0.0071	93491
62	0.0072	93413
63	0.0073	93299
64	0.0074	93183
65	0.0075	93120
66	0.0076	93054
67	0.0077	92984
68	0.0078	92899
69	0.0079	93376
70	0.0080	0
71	0.0081	93270
72	0.0082	91597
73	0.0083	91524
74	0.0084	91594
75	0.0085	91630
76	0.0086	92256
77	0.0087	184436
78	0.0088	92797
79	0.0089	92812
80	0.0090	92765
81	0.0091	92718
82	0.0092	92696
83	0.0093	92691
84	0.0094	93221
85	0.0095	93172
86	0.0096	93087
87	0.0097	93001
88	0.0098	92935
89	0.0099	92869
90	0.0100	92819
91	0.0101	92774
92	0.0102	93274
93	0.0103	93238
94	0.0104	93163
95	0.0105	93095
96	0.0106	93012
97	0.0107	92929
98	0.0108	92860
99	0.0109	92828
100	0.0110	92815
101	0.0111	92783
102	0.0112	92727
103	0.0113	93236
104	0.0114	93196
105	0.0115	92623
106	0.0116	93108
107	0.0117	93098
108	0.0118	93028
109	0.0119	92964
110	0.0120	0
111	0.0121	92868
112	0.0122	90911
113	0.0123	91409
114	0.0124	91522
115	0.0125	91575
116	0.0126	91638
117	0.0127	91711
118	0.0128	91795
119	0.0129	91861
120	0.0130	91894
121	0.0131	91947
122	0.0132	92555
123	0.0133	92590
124	0.0134	185169
125	0.0135	0
126	0.0136	93097
127	0.0137	92554
128	0.0138	92489
129	0.0139	92499
130	0.0140	92003
131	0.0141	92540
132	0.0142	92571
133	0.0143	93109
134	0.0144	92567
135	0.0145	92516
136	0.0146	93064
137	0.0147	92553
138	0.0148	92469
139	0.0149	92987
140	0.0150	92982
141	0.0151	92940
142	0.0152	92907
143	0.0153	185633
144	0.0154	0
145	0.0155	93288
146	0.0156	93254
147	0.0157	93185
148	0.0158	93101
149	0.0159	92997
150	0.0160	92911
151	0.0161	92777
152	0.0162	91009
153	0.0163	90974
154	0.0164	91096
155	0.0165	91203
156	0.0166	91437
157	0.0167	185518
158	0.0168	94587
159	0.0169	95491
160	0.0170	96236
161	0.0171	97491
162	0.0172	97543
163	0.0173	98006
164	0.0174	99061
165	0.0175	98940
166	0.0176	99847
167	0.0177	100177
168	0.0178	100440
169	0.0179	100660
170	0.0180	100834
171	0.0181	100985
172	0.0182	101681
173	0.0183	101292
174	0.0184	101946
175	0.0185	102045
176	0.0186	102079
177	0.0187	102102
178	0.0188	102103
179	0.0189	102137
180	0.0190	102160
181	0.0191	102161
182	0.0192	102178
183	0.0193	102771
184	0.0194	102281
185	0.0195	102219
186	0.0196	103220
187	0.0197	103224
188	0.0198	103699
189	0.0199	103619
190	0.0200	103142
191	0.0201	101627
192	0.0202	101510
193	0.0203	101562
194	0.0204	101652
195	0.0205	101745
196	0.0206	101791
197	0.0207	101860
198	0.0208	101906
199	0.0209	102527
200	0.0210	102091
201	0.0211	102630
202	0.0212	102119
203	0.0213	102085
204	0.0214	102666
205	0.0215	102191
206	0.0216	102697
207	0.0217	102723
208	0.0218	102133
209	0.0219	102655
210	0.0220	102691
211	0.0221	102653
212	0.0222	102585
213	0.0223	102025
214	0.0224	102554
215	0.0225	102604
216	0.0226	102604
217	0.0227	102546
218	0.0228	102512
219	0.0229	102503
220	0.0230	102502
221	0.0231	102506
222	0.0232	103048
223	0.0233	103019
224	0.0234	102957
225	0.0235	102408
226	0.0236	102922
227	0.0237	102379
228	0.0238	102307
229	0.0239	102851
230	0.0240	102796
231	0.0241	101131
232	0.0242	101482
233	0.0243	102133
234	0.0244	101691
235	0.0245	102262
236	0.0246	102337
237	0.0247	102352
238	0.0248	102326
239	0.0249	102317
240	0.0250	102883
241	0.0251	102908
242	0.0252	102871
243	0.0253	102812
244	0.0254	102742
245	0.0255	102686
246	0.0256	102652
247	0.0257	103208
248	0.0258	102647
249	0.0259	103098
250	0.0260	103054
251	0.0261	102988
252	0.0262	102922
253	0.0263	102848
254	0.0264	102778
255	0.0265	103286
256	0.0266	103262
257	0.0267	103184
258	0.0268	103095
259	0.0269	102977
260	0.0270	102884
261	0.0271	102833
262	0.0272	102804
263	0.0273	102747
264	0.0274	102676
265	0.0275	103184
266	0.0276	102644
267	0.0277	103136
268	0.0278	103098
269	0.0279	102995
270	0.0280	102875
271	0.0281	101512
272	0.0282	101441
273	0.0283	101537
274	0.0284	101617
275	0.0285	101685
276	0.0286	101762
277	0.0287	101837
278	0.0288	102471
279	0.0289	101984
280	0.0290	102518
281	0.0291	102556
282	0.0292	102549
283	0.0293	102536
284	0.0294	102513
285	0.0295	102470
286	0.0296	102442
287	0.0297	102429
288	0.0298	102440
289	0.0299	102401
290	0.0300	102379
291	0.0301	102363
292	0.0302	102377
293	0.0303	102399
294	0.0304	102961
295	0.0305	102396
296	0.0306	102334
297	0.0307	102892
298	0.0308	102909
299	0.0309	103426
300	0.0310	103357
301	0.0311	103232
302	0.0312	103145
303	0.0313	102553
304	0.0314	103021
305	0.0315	102987
306	0.0316	102897
307	0.0317	102845
308	0.0318	102809
309	0.0319	102752
310	0.0320	102664
311	0.0321	101912
312	0.0322	101347
313	0.0323	101398
314	0.0324	101504
315	0.0325	101573
316	0.0326	102218
317	0.0327	101773
