	time	count
0	0.0010	0
1	0.0011	9138
2	0.0012	8691
3	0.0013	8446
4	0.0014	0
5	0.0015	8498
6	0.0016	8232
7	0.0017	8136
8	0.0018	8309
9	0.0019	16662
10	0.0020	8624
11	0.0021	8747
12	0.0022	8847
13	0.0023	9023
14	0.0024	9238
15	0.0025	9263
16	0.0026	9473
17	0.0027	19194
18	0.0028	9851
19	0.0029	9881
20	0.0030	9900
21	0.0031	10222
22	0.0032	10260
23	0.0033	10348
24	0.0034	10517
25	0.0035	0
26	0.0036	9971
27	0.0037	9522
28	0.0038	9427
29	0.0039	9348
30	0.0040	9412
31	0.0041	9403
32	0.0042	9354
33	0.0043	9503
34	0.0044	9432
35	0.0045	9390
36	0.0046	9544
37	0.0047	9464
38	0.0048	9458
39	0.0049	9526
40	0.0050	9429
41	0.0051	9445
42	0.0052	9567
43	0.0053	9466
44	0.0054	9480
45	0.0055	9526
46	0.0056	9450
47	0.0057	9497
48	0.0058	9530
49	0.0059	9414
50	0.0060	9541
51	0.0061	9486
52	0.0062	9435
53	0.0063	9495
54	0.0064	9406
55	0.0065	9311
56	0.0066	9458
57	0.0067	9372
58	0.0068	9355
59	0.0069	9424
60	0.0070	9299
61	0.0071	9229
62	0.0072	9369
63	0.0073	9277
64	0.0074	9312
65	0.0075	9422
66	0.0076	9138
67	0.0077	9167
68	0.0078	9215
69	0.0079	9147
70	0.0080	9206
71	0.0081	9288
72	0.0082	9230
73	0.0083	9294
74	0.0084	9298
75	0.0085	9241
76	0.0086	9403
77	0.0087	9378
78	0.0088	9332
79	0.0089	9411
80	0.0090	9419
81	0.0091	9397
82	0.0092	9551
83	0.0093	9489
84	0.0094	9467
85	0.0095	9540
86	0.0096	9454
87	0.0097	9450
88	0.0098	9588
89	0.0099	9504
90	0.0100	9479
91	0.0101	9608
92	0.0102	9580
93	0.0103	9616
94	0.0104	9675
95	0.0105	9549
96	0.0106	9673
97	0.0107	9645
98	0.0108	9585
99	0.0109	9645
100	0.0110	9573
101	0.0111	9540
102	0.0112	9606
103	0.0113	9522
104	0.0114	9502
105	0.0115	9537
106	0.0116	9282
107	0.0117	9297
108	0.0118	9371
109	0.0119	9290
110	0.0120	9333
111	0.0121	9372
112	0.0122	9318
113	0.0123	9389
114	0.0124	9409
115	0.0125	9421
116	0.0126	9494
117	0.0127	9472
118	0.0128	9416
119	0.0129	9493
120	0.0130	9459
121	0.0131	9433
