	time	count
0	0.0010	1568
1	0.0011	1632
2	0.0012	1561
3	0.0013	1660
4	0.0014	1710
5	0.0015	0
6	0.0016	1629
7	0.0017	0
8	0.0018	1544
9	0.0019	0
10	0.0020	1467
11	0.0021	0
12	0.0022	1370
13	0.0023	0
14	0.0024	1277
15	0.0025	0
16	0.0026	1196
17	0.0027	0
18	0.0028	1121
19	0.0029	0
20	0.0030	1051
21	0.0031	0
22	0.0032	996
23	0.0033	0
24	0.0034	939
25	0.0035	861
26	0.0036	0
27	0.0037	833
28	0.0038	790
29	0.0039	0
30	0.0040	758
31	0.0041	0
32	0.0042	724
33	0.0043	681
34	0.0044	0
35	0.0045	674
36	0.0046	641
37	0.0047	628
38	0.0048	600
39	0.0049	0
40	0.0050	598
41	0.0051	569
42	0.0052	0
43	0.0053	567
44	0.0054	540
45	0.0055	538
46	0.0056	528
47	0.0057	524
48	0.0058	0
49	0.0059	521
50	0.0060	503
51	0.0061	507
52	0.0062	502
53	0.0063	498
54	0.0064	501
55	0.0065	481
56	0.0066	497
57	0.0067	527
58	0.0068	511
59	0.0069	525
60	0.0070	522
61	0.0071	510
62	0.0072	531
63	0.0073	543
64	0.0074	532
65	0.0075	0
66	0.0076	1035
67	0.0077	526
68	0.0078	545
69	0.0079	549
70	0.0080	538
71	0.0081	0
72	0.0082	534
73	0.0083	514
74	0.0084	520
75	0.0085	507
76	0.0086	0
77	0.0087	497
78	0.0088	484
79	0.0089	475
80	0.0090	485
81	0.0091	475
82	0.0092	472
83	0.0093	0
84	0.0094	907
85	0.0095	0
86	0.0096	453
87	0.0097	444
88	0.0098	447
89	0.0099	445
90	0.0100	431
91	0.0101	441
92	0.0102	443
93	0.0103	438
94	0.0104	0
95	0.0105	857
96	0.0106	437
97	0.0107	459
98	0.0108	444
99	0.0109	0
100	0.0110	448
101	0.0111	436
102	0.0112	436
103	0.0113	441
104	0.0114	427
105	0.0115	443
106	0.0116	433
107	0.0117	425
108	0.0118	440
109	0.0119	461
110	0.0120	449
111	0.0121	458
112	0.0122	468
113	0.0123	455
114	0.0124	463
115	0.0125	456
116	0.0126	449
117	0.0127	0
118	0.0128	455
119	0.0129	884
120	0.0130	0
121	0.0131	458
122	0.0132	448
123	0.0133	455
124	0.0134	445
125	0.0135	447
126	0.0136	460
127	0.0137	446
128	0.0138	447
129	0.0139	451
130	0.0140	439
131	0.0141	457
132	0.0142	479
133	0.0143	462
134	0.0144	467
135	0.0145	459
136	0.0146	461
137	0.0147	479
138	0.0148	488
139	0.0149	481
140	0.0150	488
141	0.0151	468
142	0.0152	501
143	0.0153	518
144	0.0154	499
145	0.0155	503
146	0.0156	0
147	0.0157	965
148	0.0158	504
149	0.0159	540
150	0.0160	524
151	0.0161	0
152	0.0162	526
153	0.0163	507
154	0.0164	518
155	0.0165	511
156	0.0166	509
157	0.0167	526
158	0.0168	503
159	0.0169	0
160	0.0170	1000
161	0.0171	0
162	0.0172	499
163	0.0173	475
164	0.0174	496
165	0.0175	513
166	0.0176	500
167	0.0177	499
168	0.0178	484
169	0.0179	488
170	0.0180	484
171	0.0181	490
172	0.0182	0
173	0.0183	484
174	0.0184	470
175	0.0185	492
176	0.0186	475
177	0.0187	483
178	0.0188	463
179	0.0189	487
180	0.0190	493
181	0.0191	485
182	0.0192	0
183	0.0193	954
184	0.0194	0
185	0.0195	480
186	0.0196	476
187	0.0197	474
188	0.0198	479
189	0.0199	965
