	time	count
0	0.0010	41445
1	0.0011	41711
2	0.0012	95512
3	0.0013	121424
4	0.0014	69117
5	0.0015	71621
6	0.0016	150674
7	0.0017	78546
8	0.0018	80637
9	0.0019	81895
10	0.0020	83550
11	0.0021	84522
12	0.0022	85917
13	0.0023	86620
14	0.0024	87133
15	0.0025	175601
16	0.0026	89555
17	0.0027	89954
18	0.0028	90174
19	0.0029	91563
20	0.0030	91739
21	0.0031	91757
22	0.0032	91274
23	0.0033	91299
24	0.0034	91943
25	0.0035	92006
26	0.0036	92555
27	0.0037	92549
28	0.0038	92497
29	0.0039	92836
30	0.0040	92779
31	0.0041	93140
32	0.0042	93585
33	0.0043	93465
34	0.0044	93287
35	0.0045	93133
36	0.0046	93003
37	0.0047	92756
38	0.0048	92660
39	0.0049	93141
40	0.0050	92807
41	0.0051	91148
42	0.0052	91588
43	0.0053	91678
44	0.0054	91678
45	0.0055	91727
46	0.0056	91738
47	0.0057	91779
48	0.0058	91797
49	0.0059	91818
50	0.0060	91836
51	0.0061	91854
52	0.0062	91877
53	0.0063	91871
54	0.0064	91891
55	0.0065	91900
56	0.0066	91897
57	0.0067	91909
58	0.0068	91906
59	0.0069	91901
60	0.0070	91901
61	0.0071	91917
62	0.0072	91905
63	0.0073	91905
64	0.0074	91890
65	0.0075	91887
66	0.0076	91895
67	0.0077	91879
68	0.0078	91888
69	0.0079	91870
70	0.0080	91878
71	0.0081	91868
72	0.0082	91866
73	0.0083	91815
74	0.0084	91795
75	0.0085	91794
76	0.0086	91783
77	0.0087	91783
78	0.0088	91783
79	0.0089	91775
80	0.0090	91752
81	0.0091	90323
82	0.0092	90317
83	0.0093	90445
84	0.0094	90590
85	0.0095	90728
86	0.0096	90827
87	0.0097	90956
88	0.0098	91010
89	0.0099	91107
90	0.0100	91194
91	0.0101	91262
92	0.0102	91341
93	0.0103	91394
94	0.0104	91451
95	0.0105	91495
96	0.0106	91538
97	0.0107	91597
98	0.0108	91632
99	0.0109	92243
100	0.0110	92265
101	0.0111	92249
102	0.0112	92230
103	0.0113	92180
104	0.0114	92171
105	0.0115	92140
106	0.0116	92139
107	0.0117	92112
108	0.0118	92110
109	0.0119	92105
110	0.0120	92097
111	0.0121	92099
112	0.0122	92094
113	0.0123	92099
114	0.0124	92068
115	0.0125	92086
116	0.0126	92079
117	0.0127	92055
118	0.0128	92028
119	0.0129	92034
120	0.0130	91969
121	0.0131	90459
122	0.0132	90428
123	0.0133	90553
124	0.0134	90701
125	0.0135	90811
126	0.0136	90394
127	0.0137	91443
128	0.0138	92544
129	0.0139	93553
130	0.0140	94455
131	0.0141	95254
132	0.0142	95952
133	0.0143	96578
134	0.0144	97145
135	0.0145	97660
136	0.0146	98090
137	0.0147	98495
138	0.0148	98852
139	0.0149	99180
140	0.0150	99454
141	0.0151	99698
142	0.0152	99941
143	0.0153	100139
144	0.0154	100314
145	0.0155	100470
146	0.0156	100585
147	0.0157	100696
148	0.0158	100814
149	0.0159	100895
150	0.0160	100982
151	0.0161	101060
152	0.0162	101120
153	0.0163	101185
154	0.0164	101259
155	0.0165	101304
156	0.0166	101347
157	0.0167	101403
158	0.0168	101432
159	0.0169	101453
160	0.0170	101491
161	0.0171	101237
162	0.0172	99888
163	0.0173	99930
164	0.0174	98966
165	0.0175	200966
166	0.0176	103354
167	0.0177	105359
168	0.0178	0
169	0.0179	105811
