	time	count
0	0.0010	13256
1	0.0011	7137
2	0.0012	15397
3	0.0013	33108
4	0.0014	14533
5	0.0015	34108
6	0.0016	40336
7	0.0017	21898
8	0.0018	22987
9	0.0019	49272
10	0.0020	25774
11	0.0021	26557
12	0.0022	24694
13	0.0023	24459
14	0.0024	25251
15	0.0025	25649
16	0.0026	53345
17	0.0027	27615
18	0.0028	28036
19	0.0029	28642
20	0.0030	29004
21	0.0031	29218
22	0.0032	29617
23	0.0033	29842
24	0.0034	30062
25	0.0035	30173
26	0.0036	30499
27	0.0037	30903
28	0.0038	30762
29	0.0039	62226
30	0.0040	31585
31	0.0041	31804
32	0.0042	31579
33	0.0043	31555
34	0.0044	31517
35	0.0045	31506
36	0.0046	0
37	0.0047	62993
38	0.0048	31781
39	0.0049	31659
40	0.0050	31677
41	0.0051	31830
42	0.0052	31850
43	0.0053	31789
44	0.0054	31760
45	0.0055	31741
46	0.0056	31684
47	0.0057	31687
48	0.0058	31600
49	0.0059	31655
50	0.0060	31570
51	0.0061	31589
52	0.0062	0
53	0.0063	31490
54	0.0064	31019
55	0.0065	31002
56	0.0066	31001
57	0.0067	31126
58	0.0068	31085
59	0.0069	31154
60	0.0070	31140
61	0.0071	31141
62	0.0072	31234
63	0.0073	31183
64	0.0074	31246
65	0.0075	31233
66	0.0076	31259
67	0.0077	31305
68	0.0078	31250
69	0.0079	31334
70	0.0080	31305
71	0.0081	31325
72	0.0082	31335
73	0.0083	31326
74	0.0084	31400
75	0.0085	31335
76	0.0086	31413
77	0.0087	31382
78	0.0088	31405
79	0.0089	31405
80	0.0090	31383
81	0.0091	31457
82	0.0092	31392
83	0.0093	31466
84	0.0094	31441
85	0.0095	31464
86	0.0096	62898
87	0.0097	0
88	0.0098	63165
89	0.0099	32009
90	0.0100	31901
91	0.0101	31902
92	0.0102	0
93	0.0103	31766
94	0.0104	31322
95	0.0105	31264
96	0.0106	31281
97	0.0107	31336
98	0.0108	31278
99	0.0109	31377
100	0.0110	31335
101	0.0111	31369
102	0.0112	31359
103	0.0113	31352
104	0.0114	31390
105	0.0115	31325
106	0.0116	31413
107	0.0117	31362
108	0.0118	31397
109	0.0119	31387
110	0.0120	31376
111	0.0121	31416
112	0.0122	31357
113	0.0123	31415
114	0.0124	31358
115	0.0125	31378
116	0.0126	31361
117	0.0127	31345
118	0.0128	31377
119	0.0129	31309
120	0.0130	31376
121	0.0131	31331
122	0.0132	31343
123	0.0133	31340
124	0.0134	31328
125	0.0135	31369
126	0.0136	31298
127	0.0137	31356
128	0.0138	31324
129	0.0139	31337
130	0.0140	31339
131	0.0141	31313
132	0.0142	31393
133	0.0143	31328
134	0.0144	30746
135	0.0145	30732
136	0.0146	30792
137	0.0147	30485
138	0.0148	30811
139	0.0149	31277
140	0.0150	63645
141	0.0151	32344
142	0.0152	32548
143	0.0153	32890
144	0.0154	33020
145	0.0155	33282
146	0.0156	33437
147	0.0157	33610
148	0.0158	33785
149	0.0159	33866
150	0.0160	34071
151	0.0161	34111
152	0.0162	34191
153	0.0163	34338
154	0.0164	34345
155	0.0165	34443
156	0.0166	34541
157	0.0167	34523
158	0.0168	34595
159	0.0169	34669
160	0.0170	34655
161	0.0171	34717
162	0.0172	34801
163	0.0173	34784
164	0.0174	34803
165	0.0175	34888
166	0.0176	0
167	0.0177	0
168	0.0178	0
169	0.0179	0
170	0.0180	0
171	0.0181	34849
