	time	count
0	0.0010	151731
1	0.0011	312376
2	0.0012	301803
3	0.0013	172938
4	0.0014	175426
5	0.0015	179927
6	0.0016	182615
7	0.0017	186495
8	0.0018	190236
9	0.0019	192098
10	0.0020	391412
11	0.0021	198718
12	0.0022	199486
13	0.0023	201568
14	0.0024	202154
15	0.0025	204065
16	0.0026	204357
17	0.0027	205859
18	0.0028	205987
19	0.0029	205966
20	0.0030	207385
21	0.0031	207334
22	0.0032	207271
23	0.0033	208491
24	0.0034	208505
25	0.0035	208269
26	0.0036	208065
27	0.0037	209269
28	0.0038	209035
29	0.0039	208733
30	0.0040	208409
31	0.0041	208228
32	0.0042	207877
33	0.0043	209072
34	0.0044	208872
35	0.0045	208513
36	0.0046	208188
37	0.0047	208051
38	0.0048	207830
39	0.0049	207578
40	0.0050	207558
41	0.0051	203743
42	0.0052	203496
43	0.0053	203551
44	0.0054	203721
45	0.0055	203848
46	0.0056	203980
47	0.0057	204159
48	0.0058	204394
49	0.0059	204597
50	0.0060	204751
51	0.0061	204843
52	0.0062	206439
53	0.0063	206562
54	0.0064	206607
55	0.0065	206583
56	0.0066	206494
57	0.0067	206421
58	0.0068	206315
59	0.0069	206262
60	0.0070	206253
61	0.0071	206207
62	0.0072	206130
63	0.0073	206174
64	0.0074	206125
65	0.0075	206023
66	0.0076	205994
67	0.0077	205961
68	0.0078	206011
69	0.0079	206020
70	0.0080	206074
71	0.0081	206103
72	0.0082	206061
73	0.0083	206086
74	0.0084	205952
75	0.0085	205945
76	0.0086	205887
77	0.0087	205878
78	0.0088	205927
79	0.0089	205979
80	0.0090	205936
81	0.0091	202564
82	0.0092	202631
83	0.0093	202975
84	0.0094	203258
85	0.0095	203618
86	0.0096	203907
87	0.0097	204127
88	0.0098	204314
89	0.0099	204423
90	0.0100	204622
91	0.0101	204793
92	0.0102	204953
93	0.0103	205093
94	0.0104	205171
95	0.0105	205338
96	0.0106	205330
97	0.0107	205411
98	0.0108	205452
99	0.0109	205509
100	0.0110	205524
101	0.0111	205480
102	0.0112	205637
103	0.0113	205601
104	0.0114	205573
105	0.0115	205553
106	0.0116	205643
107	0.0117	205734
108	0.0118	205797
109	0.0119	205875
110	0.0120	205832
111	0.0121	205971
112	0.0122	205987
113	0.0123	205978
114	0.0124	206080
115	0.0125	206067
116	0.0126	206169
117	0.0127	206204
118	0.0128	206258
119	0.0129	207649
120	0.0130	207049
121	0.0131	203283
122	0.0132	203150
123	0.0133	200983
124	0.0134	204861
125	0.0135	207455
126	0.0136	209918
127	0.0137	211869
128	0.0138	213768
129	0.0139	215382
130	0.0140	216853
131	0.0141	218130
132	0.0142	219343
133	0.0143	220324
134	0.0144	221249
135	0.0145	222163
136	0.0146	222959
137	0.0147	223648
138	0.0148	224178
139	0.0149	224697
140	0.0150	225123
141	0.0151	225575
142	0.0152	225935
143	0.0153	226255
144	0.0154	226527
145	0.0155	226819
146	0.0156	227080
147	0.0157	227141
148	0.0158	227346
149	0.0159	227542
150	0.0160	227697
151	0.0161	227853
152	0.0162	228042
153	0.0163	228169
154	0.0164	228177
155	0.0165	228336
156	0.0166	228467
157	0.0167	228575
158	0.0168	228702
159	0.0169	228832
160	0.0170	228875
161	0.0171	228259
162	0.0172	0
163	0.0173	224999
164	0.0174	0
165	0.0175	0
166	0.0176	207439
