	time	count
0	0.0010	29057
1	0.0011	62137
2	0.0012	39447
3	0.0013	39769
4	0.0014	83743
5	0.0015	98318
6	0.0016	55141
7	0.0017	121607
8	0.0018	66635
9	0.0019	143227
10	0.0020	75918
11	0.0021	78379
12	0.0022	80547
13	0.0023	81871
14	0.0024	83573
15	0.0025	171745
16	0.0026	87850
17	0.0027	88964
18	0.0028	89395
19	0.0029	90284
20	0.0030	90561
21	0.0031	91315
22	0.0032	91490
23	0.0033	92750
24	0.0034	93395
25	0.0035	93898
26	0.0036	93290
27	0.0037	89879
28	0.0038	89010
29	0.0039	88685
30	0.0040	89534
31	0.0041	90437
32	0.0042	90714
33	0.0043	91454
34	0.0044	92167
35	0.0045	92255
36	0.0046	92823
37	0.0047	92826
38	0.0048	93319
39	0.0049	93822
40	0.0050	93719
41	0.0051	94102
42	0.0052	93973
43	0.0053	94343
44	0.0054	94155
45	0.0055	93962
46	0.0056	94308
47	0.0057	94140
48	0.0058	94488
49	0.0059	94304
50	0.0060	94622
51	0.0061	94423
52	0.0062	94187
53	0.0063	94521
54	0.0064	94332
55	0.0065	94124
56	0.0066	93935
57	0.0067	94306
58	0.0068	94153
59	0.0069	93951
60	0.0070	93760
61	0.0071	93604
62	0.0072	93465
63	0.0073	93332
64	0.0074	93764
65	0.0075	93663
66	0.0076	93524
67	0.0077	93395
68	0.0078	93309
69	0.0079	92077
70	0.0080	91947
71	0.0081	91965
72	0.0082	92006
73	0.0083	92045
74	0.0084	92067
75	0.0085	92071
76	0.0086	92496
77	0.0087	93050
78	0.0088	93030
79	0.0089	92960
80	0.0090	92764
81	0.0091	92691
82	0.0092	92654
83	0.0093	92596
84	0.0094	93017
85	0.0095	93504
86	0.0096	93438
87	0.0097	93334
88	0.0098	93228
89	0.0099	93128
90	0.0100	93006
91	0.0101	93495
92	0.0102	93423
93	0.0103	93203
94	0.0104	93080
95	0.0105	93003
96	0.0106	93356
97	0.0107	93829
98	0.0108	93743
99	0.0109	93600
100	0.0110	92967
101	0.0111	92853
102	0.0112	92792
103	0.0113	93182
104	0.0114	93671
105	0.0115	93452
106	0.0116	93306
107	0.0117	93211
108	0.0118	93093
109	0.0119	91481
110	0.0120	91375
111	0.0121	91444
112	0.0122	91081
113	0.0123	91584
114	0.0124	93263
115	0.0125	94933
116	0.0126	95810
117	0.0127	193722
118	0.0128	97733
119	0.0129	98221
120	0.0130	98673
121	0.0131	98559
122	0.0132	99484
123	0.0133	99856
124	0.0134	100131
125	0.0135	100381
126	0.0136	100607
127	0.0137	100800
128	0.0138	100980
129	0.0139	101123
130	0.0140	101253
131	0.0141	101252
132	0.0142	101350
133	0.0143	101855
134	0.0144	102508
135	0.0145	102566
136	0.0146	102539
137	0.0147	102516
138	0.0148	102493
139	0.0149	102456
140	0.0150	102428
141	0.0151	102415
142	0.0152	102395
143	0.0153	102377
144	0.0154	102376
145	0.0155	102362
146	0.0156	102226
147	0.0157	101999
148	0.0158	101657
149	0.0159	101150
150	0.0160	101217
151	0.0161	101333
152	0.0162	101436
153	0.0163	102107
154	0.0164	102203
155	0.0165	102217
156	0.0166	102129
157	0.0167	102108
158	0.0168	102130
159	0.0169	102725
160	0.0170	102753
161	0.0171	102714
162	0.0172	0
163	0.0173	102674
