	time	count
0	0.0010	0
1	0.0011	14373
2	0.0012	16483
3	0.0013	39251
4	0.0014	41514
5	0.0015	57646
6	0.0016	72284
7	0.0017	40552
8	0.0018	89375
9	0.0019	48273
10	0.0020	50431
11	0.0021	52337
12	0.0022	109582
13	0.0023	56452
14	0.0024	57702
15	0.0025	58910
16	0.0026	59981
17	0.0027	60886
18	0.0028	61343
19	0.0029	62082
20	0.0030	62767
21	0.0031	127315
22	0.0032	64025
23	0.0033	64446
24	0.0034	64924
25	0.0035	65273
26	0.0036	65208
27	0.0037	62239
28	0.0038	61305
29	0.0039	61447
30	0.0040	62177
31	0.0041	62845
32	0.0042	63057
33	0.0043	63612
34	0.0044	64180
35	0.0045	64192
36	0.0046	64663
37	0.0047	64653
38	0.0048	65020
39	0.0049	64949
40	0.0050	65335
41	0.0051	65230
42	0.0052	65559
43	0.0053	65441
44	0.0054	65674
45	0.0055	65591
46	0.0056	65895
47	0.0057	65799
48	0.0058	66135
49	0.0059	66016
50	0.0060	66240
51	0.0061	66039
52	0.0062	65797
53	0.0063	65657
54	0.0064	65945
55	0.0065	65798
56	0.0066	65645
57	0.0067	65515
58	0.0068	65757
59	0.0069	65636
60	0.0070	65475
61	0.0071	65341
62	0.0072	65207
63	0.0073	65111
64	0.0074	65034
65	0.0075	65374
66	0.0076	65358
67	0.0077	65238
68	0.0078	64044
69	0.0079	63898
70	0.0080	63889
71	0.0081	63881
72	0.0082	63933
73	0.0083	64460
74	0.0084	64485
75	0.0085	64439
76	0.0086	64700
77	0.0087	64645
78	0.0088	64577
79	0.0089	64552
80	0.0090	64829
81	0.0091	64796
82	0.0092	64747
83	0.0093	64707
84	0.0094	65027
85	0.0095	64910
86	0.0096	64856
87	0.0097	64829
88	0.0098	64767
89	0.0099	64697
90	0.0100	64668
91	0.0101	65077
92	0.0102	65029
93	0.0103	65315
94	0.0104	65254
95	0.0105	65170
96	0.0106	65401
97	0.0107	65303
98	0.0108	64812
99	0.0109	64733
100	0.0110	65175
101	0.0111	65136
102	0.0112	64671
103	0.0113	64944
104	0.0114	65312
105	0.0115	65611
106	0.0116	65532
107	0.0117	65359
108	0.0118	63924
109	0.0119	63759
110	0.0120	63775
111	0.0121	63111
112	0.0122	63849
113	0.0123	64665
114	0.0124	65392
115	0.0125	66058
116	0.0126	66619
117	0.0127	67167
118	0.0128	67593
119	0.0129	68045
120	0.0130	68419
121	0.0131	68739
122	0.0132	69067
123	0.0133	69308
124	0.0134	69513
125	0.0135	69689
126	0.0136	69927
127	0.0137	70134
128	0.0138	70275
129	0.0139	140913
130	0.0140	71105
131	0.0141	71109
132	0.0142	71131
133	0.0143	71993
134	0.0144	71975
135	0.0145	71944
136	0.0146	71889
137	0.0147	71925
138	0.0148	71843
139	0.0149	71755
140	0.0150	71750
141	0.0151	71688
142	0.0152	71637
143	0.0153	71669
144	0.0154	71654
145	0.0155	71672
146	0.0156	71992
147	0.0157	71694
148	0.0158	70757
149	0.0159	70721
150	0.0160	70798
151	0.0161	70844
152	0.0162	70887
153	0.0163	70999
154	0.0164	71060
155	0.0165	71122
156	0.0166	71488
157	0.0167	71572
158	0.0168	71504
159	0.0169	71551
160	0.0170	71546
