	time	count
0	0.0010	254358
1	0.0011	294200
2	0.0012	379922
3	0.0013	462518
4	0.0014	256053
5	0.0015	266286
6	0.0016	246809
7	0.0017	245335
8	0.0018	524120
9	0.0019	281130
10	0.0020	290987
11	0.0021	294969
12	0.0022	292169
13	0.0023	290161
14	0.0024	288581
15	0.0025	285520
16	0.0026	285831
17	0.0027	284485
18	0.0028	283496
19	0.0029	280869
20	0.0030	280096
21	0.0031	279555
22	0.0032	280782
23	0.0033	0
24	0.0034	278569
25	0.0035	276441
26	0.0036	275996
27	0.0037	273912
28	0.0038	273980
29	0.0039	275960
30	0.0040	274305
31	0.0041	272577
32	0.0042	272676
33	0.0043	271265
34	0.0044	273223
35	0.0045	271673
36	0.0046	270315
37	0.0047	267348
38	0.0048	268048
39	0.0049	270250
40	0.0050	272822
41	0.0051	273425
42	0.0052	272208
43	0.0053	268043
44	0.0054	268402
45	0.0055	267357
46	0.0056	270639
47	0.0057	266733
48	0.0058	265299
49	0.0059	264647
50	0.0060	263405
51	0.0061	264088
52	0.0062	267150
53	0.0063	268151
54	0.0064	267226
55	0.0065	266397
56	0.0066	264079
57	0.0067	263372
58	0.0068	264395
59	0.0069	265646
60	0.0070	266826
61	0.0071	266214
62	0.0072	263802
63	0.0073	262872
64	0.0074	261942
65	0.0075	263179
66	0.0076	262562
67	0.0077	262126
68	0.0078	260185
69	0.0079	258205
70	0.0080	258174
71	0.0081	261642
72	0.0082	261711
73	0.0083	263183
74	0.0084	262998
75	0.0085	261117
76	0.0086	257809
77	0.0087	258936
78	0.0088	262889
79	0.0089	262902
80	0.0090	259718
81	0.0091	259405
82	0.0092	259346
83	0.0093	259338
84	0.0094	260983
85	0.0095	262845
86	0.0096	262411
87	0.0097	257985
88	0.0098	255413
89	0.0099	254994
90	0.0100	258857
91	0.0101	260116
92	0.0102	259986
93	0.0103	257999
94	0.0104	256152
95	0.0105	256152
96	0.0106	259837
97	0.0107	261327
98	0.0108	261046
99	0.0109	259158
100	0.0110	260108
101	0.0111	259967
102	0.0112	261511
103	0.0113	259757
104	0.0114	260843
105	0.0115	259188
106	0.0116	258950
107	0.0117	258832
108	0.0118	260489
109	0.0119	261781
110	0.0120	261651
111	0.0121	261333
112	0.0122	259507
113	0.0123	259249
114	0.0124	260806
115	0.0125	262075
116	0.0126	261918
117	0.0127	261683
118	0.0128	261364
119	0.0129	261102
120	0.0130	262598
121	0.0131	262297
122	0.0132	261985
123	0.0133	262884
124	0.0134	262559
125	0.0135	262001
126	0.0136	261452
127	0.0137	0
128	0.0138	256251
129	0.0139	506159
130	0.0140	255018
131	0.0141	258100
132	0.0142	260941
133	0.0143	263584
134	0.0144	265799
135	0.0145	267988
136	0.0146	270115
137	0.0147	274203
138	0.0148	275925
139	0.0149	277150
140	0.0150	278492
141	0.0151	279390
142	0.0152	280150
143	0.0153	280674
144	0.0154	281319
145	0.0155	281709
146	0.0156	282139
147	0.0157	282446
148	0.0158	282877
149	0.0159	283351
150	0.0160	283642
151	0.0161	283991
152	0.0162	284001
153	0.0163	283865
154	0.0164	283982
155	0.0165	284177
156	0.0166	284384
