	time	count
0	0.0010	48700
1	0.0011	108076
2	0.0012	129070
3	0.0013	71368
4	0.0014	74464
5	0.0015	157326
6	0.0016	82992
7	0.0017	85470
8	0.0018	86969
9	0.0019	88858
10	0.0020	89937
11	0.0021	91474
12	0.0022	92909
13	0.0023	188850
14	0.0024	95651
15	0.0025	96577
16	0.0026	97393
17	0.0027	98110
18	0.0028	98155
19	0.0029	98711
20	0.0030	99265
21	0.0031	99736
22	0.0032	100145
23	0.0033	99949
24	0.0034	100283
25	0.0035	100633
26	0.0036	100378
27	0.0037	100102
28	0.0038	100412
29	0.0039	100742
30	0.0040	100466
31	0.0041	100728
32	0.0042	101014
33	0.0043	101286
34	0.0044	100961
35	0.0045	101178
36	0.0046	100848
37	0.0047	100400
38	0.0048	98957
39	0.0049	98693
40	0.0050	99148
41	0.0051	99040
42	0.0052	98901
43	0.0053	99345
44	0.0054	99214
45	0.0055	99627
46	0.0056	99493
47	0.0057	99889
48	0.0058	99717
49	0.0059	99510
50	0.0060	99907
51	0.0061	99738
52	0.0062	100104
53	0.0063	99386
54	0.0064	99162
55	0.0065	99583
56	0.0066	99457
57	0.0067	99280
58	0.0068	99115
59	0.0069	99554
60	0.0070	99429
61	0.0071	99254
62	0.0072	99088
63	0.0073	98936
64	0.0074	98272
65	0.0075	98734
66	0.0076	98695
67	0.0077	98604
68	0.0078	98503
69	0.0079	98439
70	0.0080	98370
71	0.0081	98311
72	0.0082	98249
73	0.0083	98198
74	0.0084	97633
75	0.0085	97601
76	0.0086	97625
77	0.0087	97746
78	0.0088	96125
79	0.0089	96126
80	0.0090	96274
81	0.0091	97022
82	0.0092	97175
83	0.0093	96719
84	0.0094	96780
85	0.0095	96902
86	0.0096	97013
87	0.0097	97105
88	0.0098	97187
89	0.0099	97257
90	0.0100	96777
91	0.0101	96839
92	0.0102	96939
93	0.0103	97034
94	0.0104	97138
95	0.0105	97235
96	0.0106	97307
97	0.0107	96826
98	0.0108	96883
99	0.0109	96963
100	0.0110	97047
101	0.0111	97127
102	0.0112	97192
103	0.0113	96709
104	0.0114	96776
105	0.0115	96886
106	0.0116	96994
107	0.0117	97085
108	0.0118	96624
109	0.0119	96688
110	0.0120	96808
111	0.0121	96921
112	0.0122	96479
113	0.0123	96558
114	0.0124	96703
115	0.0125	96839
116	0.0126	96917
117	0.0127	0
118	0.0128	96469
119	0.0129	94560
120	0.0130	94698
121	0.0131	189823
122	0.0132	96647
123	0.0133	97944
124	0.0134	98528
125	0.0135	99542
126	0.0136	100513
127	0.0137	100805
128	0.0138	101557
129	0.0139	101716
130	0.0140	102365
131	0.0141	103631
132	0.0142	103126
133	0.0143	103520
134	0.0144	104021
135	0.0145	104476
136	0.0146	103785
137	0.0147	104105
138	0.0148	104531
139	0.0149	104914
140	0.0150	104162
141	0.0151	104458
142	0.0152	104829
143	0.0153	104610
144	0.0154	104369
145	0.0155	104693
146	0.0156	104484
147	0.0157	104243
148	0.0158	104574
149	0.0159	104355
150	0.0160	104138
151	0.0161	103939
152	0.0162	104323
153	0.0163	104176
154	0.0164	103986
155	0.0165	103793
156	0.0166	103627
157	0.0167	103944
158	0.0168	102070
159	0.0169	101887
160	0.0170	101909
161	0.0171	101957
162	0.0172	102005
163	0.0173	102030
164	0.0174	102039
165	0.0175	102639
166	0.0176	102665
167	0.0177	102633
168	0.0178	102591
169	0.0179	102571
170	0.0180	102553
171	0.0181	102543
172	0.0182	102528
173	0.0183	102500
174	0.0184	102475
175	0.0185	102436
176	0.0186	102999
177	0.0187	102981
178	0.0188	102891
179	0.0189	102798
180	0.0190	102766
181	0.0191	102732
182	0.0192	102685
183	0.0193	102652
184	0.0194	102628
185	0.0195	102616
186	0.0196	102597
187	0.0197	102576
188	0.0198	103126
189	0.0199	103107
190	0.0200	103022
191	0.0201	102947
192	0.0202	103463
193	0.0203	102878
194	0.0204	102751
195	0.0205	103270
196	0.0206	103231
197	0.0207	102631
198	0.0208	101154
199	0.0209	101123
200	0.0210	101807
201	0.0211	100581
202	0.0212	101602
203	0.0213	102767
204	0.0214	103833
205	0.0215	104758
206	0.0216	105600
207	0.0217	106350
208	0.0218	107015
209	0.0219	107568
210	0.0220	108100
211	0.0221	108567
212	0.0222	108994
213	0.0223	109363
214	0.0224	109701
215	0.0225	110584
216	0.0226	221366
217	0.0227	111260
218	0.0228	111384
219	0.0229	111477
220	0.0230	111588
221	0.0231	111682
222	0.0232	111756
223	0.0233	111782
224	0.0234	111843
225	0.0235	111892
226	0.0236	111926
227	0.0237	112426
228	0.0238	113023
229	0.0239	112486
230	0.0240	112987
231	0.0241	112980
232	0.0242	112901
233	0.0243	112819
234	0.0244	112752
235	0.0245	112704
236	0.0246	112658
237	0.0247	0
238	0.0248	112349
239	0.0249	110856
240	0.0250	221858
241	0.0251	111722
242	0.0252	111865
243	0.0253	111395
244	0.0254	112013
245	0.0255	112119
246	0.0256	112150
247	0.0257	112155
248	0.0258	112186
249	0.0259	112210
250	0.0260	112219
251	0.0261	112222
252	0.0262	112238
253	0.0263	112693
254	0.0264	112660
255	0.0265	113190
256	0.0266	113157
257	0.0267	112568
258	0.0268	113065
259	0.0269	113042
260	0.0270	112973
261	0.0271	112912
262	0.0272	112855
263	0.0273	113371
264	0.0274	112794
265	0.0275	112687
266	0.0276	113221
267	0.0277	113182
268	0.0278	0
269	0.0279	112563
