	time	count
0	0.0010	14499
1	0.0011	16812
2	0.0012	41050
3	0.0013	17916
4	0.0014	40035
5	0.0015	21879
6	0.0016	22746
7	0.0017	48782
8	0.0018	25895
9	0.0019	26502
10	0.0020	27244
11	0.0021	27917
12	0.0022	28532
13	0.0023	29079
14	0.0024	58855
15	0.0025	29906
16	0.0026	30283
17	0.0027	30406
18	0.0028	30692
19	0.0029	30971
20	0.0030	31012
21	0.0031	31233
22	0.0032	31453
23	0.0033	31643
24	0.0034	31426
25	0.0035	31580
26	0.0036	31552
27	0.0037	31702
28	0.0038	31875
29	0.0039	31817
30	0.0040	31944
31	0.0041	30931
32	0.0042	30265
33	0.0043	30102
34	0.0044	30401
35	0.0045	30717
36	0.0046	30804
37	0.0047	30850
38	0.0048	31102
39	0.0049	31132
40	0.0050	31143
41	0.0051	31134
42	0.0052	31136
43	0.0053	31350
44	0.0054	31359
45	0.0055	31351
46	0.0056	31539
47	0.0057	31339
48	0.0058	31304
49	0.0059	31282
50	0.0060	31269
51	0.0061	31464
52	0.0062	31272
53	0.0063	31246
54	0.0064	31233
55	0.0065	31234
56	0.0066	31229
57	0.0067	31385
58	0.0068	31188
59	0.0069	31169
60	0.0070	31376
61	0.0071	31377
62	0.0072	31170
63	0.0073	31152
64	0.0074	31156
65	0.0075	31156
66	0.0076	31154
67	0.0077	30969
68	0.0078	30985
69	0.0079	31008
70	0.0080	31029
71	0.0081	30885
72	0.0082	30339
73	0.0083	30362
74	0.0084	30259
75	0.0085	30355
76	0.0086	30456
77	0.0087	30347
78	0.0088	30417
79	0.0089	30506
80	0.0090	30398
81	0.0091	30468
82	0.0092	30549
83	0.0093	30426
84	0.0094	30505
85	0.0095	30393
86	0.0096	30466
87	0.0097	30345
88	0.0098	30422
89	0.0099	30320
90	0.0100	30400
91	0.0101	30306
92	0.0102	30397
93	0.0103	30482
94	0.0104	30550
95	0.0105	30253
96	0.0106	30533
97	0.0107	30441
98	0.0108	30312
99	0.0109	30376
100	0.0110	30294
101	0.0111	30185
102	0.0112	30270
103	0.0113	30170
104	0.0114	30075
105	0.0115	29992
106	0.0116	30097
107	0.0117	30018
108	0.0118	29939
109	0.0119	29867
110	0.0120	29803
111	0.0121	0
112	0.0122	29777
113	0.0123	29183
114	0.0124	29336
115	0.0125	29347
116	0.0126	29330
117	0.0127	29002
118	0.0128	58949
119	0.0129	30166
120	0.0130	30439
121	0.0131	30660
122	0.0132	30864
123	0.0133	31041
124	0.0134	31185
125	0.0135	31334
126	0.0136	31470
127	0.0137	31777
128	0.0138	31686
129	0.0139	31963
130	0.0140	32044
131	0.0141	32091
132	0.0142	32125
133	0.0143	32174
134	0.0144	32213
135	0.0145	32251
136	0.0146	32272
137	0.0147	32302
138	0.0148	32330
139	0.0149	32499
140	0.0150	32507
141	0.0151	32724
142	0.0152	32714
143	0.0153	32676
144	0.0154	32650
145	0.0155	32653
146	0.0156	32630
147	0.0157	32614
148	0.0158	32602
149	0.0159	32601
150	0.0160	32590
151	0.0161	32501
152	0.0162	31993
153	0.0163	31993
154	0.0164	32448
155	0.0165	32146
156	0.0166	32167
157	0.0167	32626
158	0.0168	32654
159	0.0169	32292
160	0.0170	32707
161	0.0171	32729
162	0.0172	32699
163	0.0173	32674
164	0.0174	32655
165	0.0175	32638
166	0.0176	32615
167	0.0177	32598
168	0.0178	32594
169	0.0179	32581
170	0.0180	32573
171	0.0181	32564
172	0.0182	32767
173	0.0183	32750
174	0.0184	32721
175	0.0185	32521
176	0.0186	32701
177	0.0187	32694
178	0.0188	32667
179	0.0189	32649
180	0.0190	32642
181	0.0191	32633
182	0.0192	32618
183	0.0193	32612
184	0.0194	32604
185	0.0195	32595
186	0.0196	32588
187	0.0197	32583
188	0.0198	32779
189	0.0199	32771
190	0.0200	32745
191	0.0201	32704
192	0.0202	32243
193	0.0203	32220
194	0.0204	32251
195	0.0205	32288
196	0.0206	32307
197	0.0207	32323
198	0.0208	32336
199	0.0209	32360
200	0.0210	32377
201	0.0211	32388
202	0.0212	32390
203	0.0213	32620
204	0.0214	32624
205	0.0215	32617
206	0.0216	32611
207	0.0217	32607
208	0.0218	32590
209	0.0219	32570
210	0.0220	32580
211	0.0221	32576
212	0.0222	32568
213	0.0223	32559
214	0.0224	32556
215	0.0225	32745
216	0.0226	32741
217	0.0227	32533
218	0.0228	32710
219	0.0229	32900
220	0.0230	32693
221	0.0231	32645
222	0.0232	32633
223	0.0233	32808
224	0.0234	32615
225	0.0235	32584
226	0.0236	32777
227	0.0237	32763
228	0.0238	32541
229	0.0239	32725
230	0.0240	32932
231	0.0241	32866
232	0.0242	32303
233	0.0243	32285
234	0.0244	32306
235	0.0245	32322
236	0.0246	31990
237	0.0247	32327
238	0.0248	32682
239	0.0249	33009
240	0.0250	33294
241	0.0251	33561
242	0.0252	33802
243	0.0253	34007
244	0.0254	68572
245	0.0255	34529
246	0.0256	34672
247	0.0257	34796
248	0.0258	35109
249	0.0259	35206
250	0.0260	35273
251	0.0261	35337
252	0.0262	35389
253	0.0263	35426
254	0.0264	35472
255	0.0265	35516
256	0.0266	35535
257	0.0267	35547
258	0.0268	35580
259	0.0269	35594
260	0.0270	35603
261	0.0271	35622
262	0.0272	35847
263	0.0273	35866
264	0.0274	35843
265	0.0275	35848
266	0.0276	35837
267	0.0277	35826
268	0.0278	35817
269	0.0279	35822
270	0.0280	35822
271	0.0281	35726
272	0.0282	35117
273	0.0283	35114
274	0.0284	35168
