	time	count
0	0.0010	2270
1	0.0011	0
2	0.0012	0
3	0.0013	0
4	0.0014	0
5	0.0015	0
6	0.0016	1181
7	0.0017	0
8	0.0018	0
9	0.0019	0
10	0.0020	0
11	0.0021	0
12	0.0022	0
13	0.0023	0
14	0.0024	0
15	0.0025	0
16	0.0026	1061
17	0.0027	0
18	0.0028	0
19	0.0029	0
20	0.0030	0
21	0.0031	0
22	0.0032	0
23	0.0033	0
24	0.0034	0
25	0.0035	0
26	0.0036	844
27	0.0037	0
28	0.0038	0
29	0.0039	0
30	0.0040	0
31	0.0041	0
32	0.0042	0
33	0.0043	0
34	0.0044	751
35	0.0045	0
36	0.0046	0
37	0.0047	0
38	0.0048	0
39	0.0049	0
40	0.0050	0
41	0.0051	670
42	0.0052	0
43	0.0053	0
44	0.0054	0
45	0.0055	0
46	0.0056	0
47	0.0057	0
48	0.0058	599
49	0.0059	0
50	0.0060	0
51	0.0061	0
52	0.0062	0
53	0.0063	0
54	0.0064	537
55	0.0065	0
56	0.0066	0
57	0.0067	0
58	0.0068	0
59	0.0069	483
60	0.0070	0
61	0.0071	0
62	0.0072	0
63	0.0073	0
64	0.0074	395
65	0.0075	0
66	0.0076	0
67	0.0077	0
68	0.0078	357
69	0.0079	0
70	0.0080	0
71	0.0081	0
72	0.0082	325
73	0.0083	0
74	0.0084	0
75	0.0085	0
76	0.0086	297
77	0.0087	0
78	0.0088	272
79	0.0089	0
80	0.0090	0
81	0.0091	251
82	0.0092	0
83	0.0093	0
84	0.0094	231
85	0.0095	0
86	0.0096	214
87	0.0097	0
88	0.0098	0
89	0.0099	201
90	0.0100	0
91	0.0101	188
92	0.0102	0
93	0.0103	178
94	0.0104	168
95	0.0105	0
96	0.0106	0
97	0.0107	161
98	0.0108	152
99	0.0109	0
100	0.0110	146
101	0.0111	0
102	0.0112	136
103	0.0113	130
104	0.0114	127
105	0.0115	0
106	0.0116	123
107	0.0117	120
108	0.0118	119
109	0.0119	0
110	0.0120	116
111	0.0121	114
112	0.0122	114
113	0.0123	112
114	0.0124	0
115	0.0125	110
116	0.0126	109
117	0.0127	109
118	0.0128	107
119	0.0129	106
120	0.0130	106
121	0.0131	0
122	0.0132	105
123	0.0133	104
124	0.0134	104
125	0.0135	104
126	0.0136	102
127	0.0137	101
128	0.0138	101
129	0.0139	0
130	0.0140	102
131	0.0141	100
132	0.0142	100
133	0.0143	100
134	0.0144	100
135	0.0145	99
136	0.0146	99
137	0.0147	100
138	0.0148	100
139	0.0149	99
140	0.0150	0
141	0.0151	99
142	0.0152	99
143	0.0153	100
144	0.0154	99
145	0.0155	99
146	0.0156	100
147	0.0157	102
148	0.0158	101
149	0.0159	101
150	0.0160	103
151	0.0161	104
152	0.0162	103
153	0.0163	104
154	0.0164	106
155	0.0165	106
156	0.0166	106
157	0.0167	107
158	0.0168	108
159	0.0169	108
160	0.0170	108
161	0.0171	108
162	0.0172	109
163	0.0173	108
164	0.0174	108
165	0.0175	0
166	0.0176	109
167	0.0177	109
168	0.0178	108
169	0.0179	108
170	0.0180	109
171	0.0181	109
172	0.0182	109
173	0.0183	110
174	0.0184	110
175	0.0185	110
176	0.0186	110
177	0.0187	0
178	0.0188	110
179	0.0189	107
180	0.0190	106
181	0.0191	107
182	0.0192	106
183	0.0193	105
184	0.0194	106
185	0.0195	108
186	0.0196	107
187	0.0197	107
188	0.0198	108
189	0.0199	108
190	0.0200	0
191	0.0201	107
192	0.0202	107
193	0.0203	108
194	0.0204	108
195	0.0205	108
196	0.0206	108
197	0.0207	109
198	0.0208	107
199	0.0209	107
200	0.0210	108
201	0.0211	108
202	0.0212	108
203	0.0213	108
204	0.0214	109
205	0.0215	0
206	0.0216	108
207	0.0217	107
208	0.0218	108
209	0.0219	108
210	0.0220	107
211	0.0221	107
212	0.0222	108
213	0.0223	107
214	0.0224	107
215	0.0225	108
216	0.0226	108
217	0.0227	106
218	0.0228	106
219	0.0229	108
220	0.0230	0
221	0.0231	108
222	0.0232	106
223	0.0233	106
224	0.0234	108
225	0.0235	107
226	0.0236	107
227	0.0237	107
228	0.0238	107
229	0.0239	107
230	0.0240	107
231	0.0241	110
232	0.0242	110
233	0.0243	110
234	0.0244	111
235	0.0245	112
236	0.0246	112
237	0.0247	112
238	0.0248	114
239	0.0249	113
240	0.0250	113
241	0.0251	114
242	0.0252	114
243	0.0253	0
244	0.0254	226
245	0.0255	0
246	0.0256	116
247	0.0257	115
248	0.0258	115
249	0.0259	116
250	0.0260	116
251	0.0261	116
252	0.0262	117
253	0.0263	117
254	0.0264	116
255	0.0265	116
256	0.0266	117
257	0.0267	116
258	0.0268	116
259	0.0269	117
260	0.0270	0
261	0.0271	231
262	0.0272	117
263	0.0273	0
264	0.0274	117
265	0.0275	116
266	0.0276	116
267	0.0277	118
268	0.0278	117
269	0.0279	117
270	0.0280	118
271	0.0281	117
272	0.0282	117
273	0.0283	118
274	0.0284	117
275	0.0285	116
276	0.0286	116
277	0.0287	5035
