	time	count
0	0.0010	58920
1	0.0011	39341
2	0.0012	84804
3	0.0013	103189
4	0.0014	57895
5	0.0015	128000
6	0.0016	68745
7	0.0017	71867
8	0.0018	150628
9	0.0019	78308
10	0.0020	80398
11	0.0021	81726
12	0.0022	82858
13	0.0023	83337
14	0.0024	84782
15	0.0025	85625
16	0.0026	86346
17	0.0027	87549
18	0.0028	88714
19	0.0029	89039
20	0.0030	179078
21	0.0031	90527
22	0.0032	90787
23	0.0033	90967
24	0.0034	91116
25	0.0035	91249
26	0.0036	91319
27	0.0037	91417
28	0.0038	91500
29	0.0039	91588
30	0.0040	92216
31	0.0041	92282
32	0.0042	92296
33	0.0043	92285
34	0.0044	90587
35	0.0045	88535
36	0.0046	89230
37	0.0047	89582
38	0.0048	89347
39	0.0049	89603
40	0.0050	89875
41	0.0051	90132
42	0.0052	90365
43	0.0053	90533
44	0.0054	90707
45	0.0055	91413
46	0.0056	91059
47	0.0057	91133
48	0.0058	91260
49	0.0059	91915
50	0.0060	91511
51	0.0061	91540
52	0.0062	92151
53	0.0063	92194
54	0.0064	92205
55	0.0065	92231
56	0.0066	92211
57	0.0067	92212
58	0.0068	92204
59	0.0069	92217
60	0.0070	92234
61	0.0071	92248
62	0.0072	92227
63	0.0073	92218
64	0.0074	92230
65	0.0075	92228
66	0.0076	92238
67	0.0077	92240
68	0.0078	92237
69	0.0079	92241
70	0.0080	92242
71	0.0081	92247
72	0.0082	92249
73	0.0083	92217
74	0.0084	92138
75	0.0085	90889
76	0.0086	90893
77	0.0087	91032
78	0.0088	91139
79	0.0089	91226
80	0.0090	91309
81	0.0091	91412
82	0.0092	91506
83	0.0093	91586
84	0.0094	91651
85	0.0095	92243
86	0.0096	91807
87	0.0097	91784
88	0.0098	91854
89	0.0099	92460
90	0.0100	92376
91	0.0101	92312
92	0.0102	92852
93	0.0103	92838
94	0.0104	92784
95	0.0105	92701
96	0.0106	92655
97	0.0107	92604
98	0.0108	92559
99	0.0109	92525
100	0.0110	92483
101	0.0111	92425
102	0.0112	92389
103	0.0113	92354
104	0.0114	92345
105	0.0115	92311
106	0.0116	92294
107	0.0117	92284
108	0.0118	92279
109	0.0119	92274
110	0.0120	92258
111	0.0121	92242
112	0.0122	92240
113	0.0123	92237
114	0.0124	92230
115	0.0125	90760
116	0.0126	90755
117	0.0127	90369
118	0.0128	90327
119	0.0129	91432
120	0.0130	92016
121	0.0131	93064
122	0.0132	94659
123	0.0133	95586
124	0.0134	96367
125	0.0135	97438
126	0.0136	97862
127	0.0137	98328
128	0.0138	98762
129	0.0139	99727
130	0.0140	100061
131	0.0141	99796
132	0.0142	100577
133	0.0143	100271
134	0.0144	101004
135	0.0145	101207
136	0.0146	100803
137	0.0147	203056
138	0.0148	102083
139	0.0149	0
140	0.0150	204003
141	0.0151	102565
142	0.0152	103171
143	0.0153	0
144	0.0154	204581
145	0.0155	102442
146	0.0156	103047
147	0.0157	103418
148	0.0158	102798
149	0.0159	102182
150	0.0160	102667
151	0.0161	102661
152	0.0162	103199
153	0.0163	0
154	0.0164	102834
155	0.0165	101409
156	0.0166	101148
157	0.0167	101190
158	0.0168	101876
159	0.0169	101982
160	0.0170	202968
161	0.0171	0
162	0.0172	204267
163	0.0173	0
164	0.0174	102190
165	0.0175	204075
166	0.0176	102608
167	0.0177	0
168	0.0178	102627
169	0.0179	204085
170	0.0180	102598
171	0.0181	102612
172	0.0182	102567
173	0.0183	102554
174	0.0184	102341
175	0.0185	102871
176	0.0186	103275
177	0.0187	103216
178	0.0188	102595
179	0.0189	102496
180	0.0190	103012
181	0.0191	102984
182	0.0192	102909
183	0.0193	102822
184	0.0194	102756
185	0.0195	102699
186	0.0196	0
187	0.0197	102643
188	0.0198	102084
189	0.0199	204097
190	0.0200	102629
191	0.0201	102640
192	0.0202	102598
193	0.0203	0
194	0.0204	102560
195	0.0205	101149
196	0.0206	101067
197	0.0207	101154
198	0.0208	101267
199	0.0209	203080
200	0.0210	103178
201	0.0211	104181
202	0.0212	105056
203	0.0213	105840
204	0.0214	106418
205	0.0215	105702
206	0.0216	107490
207	0.0217	108730
