	time	count
0	0.0010	7161
1	0.0011	8484
2	0.0012	10532
3	0.0013	6081
4	0.0014	6254
5	0.0015	13813
6	0.0016	7285
7	0.0017	7594
8	0.0018	7725
9	0.0019	7842
10	0.0020	8075
11	0.0021	8295
12	0.0022	16617
13	0.0023	8485
14	0.0024	8633
15	0.0025	8758
16	0.0026	8697
17	0.0027	8123
18	0.0028	7967
19	0.0029	8122
20	0.0030	8260
21	0.0031	8228
22	0.0032	8319
23	0.0033	8260
24	0.0034	8275
25	0.0035	0
26	0.0036	8191
27	0.0037	7955
28	0.0038	8013
29	0.0039	8040
30	0.0040	8011
31	0.0041	7856
32	0.0042	7805
33	0.0043	7845
34	0.0044	7848
35	0.0045	7713
36	0.0046	7680
37	0.0047	7737
38	0.0048	7755
39	0.0049	7561
40	0.0050	7655
41	0.0051	7735
42	0.0052	7710
43	0.0053	7527
44	0.0054	7648
45	0.0055	7718
46	0.0056	7642
47	0.0057	7521
48	0.0058	7650
49	0.0059	7692
50	0.0060	7519
51	0.0061	7540
52	0.0062	7690
53	0.0063	7634
54	0.0064	7495
55	0.0065	7563
56	0.0066	7624
57	0.0067	0
58	0.0068	7554
59	0.0069	14861
60	0.0070	0
61	0.0071	7508
62	0.0072	14824
63	0.0073	0
64	0.0074	7542
65	0.0075	7467
66	0.0076	14967
67	0.0077	0
68	0.0078	7553
69	0.0079	7381
70	0.0080	7528
71	0.0081	7600
72	0.0082	7526
73	0.0083	7489
74	0.0084	7574
75	0.0085	7597
76	0.0086	7418
77	0.0087	7561
78	0.0088	7636
79	0.0089	7572
80	0.0090	7466
81	0.0091	7603
82	0.0092	7648
83	0.0093	7432
84	0.0094	7548
85	0.0095	7703
86	0.0096	7607
87	0.0097	7458
88	0.0098	7601
89	0.0099	7654
90	0.0100	7506
91	0.0101	7499
92	0.0102	7639
93	0.0103	7655
94	0.0104	7475
95	0.0105	7551
96	0.0106	7677
97	0.0107	7549
98	0.0108	7370
99	0.0109	7445
100	0.0110	7496
101	0.0111	7348
102	0.0112	7453
103	0.0113	7579
104	0.0114	7508
105	0.0115	7464
106	0.0116	7551
107	0.0117	7583
108	0.0118	7434
109	0.0119	7518
110	0.0120	7589
111	0.0121	7527
112	0.0122	7467
113	0.0123	7552
114	0.0124	7592
115	0.0125	7433
116	0.0126	7519
117	0.0127	7594
118	0.0128	7532
119	0.0129	7462
120	0.0130	7555
121	0.0131	7599
122	0.0132	7456
123	0.0133	7517
124	0.0134	7605
125	0.0135	7558
126	0.0136	7460
127	0.0137	7548
128	0.0138	7597
129	0.0139	7441
130	0.0140	7518
131	0.0141	7610
132	0.0142	0
133	0.0143	15019
134	0.0144	7574
135	0.0145	7627
136	0.0146	7493
137	0.0147	0
138	0.0148	7472
139	0.0149	7433
140	0.0150	7446
141	0.0151	7287
142	0.0152	7385
143	0.0153	7523
144	0.0154	14809
145	0.0155	7651
146	0.0156	7690
147	0.0157	7646
148	0.0158	7801
149	0.0159	7918
150	0.0160	7900
151	0.0161	7876
152	0.0162	7996
153	0.0163	8077
154	0.0164	8049
155	0.0165	7999
156	0.0166	8109
157	0.0167	8203
158	0.0168	8214
159	0.0169	8050
160	0.0170	8200
161	0.0171	8299
162	0.0172	8330
163	0.0173	8261
164	0.0174	8147
165	0.0175	8291
166	0.0176	8375
167	0.0177	8388
168	0.0178	8226
169	0.0179	8208
170	0.0180	8341
171	0.0181	8406
172	0.0182	8405
173	0.0183	8193
174	0.0184	8276
175	0.0185	8359
176	0.0186	8466
177	0.0187	8344
178	0.0188	8082
179	0.0189	8157
180	0.0190	8311
181	0.0191	8411
182	0.0192	8303
183	0.0193	8176
184	0.0194	8248
185	0.0195	8391
186	0.0196	8413
187	0.0197	8275
188	0.0198	8216
189	0.0199	8286
190	0.0200	8364
191	0.0201	8370
192	0.0202	8249
193	0.0203	8243
194	0.0204	8320
195	0.0205	8375
196	0.0206	8374
197	0.0207	8231
198	0.0208	8274
199	0.0209	8351
200	0.0210	8391
201	0.0211	8354
