	time	count
0	0.0010	1156
1	0.0011	0
2	0.0012	1133
3	0.0013	0
4	0.0014	1051
5	0.0015	0
6	0.0016	987
7	0.0017	0
8	0.0018	935
9	0.0019	887
10	0.0020	0
11	0.0021	849
12	0.0022	815
13	0.0023	0
14	0.0024	787
15	0.0025	762
16	0.0026	739
17	0.0027	0
18	0.0028	722
19	0.0029	704
20	0.0030	689
21	0.0031	679
22	0.0032	674
23	0.0033	665
24	0.0034	656
25	0.0035	0
26	0.0036	646
27	0.0037	637
28	0.0038	618
29	0.0039	605
30	0.0040	603
31	0.0041	603
32	0.0042	605
33	0.0043	602
34	0.0044	600
35	0.0045	603
36	0.0046	604
37	0.0047	603
38	0.0048	603
39	0.0049	604
40	0.0050	604
41	0.0051	601
42	0.0052	605
43	0.0053	605
44	0.0054	603
45	0.0055	604
46	0.0056	605
47	0.0057	605
48	0.0058	600
49	0.0059	606
50	0.0060	607
51	0.0061	601
52	0.0062	599
53	0.0063	604
54	0.0064	600
55	0.0065	599
56	0.0066	602
57	0.0067	607
58	0.0068	602
59	0.0069	604
60	0.0070	604
61	0.0071	603
62	0.0072	603
63	0.0073	605
64	0.0074	605
65	0.0075	603
66	0.0076	606
67	0.0077	606
68	0.0078	595
69	0.0079	596
70	0.0080	597
71	0.0081	597
72	0.0082	596
73	0.0083	599
74	0.0084	600
75	0.0085	599
76	0.0086	602
77	0.0087	603
78	0.0088	603
79	0.0089	603
80	0.0090	604
81	0.0091	604
82	0.0092	602
83	0.0093	604
84	0.0094	604
85	0.0095	603
86	0.0096	603
87	0.0097	604
88	0.0098	0
89	0.0099	604
90	0.0100	602
91	0.0101	605
92	0.0102	606
93	0.0103	605
94	0.0104	605
95	0.0105	607
96	0.0106	607
97	0.0107	605
98	0.0108	608
99	0.0109	608
100	0.0110	606
101	0.0111	606
102	0.0112	607
103	0.0113	607
104	0.0114	602
105	0.0115	608
106	0.0116	608
107	0.0117	602
108	0.0118	603
109	0.0119	595
110	0.0120	585
111	0.0121	591
112	0.0122	606
113	0.0123	609
114	0.0124	612
115	0.0125	621
116	0.0126	1257
117	0.0127	634
118	0.0128	639
119	0.0129	646
120	0.0130	647
121	0.0131	649
122	0.0132	653
123	0.0133	655
124	0.0134	655
125	0.0135	655
126	0.0136	660
127	0.0137	662
128	0.0138	662
129	0.0139	661
130	0.0140	664
131	0.0141	666
132	0.0142	667
133	0.0143	667
134	0.0144	667
135	0.0145	670
136	0.0146	670
137	0.0147	670
138	0.0148	669
139	0.0149	669
140	0.0150	670
141	0.0151	670
142	0.0152	670
143	0.0153	668
144	0.0154	669
145	0.0155	670
146	0.0156	670
147	0.0157	0
148	0.0158	669
149	0.0159	1314
150	0.0160	664
151	0.0161	0
152	0.0162	665
153	0.0163	661
154	0.0164	1322
155	0.0165	667
156	0.0166	0
157	0.0167	668
158	0.0168	1327
159	0.0169	666
160	0.0170	0
161	0.0171	671
162	0.0172	667
163	0.0173	665
164	0.0174	668
165	0.0175	668
166	0.0176	668
167	0.0177	667
168	0.0178	667
169	0.0179	670
170	0.0180	670
171	0.0181	670
172	0.0182	669
173	0.0183	670
174	0.0184	671
175	0.0185	671
176	0.0186	670
177	0.0187	669
178	0.0188	671
179	0.0189	673
180	0.0190	673
181	0.0191	672
182	0.0192	671
183	0.0193	674
184	0.0194	674
185	0.0195	674
186	0.0196	673
187	0.0197	672
188	0.0198	674
189	0.0199	666
190	0.0200	666
191	0.0201	665
192	0.0202	667
193	0.0203	669
194	0.0204	670
195	0.0205	669
196	0.0206	668
197	0.0207	671
198	0.0208	671
199	0.0209	671
200	0.0210	670
201	0.0211	670
202	0.0212	672
203	0.0213	672
204	0.0214	672
205	0.0215	4358
206	0.0216	5570
207	0.0217	3533
208	0.0218	7781
