	time	ins	cycle	memory	branchm
0	0.001	26503.0	66549	11217.0	1030.0
1	0.0011	84254.0	106437	25366.0	1030.0
2	0.0012	151498.0	193976	50456.0	1030.0
3	0.0013	237959.0	305153	81144.0	2043.0
4	0.0014	288709.0	368128	106369.0	2043.0
5	0.0015	402026.0	506321	138036.0	2043.0
6	0.0016	533085.0	580889	169129.0	2986.0
7	0.0017	604845.0	658335	207496.0	2986.0
8	0.0018	679234.0	821404	232788.0	2986.0
9	0.0019	757669.0	907235	258937.0	2986.0
10	0.002	922377.0	995567	297154.0	3849.0
11	0.0021	1008001.0	1086111	343206.0	3849.0
12	0.0022	1095141.0	1178614	372658.0	3849.0
13	0.0023	1184257.0	1272227	402771.0	3849.0
14	0.0024	1276118.0	1367338	433431.0	3849.0
15	0.0025	1369733.0	1560418	464658.0	4630.0
16	0.0026	1464136.0	1658763	496561.0	4630.0
17	0.0027	1656929.0	1757589	528833.0	4630.0
18	0.0028	1755112.0	1857349	574184.0	4630.0
19	0.0029	1853650.0	1957994	627296.0	4630.0
20	0.003	1953157.0	2059429	660918.0	5335.0
21	0.0031	2053590.0	2161569	694805.0	5335.0
22	0.0032	2154747.0	2263748	728559.0	5335.0
23	0.0033	2256614.0	2366472	761780.0	5335.0
24	0.0034	2353576.0	2464880	774144.0	5335.0
25	0.0035	2448436.0	2561191	825540.0	5919.0
26	0.0036	2543667.0	2658352	857820.0	5919.0
27	0.0037	2639516.0	2756056	890320.0	5919.0
28	0.0038	2735310.0	2853356	922392.0	5919.0
29	0.0039	2831193.0	2950608	954459.0	6446.0
30	0.004	2927231.0	3047856	986587.0	6446.0
31	0.0041	3022805.0	3144576	1018571.0	6446.0
32	0.0042	3118533.0	3241307	1050606.0	6446.0
33	0.0043	3214441.0	3338117	1082684.0	6924.0
34	0.0044	3310530.0	3435006	1114828.0	6924.0
35	0.0045	3406165.0	3531414	1146834.0	6924.0
36	0.0046	3501960.0	3627882	1178903.0	6924.0
37	0.0047	3597999.0	3724449	1211037.0	7359.0
38	0.0048	3694203.0	3821124	1243143.0	7359.0
39	0.0049	3789947.0	3917349	1275181.0	7359.0
40	0.005	3885851.0	4013644	1307286.0	7756.0
41	0.0051	3981953.0	4110053	1339467.0	7756.0
42	0.0052	4077651.0	4206027	1371500.0	7756.0
43	0.0053	4173466.0	4302100	1403558.0	8119.0
44	0.0054	4269437.0	4398309	1416153.0	8119.0
45	0.0055	4364990.0	4494088	1467670.0	8119.0
46	0.0056	4460704.0	4589994	1499711.0	8453.0
47	0.0057	4556604.0	4686060	1512210.0	8453.0
48	0.0058	4652014.0	4781725	1544230.0	8453.0
49	0.0059	4747567.0	4877527	1595639.0	8762.0
50	0.006	4843384.0	4973502	1608136.0	8762.0
51	0.0061	4938780.0	5069099	1640172.0	9048.0
52	0.0062	5034356.0	5164850	1672060.0	9048.0
53	0.0063	5129510.0	5260252	1703996.0	9316.0
54	0.0064	5224846.0	5355814	1735804.0	9316.0
55	0.0065	5319840.0	5451041	1767691.0	9567.0
56	0.0066	5415095.0	5546454	1799477.0	9567.0
57	0.0067	5509996.0	5641551	1831327.0	9803.0
58	0.0068	5605103.0	5736845	1863055.0	9803.0
59	0.0069	5699833.0	5831828	1894875.0	10026.0
60	0.007	5794886.0	5927034	1926587.0	10026.0
61	0.0071	5889619.0	6021941	1958392.0	10237.0
62	0.0072	5984597.0	6117085	1990075.0	10438.0
63	0.0073	5984597.0	6211931	2009403.0	10438.0
64	0.0074	6079308.0	6211931	2041138.0	10624.0
65	0.0075	6172118.0	6306558	2072234.0	10802.0
66	0.0076	6265175.0	6399747	2103334.0	10802.0
67	0.0077	6358046.0	6492680	2134446.0	10975.0
68	0.0078	6450746.0	6585485	2165512.0	11143.0
69	0.0079	6543889.0	6678743	2196536.0	11308.0
70	0.008	6636958.0	6771911	2227627.0	11308.0
71	0.0081	6729768.0	6864962	2258733.0	11469.0
72	0.0082	6822410.0	6957882	2289803.0	11626.0
73	0.0083	6914896.0	7051242	2320818.0	11782.0
74	0.0084	7007843.0	7144499	2351883.0	11935.0
75	0.0085	7100680.0	7237612	2382911.0	11935.0
76	0.0086	7193347.0	7330598	2413904.0	12086.0
77	0.0087	7285901.0	7423462	2444941.0	12235.0
78	0.0088	7378351.0	7516225	2475926.0	12382.0
79	0.0089	7470673.0	7609456	2506879.0	12527.0
80	0.009	7563469.0	7702587	2537915.0	12671.0
81	0.0091	7656187.0	7795590	2568917.0	12671.0
82	0.0092	7748767.0	7888479	2599858.0	12814.0
83	0.0093	7841209.0	7981262	2630856.0	12955.0
84	0.0094	7933528.0	8073951	2661823.0	13096.0
85	0.0095	8025758.0	8166552	2692742.0	13237.0
86	0.0096	8117826.0	8259077	2723607.0	13377.0
87	0.0097	8209808.0	8352087	2754445.0	13517.0
88	0.0098	8301672.0	8445042	2785248.0	13656.0
89	0.0099	8394119.0	8537889	2816137.0	13795.0
90	0.01	8486479.0	8630645	2847005.0	13933.0
91	0.0101	8578737.0	8723302	2877854.0	14070.0
92	0.0102	8670951.0	8815884	2908689.0	14207.0
93	0.0103	8763058.0	8908401	2939481.0	14344.0
94	0.0104	8855078.0	9000854	2970247.0	14344.0
95	0.0105	8946990.0	9093231	3000994.0	14481.0
96	0.0106	9038864.0	9185559	3031801.0	14618.0
97	0.0107	9130643.0	9277851	3062588.0	14755.0
98	0.0108	9222366.0	9370105	3093358.0	14892.0
99	0.0109	9314069.0	9462329	3124116.0	15030.0
100	0.011	9405720.0	9554524	3154836.0	15167.0
101	0.0111	9497326.0	9647250	3185544.0	15303.0
102	0.0112	9589516.0	9739942	3216372.0	15439.0
103	0.0113	9681698.0	9832548	3247173.0	15576.0
