	time	ins	cycle	memory	branchm
0	0.001	58943.0	49337	9039.0	927
1	0.0011	89941.0	113620	21145.0	927
2	0.0012	195164.0	152885	49749.0	927
3	0.0013	262789.0	191921	128822.0	927
4	0.0014	421971.0	278979	208415.0	1919
5	0.0015	608731.0	320766	260110.0	1919
6	0.0016	813766.0	409468	371468.0	1919
7	0.0017	934688.0	515714	507057.0	1919
8	0.0018	1210734.0	575635	585461.0	1919
9	0.0019	1364430.0	639659	757870.0	1919
10	0.002	1699265.0	778120	851403.0	1919
11	0.0021	1879270.0	851876	948675.0	1919
12	0.0022	2065504.0	928250	1153529.0	1919
13	0.0023	2258126.0	1006913	1261837.0	2815
14	0.0024	2660157.0	1170174	1372371.0	2815
15	0.0025	2866793.0	1253773	1485181.0	2815
16	0.0026	3077177.0	1338836	1598967.0	2815
17	0.0027	3293833.0	1424643	1716187.0	2815
18	0.0028	3513674.0	1511638	1833795.0	2815
19	0.0029	3736846.0	1599787	2013905.0	2815
20	0.003	3962091.0	1688952	2135849.0	2815
21	0.0031	4189387.0	1779011	2259600.0	2815
22	0.0032	4418987.0	1869903	2384193.0	2815
23	0.0033	4882947.0	1961479	2573122.0	2815
24	0.0034	5117872.0	2053673	2700858.0	3613
25	0.0035	5352105.0	2146440	2828127.0	3613
26	0.0036	5587350.0	2239156	2954867.0	3613
27	0.0037	5823721.0	2332291	3083158.0	3613
28	0.0038	6061538.0	2425867	3212681.0	3613
29	0.0039	6299992.0	2519857	3341808.0	3613
30	0.004	6539058.0	2614160	3470647.0	3613
31	0.0041	6778883.0	2803610	3600783.0	3613
32	0.0042	7019569.0	2898731	3731960.0	4322
33	0.0043	7260672.0	2898731	3862546.0	4322
34	0.0044	7500362.0	2994035	3992659.0	4322
35	0.0045	7740623.0	3183999	4122139.0	4322
36	0.0046	7981927.0	3279265	4253313.0	4322
37	0.0047	8223454.0	3374703	4384331.0	4322
38	0.0048	8465305.0	3470316	4515159.0	4322
39	0.0049	8707330.0	3566060	4645569.0	4322
40	0.005	8949540.0	3661922	4777058.0	4322
41	0.0051	9192414.0	3757925	4909460.0	4954
42	0.0052	9435325.0	3854012	5040766.0	4954
43	0.0053	9676890.0	3949672	5171458.0	4954
44	0.0054	9918695.0	4045380	5301563.0	4954
45	0.0055	10160448.0	4045380	5431306.0	4954
46	0.0056	10160448.0	4140875	5559442.0	4954
47	0.0057	10631241.0	4234386	5687295.0	4954
48	0.0058	10866563.0	4328626	5814889.0	5460
49	0.0059	11105224.0	4423164	5944468.0	5460
50	0.006	11343231.0	4517378	6073825.0	5460
51	0.0061	11581566.0	4611290	6202710.0	5460
52	0.0062	11820551.0	4705444	6331724.0	5460
53	0.0063	12060919.0	4799867	6461519.0	5460
54	0.0064	12301574.0	4894570	6591944.0	5912
55	0.0065	12542557.0	4989506	6722200.0	5912
56	0.0066	12782295.0	5084633	6851681.0	5912
57	0.0067	13022485.0	5179426	6981085.0	5912
58	0.0068	13263729.0	5369575	7112318.0	5912
59	0.0069	13505313.0	5464939	7243218.0	5912
60	0.007	13747097.0	5560472	7373940.0	6318
61	0.0071	13989206.0	5656135	7503936.0	6318
62	0.0072	14230740.0	5751441	7635169.0	6318
63	0.0073	14472407.0	5846857	7766396.0	6318
64	0.0074	14714122.0	5942373	7897369.0	6318
65	0.0075	14956095.0	6038017	8028227.0	6683
66	0.0076	15198264.0	6133774	8158444.0	6683
67	0.0077	15439600.0	6229129	8289805.0	6683
68	0.0078	15681097.0	6324559	8420930.0	6683
69	0.0079	15922758.0	6420135	8551864.0	7013
70	0.008	16164899.0	6515850	8682413.0	7013
71	0.0081	16406436.0	6611166	8813610.0	7013
72	0.0082	16647905.0	6706597	8945292.0	7013
73	0.0083	16889521.0	6802149	9076354.0	7013
74	0.0084	17131322.0	6897839	9207271.0	7312
75	0.0085	17373709.0	6993651	9337477.0	7312
76	0.0086	17615064.0	7089070	9468938.0	7312
77	0.0087	17856864.0	7184593	9600320.0	7584
78	0.0088	18098664.0	7280246	9731425.0	7584
79	0.0089	18339011.0	7376107	9862362.0	7584
80	0.009	18582141.0	7471913	9992921.0	7584
81	0.0091	18825383.0	7567785	10125257.0	7833
82	0.0092	19068761.0	7663748	10256799.0	7833
83	0.0093	19310627.0	7759274	10387713.0	7833
84	0.0094	19552775.0	7854875	10452012.0	8061
85	0.0095	19795380.0	7854875	10647970.0	8061
86	0.0096	20033412.0	7950544	10777613.0	8061
87	0.0097	20033412.0	8044581	10840931.0	8256
88	0.0098	20504840.0	8139335	10969801.0	8256
89	0.0099	20745107.0	8234307	11163848.0	8436
90	0.01	20986014.0	8328820	11294621.0	8436
91	0.0101	21225775.0	8423530	11424739.0	8436
92	0.0102	21465990.0	8517947	11488301.0	8603
93	0.0103	21703834.0	8612561	11618029.0	8603
94	0.0104	21944281.0	8707438	11813252.0	8760
95	0.0105	22185997.0	8801968	11943790.0	8760
96	0.0106	22425157.0	8896934	12007479.0	8907
97	0.0107	22663181.0	8992267	12137393.0	9048
98	0.0108	22901874.0	9087224	12332228.0	9048
99	0.0109	23141032.0	9182308	12396587.0	9182
100	0.011	23382259.0	9277065	12526641.0	9182
101	0.0111	23622615.0	9371820	12655997.0	9311
102	0.0112	23863779.0	9466218	12785616.0	9434
103	0.0113	23863779.0	9560869	12914919.0	9434
104	0.0114	24102344.0	9655788	13044647.0	9552
105	0.0115	24577719.0	9750410	13173697.0	9667
106	0.0116	24577719.0	9845210	13302248.0	9667
107	0.0117	24817319.0	9939216	13430421.0	9779
108	0.0118	25055630.0	10033496	13560177.0	9888
109	0.0119	25530298.0	10128515	13689309.0	9888
110	0.012	25530298.0	10223212	13817749.0	9994
111	0.0121	25769449.0	10317049	13946662.0	10097
112	0.0122	26007642.0	10410604	14075606.0	10197
113	0.0123	26244734.0	10505090	14203961.0	10197
114	0.0124	26480901.0	10599352	14331706.0	10296
115	0.0125	26718985.0	10692822	14460165.0	10393
116	0.0126	26955790.0	10786608	14589356.0	10490
117	0.0127	27191763.0	10880569	14717916.0	10586
118	0.0128	27428155.0	10974803	14845633.0	10682
119	0.0129	27665846.0	11068172	14972939.0	10777
120	0.013	27902256.0	11161822	15100970.0	10777
121	0.0131	28137550.0	11255712	15228962.0	10871
122	0.0132	28372183.0	11349358	15356814.0	10965
123	0.0133	28607960.0	11442739	15485076.0	11057
124	0.0134	28846307.0	11536309	15613355.0	11149
125	0.0135	29082473.0	11630253	15678325.0	11149
126	0.0136	29317979.0	11723972	15804211.0	11239
127	0.0137	29547910.0	11815507	15928323.0	11329
128	0.0138	29779358.0	11907726	16055612.0	11419
129	0.0139	30012975.0	12000901	16246715.0	11512
130	0.014	30249006.0	12094935	16376713.0	11605
131	0.0141	30727599.0	12189779	16507955.0	11698
132	0.0142	30970755.0	12382715	16707566.0	11791
133	0.0143	31217316.0	12480049	16840549.0	11884
134	0.0144	31465968.0	12578213	16974245.0	11977
135	0.0145	31716762.0	12677217	17109929.0	12070
136	0.0146	31967891.0	12776959	17248197.0	12163
137	0.0147	32218941.0	12876913	17385624.0	12256
138	0.0148	32470533.0	12977013	17523136.0	12349
139	0.0149	32723055.0	13077198	17660505.0	12349
140	0.015	32977133.0	13178086	17797478.0	12442
141	0.0151	33231492.0	13279137	17934994.0	12535
142	0.0152	33485799.0	13380245	18072639.0	12628
143	0.0153	33740208.0	13481372	18211284.0	12721
144	0.0154	33994564.0	13582533	18349642.0	12814
145	0.0155	34248956.0	13683711	18487763.0	12907
146	0.0156	34503420.0	13784887	18625594.0	13000
147	0.0157	34759783.0	13886092	18763566.0	13093
148	0.0158	35016006.0	13987742	18901827.0	13187
