	time	ins	cycle	memory	branchm
0	0.001	0	30387.0	0.0	2332.0
1	0.0011	48169	94272.0	17087.0	2332.0
2	0.0012	75804	133398.0	30723.0	2332.0
3	0.0013	171458	172648.0	64392.0	2332.0
4	0.0014	281677	212383.0	135277.0	2332.0
5	0.0015	426278	295885.0	250624.0	2332.0
6	0.0016	725564	391788.0	342152.0	2332.0
7	0.0017	852139	445537.0	454209.0	2332.0
8	0.0018	1137905	566136.0	575334.0	3459.0
9	0.0019	1295735	632267.0	711142.0	3459.0
10	0.002	1460185	701105.0	851728.0	3459.0
11	0.0021	1811605	847579.0	952237.0	3459.0
12	0.0022	1997290	924683.0	1056455.0	3459.0
13	0.0023	2188263	1004050.0	1220388.0	3459.0
14	0.0024	2384911	1085427.0	1386907.0	3459.0
15	0.0025	2586087	1168559.0	1502460.0	3459.0
16	0.0026	3005239	1252647.0	1619840.0	3459.0
17	0.0027	3220436	1338118.0	1739057.0	3459.0
18	0.0028	3438093	1512890.0	1860386.0	3459.0
19	0.0029	3658280	1601866.0	1982904.0	3459.0
20	0.003	3881049	1691781.0	2106621.0	3459.0
21	0.0031	4106057	1782524.0	2231854.0	4466.0
22	0.0032	4332457	1873958.0	2357742.0	4466.0
23	0.0033	4558708	1965483.0	2483941.0	4466.0
24	0.0034	4787131	2057594.0	2606904.0	4466.0
25	0.0035	5002691	2145543.0	2725183.0	4466.0
26	0.0036	5213542	2231687.0	2843295.0	4466.0
27	0.0037	5424764	2319348.0	3024377.0	4466.0
28	0.0038	5641438	2407535.0	3146270.0	4466.0
29	0.0039	5860717	2496660.0	3269513.0	4466.0
30	0.004	6081863	2586664.0	3454632.0	4466.0
31	0.0041	6305188	2677457.0	3580671.0	4466.0
32	0.0042	6531019	2768969.0	3707992.0	4466.0
33	0.0043	6987093	2861092.0	3835840.0	4466.0
34	0.0044	7216990	2953790.0	3964360.0	5264.0
35	0.0045	7448716	3046997.0	4093638.0	5264.0
36	0.0046	7679836	3140657.0	4222972.0	5264.0
37	0.0047	7911834	3234173.0	4352894.0	5264.0
38	0.0048	8144524	3328023.0	4483088.0	5264.0
39	0.0049	8377849	3422231.0	4613634.0	5264.0
40	0.005	8611991	3516764.0	4744623.0	5264.0
41	0.0051	8847272	3611584.0	4875993.0	5264.0
42	0.0052	9083545	3706679.0	5007932.0	5264.0
43	0.0053	9320087	3802008.0	5140370.0	5264.0
44	0.0054	9556748	3897517.0	5272970.0	5264.0
45	0.0055	9793943	3993196.0	5405724.0	5971.0
46	0.0056	10031471	4089016.0	5538162.0	5971.0
47	0.0057	10267887	4184436.0	5670411.0	5971.0
48	0.0058	10505093	4279989.0	5802956.0	5971.0
49	0.0059	10742716	4375704.0	5935678.0	5971.0
50	0.006	10980854	4567593.0	6068961.0	5971.0
51	0.0061	11219082	4663729.0	6202424.0	5971.0
52	0.0062	11457262	4759971.0	6335918.0	5971.0
53	0.0063	11695729	4856281.0	6469434.0	5971.0
54	0.0064	11934323	4952664.0	6602910.0	6599.0
55	0.0065	12173030	4952664.0	6736496.0	6599.0
56	0.0066	12410537	5145125.0	6869869.0	6599.0
57	0.0067	12648674	5241182.0	7002899.0	6599.0
58	0.0068	12887319	5337351.0	7136202.0	6599.0
59	0.0069	13126020	5433614.0	7269861.0	6599.0
60	0.007	13364747	5529970.0	7403638.0	6599.0
61	0.0071	13603652	5626382.0	7537407.0	6599.0
62	0.0072	13842576	5722878.0	7671114.0	6599.0
63	0.0073	14081512	5722878.0	7804857.0	7158.0
64	0.0074	14320240	5819434.0	7938202.0	7158.0
