	time	ins	cycle	memory	branchm
0	0.001	80838.0	122674	20826.0	1568.0
1	0.0011	273043.0	271006	46747.0	3200.0
2	0.0012	514974.0	352952	66373.0	4761.0
3	0.0013	648229.0	440140	85891.0	6421.0
4	0.0014	929075.0	626782	117488.0	8131.0
5	0.0015	1082719.0	725364	139166.0	8131.0
6	0.0016	1240996.0	826648	161201.0	9760.0
7	0.0017	1579768.0	931765	184155.0	9760.0
8	0.0018	1761072.0	1037874	221803.0	11304.0
9	0.0019	1947816.0	1146345	256879.0	11304.0
10	0.002	2140027.0	1368578	282260.0	12771.0
11	0.0021	2336304.0	1482590	308044.0	12771.0
12	0.0022	2536287.0	1597667	334677.0	14141.0
13	0.0023	2949481.0	1714197	361457.0	14141.0
14	0.0024	3160761.0	1831423	388762.0	15418.0
15	0.0025	3374381.0	1949811	432503.0	15418.0
16	0.0026	3590162.0	2068722	444242.0	16614.0
17	0.0027	3808945.0	2188637	488958.0	16614.0
18	0.0028	4028625.0	2308879	529971.0	17735.0
19	0.0029	4252179.0	2429348	558852.0	17735.0
20	0.003	4475717.0	2551239	588333.0	18786.0
21	0.0031	4702412.0	2672805	617699.0	18786.0
22	0.0032	4928844.0	2794996	647515.0	19782.0
23	0.0033	5157981.0	2917268	677237.0	19782.0
24	0.0034	5388361.0	3040119	707384.0	20721.0
25	0.0035	5620899.0	3162457	720024.0	21582.0
26	0.0036	5843807.0	3280987	736640.0	21582.0
27	0.0037	6059445.0	3396651	764862.0	22415.0
28	0.0038	6271653.0	3510683	792496.0	23205.0
29	0.0039	6271653.0	3510683	819309.0	23205.0
30	0.004	6479173.0	3622402	846102.0	23963.0
31	0.0041	6682745.0	3731548	872126.0	23963.0
32	0.0042	6883293.0	3839286	882947.0	24687.0
33	0.0043	7082146.0	3945866	897967.0	25368.0
34	0.0044	7279077.0	4050956	938131.0	25368.0
35	0.0045	7474096.0	4155023	948762.0	26042.0
36	0.0046	7670644.0	4257748	974228.0	26683.0
37	0.0047	7864347.0	4359834	999133.0	27311.0
38	0.0048	8056123.0	4460904	1023903.0	27911.0
39	0.0049	8245960.0	4561024	1048463.0	27911.0
40	0.005	8432539.0	4660821	1072675.0	28509.0
41	0.0051	8621021.0	4660821	1097043.0	29078.0
42	0.0052	8807791.0	4759891	1121119.0	29078.0
43	0.0053	8992738.0	4858259	1145099.0	29645.0
44	0.0054	9180061.0	4956519	1169116.0	30185.0
45	0.0055	9365587.0	5054565	1192816.0	30723.0
46	0.0056	9365587.0	5152054	1216679.0	31251.0
47	0.0057	9550041.0	5249018	1240320.0	31775.0
48	0.0058	9733342.0	5345494	1263737.0	31775.0
49	0.0059	9914074.0	5442069	1273536.0	32296.0
50	0.006	10094748.0	5538255	1297159.0	32799.0
51	0.0061	10274181.0	5634035	1333850.0	33306.0
52	0.0062	10452574.0	5729473	1343610.0	33808.0
53	0.0063	10631356.0	5824606	1366879.0	34306.0
54	0.0064	10808843.0	5919463	1389792.0	34807.0
55	0.0065	10985709.0	6014049	1412880.0	35288.0
56	0.0066	11165932.0	6108399	1426180.0	35785.0
57	0.0067	11342887.0	6203090	1448923.0	36312.0
58	0.0068	11518989.0	6297109	1471787.0	36823.0
59	0.0069	11695261.0	6391473	1494510.0	37348.0
60	0.007	11870137.0	6485198	1517072.0	37870.0
61	0.0071	12045101.0	6578729	1539806.0	38380.0
62	0.0072	12220659.0	6672670	1562328.0	38911.0
63	0.0073	12394183.0	6766005	1584753.0	39454.0
64	0.0074	12567907.0	6859220	1607333.0	39986.0
65	0.0075	12741207.0	6952367	1629705.0	39986.0
66	0.0076	12914349.0	7045644	1651991.0	41021.0
67	0.0077	13086267.0	7137908	1674191.0	41547.0
68	0.0078	13256099.0	7230086	1696112.0	42092.0
69	0.0079	13425217.0	7321804	1718221.0	42641.0
70	0.008	13595576.0	7413571	1740384.0	43179.0
71	0.0081	13765541.0	7505972	1762313.0	43179.0
72	0.0082	13935499.0	7598429	1784551.0	43713.0
73	0.0083	14108019.0	7690890	1806702.0	44227.0
74	0.0084	14279900.0	7783354	1828759.0	44747.0
75	0.0085	14451781.0	7875832	1851131.0	45254.0
76	0.0086	14624986.0	7968334	1873594.0	45254.0
77	0.0087	14797498.0	8061381	1895947.0	45751.0
78	0.0088	14971418.0	8154390	1918498.0	46235.0
79	0.0089	15146348.0	8247333	1940954.0	46710.0
80	0.009	15320118.0	8340220	1963307.0	47195.0
81	0.0091	15493916.0	8433081	1985866.0	47670.0
82	0.0092	15668790.0	8525929	2008384.0	48142.0
83	0.0093	15842884.0	8618740	2030997.0	48142.0
84	0.0094	16017389.0	8712046	2053817.0	49049.0
85	0.0095	16193752.0	8805316	2076460.0	49049.0
86	0.0096	16369266.0	8898512	2099123.0	49502.0
87	0.0097	16545091.0	8991650	2121934.0	49946.0
88	0.0098	16720978.0	9084740	2144560.0	50393.0
89	0.0099	16896185.0	9177752	2167287.0	50838.0
90	0.01	17072113.0	9270698	2190128.0	51269.0
91	0.0101	17247586.0	9363579	2212836.0	51710.0
92	0.0102	17422425.0	9456406	2235655.0	52153.0
93	0.0103	17598243.0	9549203	2258397.0	52591.0
94	0.0104	17773564.0	9641979	2281062.0	52591.0
95	0.0105	17948561.0	9734714	2304002.0	53448.0
96	0.0106	18125873.0	9827965	2326805.0	53885.0
97	0.0107	18302379.0	9921205	2349484.0	54344.0
98	0.0108	18478415.0	10014285	2372519.0	54788.0
99	0.0109	18656635.0	10107838	2395378.0	54788.0
100	0.011	18833783.0	10201890	2418347.0	55236.0
101	0.0111	19010789.0	10295309	2427895.0	55672.0
102	0.0112	19188354.0	10388563	2464160.0	56108.0
103	0.0113	19366100.0	10482256	2487247.0	56549.0
104	0.0114	19543012.0	10575385	2496790.0	56976.0
105	0.0115	19719854.0	10668412	2520017.0	57419.0
106	0.0116	19896652.0	10761844	2542730.0	57852.0
107	0.0117	20070065.0	10853778	2565345.0	58277.0
108	0.0118	20244050.0	10945618	2587797.0	58717.0
109	0.0119	20417396.0	11037525	2610022.0	59178.0
110	0.012	20591583.0	11129513	2632504.0	59627.0
111	0.0121	20765298.0	11221569	2654892.0	60085.0
112	0.0122	20938325.0	11313654	2677125.0	60553.0
113	0.0123	21112158.0	11405758	2699624.0	61008.0
114	0.0124	21285508.0	11497902	2721958.0	61471.0
115	0.0125	21458602.0	11590091	2744264.0	61927.0
116	0.0126	21632881.0	11682326	2766921.0	62376.0
117	0.0127	21806650.0	11775141	2789338.0	62376.0
118	0.0128	21980194.0	11867424	2811808.0	62831.0
119	0.0129	22155780.0	11960183	2834559.0	63715.0
120	0.013	22330556.0	12052937	2856959.0	63715.0
121	0.0131	22504258.0	12145669	2879498.0	64173.0
122	0.0132	22679944.0	12238369	2902219.0	64621.0
123	0.0133	22854607.0	12331052	2924615.0	65076.0
124	0.0134	23029296.0	12423696	2947310.0	65521.0
125	0.0135	23204411.0	12516297	2969988.0	65968.0
126	0.0136	23378690.0	12608894	2992388.0	66428.0
127	0.0137	23553397.0	12701499	3015145.0	66874.0
128	0.0138	23728323.0	12794108	3037825.0	67321.0
129	0.0139	23902595.0	12886703	3060381.0	67772.0
