	time	ins	cycle	memory	branchm
0	0.001	433232.0	194384	135966.0	1810.0
1	0.0011	674830.0	302210	264958.0	1810.0
2	0.0012	1193824.0	415248	363095.0	1810.0
3	0.0013	1470431.0	656486	529246.0	3480.0
4	0.0014	1756986.0	783720	680714.0	3480.0
5	0.0015	2050473.0	913922	792589.0	5028.0
6	0.0016	2351498.0	1047320	906889.0	5028.0
7	0.0017	2970110.0	1182930	1023300.0	6475.0
8	0.0018	3288136.0	1321083	1141975.0	6475.0
9	0.0019	3609510.0	1460874	1261893.0	7830.0
10	0.002	3935293.0	1602684	1383580.0	7830.0
11	0.0021	4263528.0	1890365	1506265.0	9107.0
12	0.0022	4593591.0	2035882	1630319.0	10317.0
13	0.0023	4926920.0	2182711	1829723.0	10317.0
14	0.0024	5261746.0	2330142	2006952.0	11468.0
15	0.0025	5599416.0	2478635	2133970.0	12564.0
16	0.0026	5938069.0	2627516	2261672.0	12564.0
17	0.0027	6277457.0	2776697	2389605.0	13617.0
18	0.0028	6618950.0	2926695	2441650.0	14565.0
19	0.0029	6941356.0	3069096	2583976.0	14565.0
20	0.003	7256548.0	3069096	2633154.0	15471.0
21	0.0031	7256548.0	3208392	2752183.0	15471.0
22	0.0032	7568363.0	3345209	2866933.0	16337.0
23	0.0033	7869186.0	3477139	2866933.0	16337.0
24	0.0034	8159523.0	3477139	2977703.0	17156.0
25	0.0035	8159523.0	3604515	3084793.0	17934.0
26	0.0036	8440643.0	3727861	3188920.0	17934.0
27	0.0037	8714632.0	3847643	3230024.0	18674.0
28	0.0038	8981339.0	3964722	3290113.0	19379.0
29	0.0039	9241547.0	3964722	3388878.0	19379.0
30	0.004	9241547.0	4079014	3485364.0	20057.0
31	0.0041	9495840.0	4190787	3579796.0	20713.0
32	0.0042	9744905.0	4300339	3672678.0	20713.0
33	0.0043	9990586.0	4407921	3763928.0	21344.0
34	0.0044	10232141.0	4514245	3800310.0	21956.0
35	0.0045	10469944.0	4619017	3853681.0	22549.0
36	0.0046	10704452.0	4619017	3942289.0	23127.0
37	0.0047	10935835.0	4722367	4029715.0	23127.0
38	0.0048	11164489.0	4824425	4116099.0	23693.0
39	0.0049	11390762.0	4925337	4201556.0	24248.0
40	0.005	11390762.0	5025243	4286402.0	24792.0
41	0.0051	11614906.0	5124262	4370504.0	25324.0
42	0.0052	11838522.0	5222494	4454020.0	25846.0
43	0.0053	12060593.0	5320576	4536844.0	25846.0
44	0.0054	12280998.0	5418023	4619073.0	26362.0
45	0.0055	12499802.0	5514848	4701026.0	26871.0
46	0.0056	12717310.0	5611133	4782481.0	27376.0
47	0.0057	12933591.0	5706926	4863618.0	27877.0
48	0.0058	13148903.0	5802290	4944289.0	28374.0
49	0.0059	13363248.0	5897239	5024647.0	28867.0
50	0.006	13576664.0	5991820	5104635.0	29358.0
51	0.0061	13789204.0	6086065	5184319.0	29846.0
52	0.0062	14000949.0	6180032	5263718.0	30333.0
53	0.0063	14212016.0	6273742	5295850.0	30819.0
54	0.0064	14422443.0	6367225	5342877.0	31302.0
55	0.0065	14632385.0	6460496	5421824.0	31784.0
56	0.0066	14841899.0	6553596	5500605.0	32263.0
57	0.0067	15050994.0	6646534	5579210.0	32741.0
58	0.0068	15259811.0	6739346	5657728.0	32741.0
59	0.0069	15469423.0	6739346	5736747.0	33217.0
60	0.007	15674546.0	6832483	5814132.0	33684.0
61	0.0071	15879190.0	6923700	5891259.0	34150.0
62	0.0072	16083983.0	7014748	5968424.0	34616.0
63	0.0073	16288887.0	7105852	6045576.0	35082.0
64	0.0074	16493920.0	7197037	6122777.0	35548.0
65	0.0075	16700510.0	7288275	6199997.0	36010.0
66	0.0076	16907287.0	7470935	6277248.0	36473.0
67	0.0077	17114008.0	7562888	6354578.0	36933.0
68	0.0078	17320676.0	7654889	6431855.0	37393.0
69	0.0079	17527350.0	7746878	6509195.0	37852.0
70	0.008	17734010.0	7838867	6586537.0	38312.0
71	0.0081	17940579.0	7930821	6663890.0	38772.0
72	0.0082	18147192.0	8022764	6741291.0	39232.0
73	0.0083	18353796.0	8114689	6818665.0	39692.0
74	0.0084	18560328.0	8206603	6896116.0	40152.0
75	0.0085	18766793.0	8298499	6973487.0	40612.0
76	0.0086	18973266.0	8390391	7050912.0	41072.0
77	0.0087	19179654.0	8482268	7128295.0	41533.0
78	0.0088	19386006.0	8574125	7205675.0	41993.0
79	0.0089	19592241.0	8665952	7283061.0	42454.0
80	0.009	19798482.0	8757769	7360385.0	42915.0
81	0.0091	20004704.0	8849576	7437797.0	43378.0
82	0.0092	20210823.0	8941374	7515138.0	43841.0
83	0.0093	20416971.0	9033170	7592496.0	44304.0
84	0.0094	20623062.0	9124958	7669838.0	44767.0
85	0.0095	20829144.0	9216743	7747179.0	45230.0
86	0.0096	21035216.0	9308537	7824542.0	45695.0
87	0.0097	21241250.0	9400317	7901842.0	46160.0
88	0.0098	21447330.0	9492098	7979220.0	46626.0
89	0.0099	21653296.0	9583859	8056543.0	47092.0
90	0.01	21859300.0	9675620	8133866.0	47558.0
91	0.0101	22065263.0	9767385	8211187.0	48021.0
92	0.0102	22271241.0	9859146	8288720.0	48484.0
93	0.0103	22477231.0	9950910	8366303.0	48947.0
94	0.0104	22683187.0	10042648	8443791.0	49410.0
95	0.0105	22889159.0	10134369	8521322.0	49873.0
96	0.0106	23095027.0	10226071	8598768.0	50335.0
97	0.0107	23300859.0	10317726	8676208.0	50797.0
98	0.0108	23506551.0	10317726	8753582.0	51259.0
99	0.0109	23712214.0	10409353	8830891.0	51717.0
100	0.011	23915111.0	10499838	8907198.0	52175.0
101	0.0111	24118048.0	10590308	8983453.0	52634.0
102	0.0112	24321278.0	10680899	9059873.0	53093.0
103	0.0113	24524744.0	10771608	9136328.0	53552.0
104	0.0114	24728342.0	10862424	9212834.0	54013.0
105	0.0115	24932051.0	10953323	9289414.0	54474.0
106	0.0116	25136046.0	11044306	9366011.0	54935.0
107	0.0117	25340195.0	11135361	9442742.0	55396.0
108	0.0118	25544413.0	11226473	9519473.0	55858.0
109	0.0119	25748652.0	11317629	9596218.0	56322.0
110	0.012	25953048.0	11408823	9673011.0	56785.0
111	0.0121	26157684.0	11500078	9749842.0	57248.0
112	0.0122	26362446.0	11591378	9826807.0	57711.0
113	0.0123	26567230.0	11682726	9903726.0	58175.0
114	0.0124	26772025.0	11774110	9980671.0	58639.0
115	0.0125	26976920.0	11865524	10057625.0	59103.0
116	0.0126	27181908.0	11956970	10134602.0	59567.0
117	0.0127	27386898.0	12048430	10211624.0	60031.0
