	time	ins	cycle	memory	branchm
0	0.001	77457.0	42811	37668.0	0.0
1	0.0011	280506.0	86047	121826.0	1345.0
2	0.0012	511881.0	182365	214551.0	1345.0
3	0.0013	804727.0	297042	334667.0	1345.0
4	0.0014	974210.0	362319	448509.0	1345.0
5	0.0015	1356356.0	504156	527292.0	1345.0
6	0.0016	1566665.0	580625	698500.0	1345.0
7	0.0017	1789859.0	660625	790049.0	2583.0
8	0.0018	2260310.0	743792	885479.0	2583.0
9	0.0019	2503104.0	917603	983142.0	2583.0
10	0.002	2751991.0	1007600	1123812.0	2583.0
11	0.0021	3006744.0	1099629	1291428.0	2583.0
12	0.0022	3266891.0	1193468	1398548.0	3692.0
13	0.0023	3531636.0	1288890	1507185.0	3692.0
14	0.0024	3798746.0	1385120	1617068.0	3692.0
15	0.0025	4344243.0	1482602	1728418.0	3692.0
16	0.0026	4621868.0	1581244	1841112.0	4693.0
17	0.0027	4902163.0	1680936	1954996.0	4693.0
18	0.0028	5182995.0	1781555	2069574.0	4693.0
19	0.0029	5466162.0	1882423	2184666.0	4693.0
20	0.003	5751549.0	2086298	2300682.0	5598.0
21	0.0031	6039022.0	2189216	2417542.0	5598.0
22	0.0032	6326399.0	2292121	2534860.0	5598.0
23	0.0033	6617342.0	2395514	2652197.0	5598.0
24	0.0034	6909927.0	2395514	2770196.0	6349.0
25	0.0035	7186839.0	2494820	2882944.0	6349.0
26	0.0036	7454095.0	2591977	2993019.0	6349.0
27	0.0037	7721019.0	2687944	3101682.0	6349.0
28	0.0038	7988620.0	2783950	3210493.0	7030.0
29	0.0039	8255150.0	2880130	3319365.0	7030.0
30	0.004	8522430.0	2975923	3428104.0	7030.0
31	0.0041	8790725.0	3071861	3537210.0	7653.0
32	0.0042	9057849.0	3167999	3646364.0	7653.0
33	0.0043	9325796.0	3263773	3755377.0	7653.0
34	0.0044	9594591.0	3359707	3864766.0	8225.0
35	0.0045	9862583.0	3455830	3974491.0	8225.0
36	0.0046	10131096.0	3551602	4083898.0	8750.0
37	0.0047	10400032.0	3647517	4193445.0	8750.0
38	0.0048	10667845.0	3743612	4302911.0	8750.0
39	0.0049	10936204.0	3839324	4412213.0	9236.0
40	0.005	11203332.0	3935194	4521458.0	9236.0
41	0.0051	11471251.0	4030732	4630521.0	9690.0
42	0.0052	11740059.0	4126456	4739968.0	9690.0
43	0.0053	12008014.0	4221870	4849080.0	10113.0
44	0.0054	12276568.0	4317480	4958436.0	10113.0
45	0.0055	12544211.0	4413325	5067908.0	10508.0
46	0.0056	12812440.0	4508839	5177191.0	10508.0
47	0.0057	12812440.0	4603984	5286119.0	10882.0
48	0.0058	13346096.0	4699351	5395063.0	11239.0
49	0.0059	13346096.0	4794435	5503831.0	11239.0
50	0.006	13613009.0	4889751	5612673.0	11577.0
51	0.0061	13879053.0	4984762	5721385.0	11577.0
52	0.0062	14145850.0	5080014	5830154.0	11897.0
53	0.0063	14411710.0	5174990	5938529.0	12206.0
54	0.0064	14676687.0	5269665	6046769.0	12206.0
55	0.0065	14942162.0	5364610	6155002.0	12500.0
56	0.0066	15206820.0	5459316	6262862.0	12787.0
57	0.0067	15470592.0	5553761	6370720.0	12787.0
58	0.0068	15735360.0	5648503	6478668.0	13061.0
59	0.0069	15999452.0	5743027	6586304.0	13330.0
60	0.007	16262680.0	5837280	6693610.0	13594.0
61	0.0071	16525091.0	5931314	6800871.0	13594.0
62	0.0072	16788444.0	6025675	6908275.0	13848.0
63	0.0073	17051233.0	6119844	7015379.0	14098.0
64	0.0074	17313208.0	6213762	7122234.0	14341.0
65	0.0075	17574868.0	6307544	7228166.0	14577.0
66	0.0076	17831234.0	6399582	7332958.0	14810.0
67	0.0077	18088774.0	6491476	7437625.0	15043.0
68	0.0078	18346306.0	6583814	7542837.0	15043.0
69	0.0079	18605048.0	6676727	7648102.0	15275.0
70	0.008	18863904.0	6769629	7753786.0	15504.0
71	0.0081	19122574.0	6862463	7859443.0	15731.0
72	0.0082	19381029.0	6955219	7964951.0	15958.0
73	0.0083	19639129.0	7047918	8070307.0	16183.0
74	0.0084	19896942.0	7140544	8175576.0	16407.0
75	0.0085	20154652.0	7233115	8280803.0	16630.0
76	0.0086	20412248.0	7325642	8385953.0	16852.0
77	0.0087	20669724.0	7418114	8491368.0	17072.0
78	0.0088	20928915.0	7510565	8596780.0	17289.0
79	0.0089	21188224.0	7603544	8702152.0	17289.0
80	0.009	21447173.0	7696489	8807879.0	17506.0
81	0.0091	21706025.0	7789369	8913634.0	17722.0
82	0.0092	21964686.0	7882155	9019238.0	17937.0
83	0.0093	22222965.0	7974872	9124672.0	18152.0
84	0.0094	22480921.0	8067530	9229950.0	18367.0
85	0.0095	22738650.0	8160128	9335204.0	18581.0
86	0.0096	22996270.0	8252653	9440338.0	18794.0
87	0.0097	23253627.0	8345130	9545421.0	19007.0
88	0.0098	23510912.0	8437578	9650428.0	19219.0
89	0.0099	23768177.0	8530003	9755464.0	19431.0
90	0.01	24025417.0	8622403	9860416.0	19644.0
91	0.0101	24282458.0	8714770	9965342.0	19857.0
92	0.0102	24539433.0	8807101	10070270.0	20070.0
93	0.0103	24796559.0	8899418	10175215.0	20285.0
94	0.0104	25053467.0	8991721	10280375.0	20498.0
95	0.0105	25310511.0	9084019	10385580.0	20710.0
96	0.0106	25569243.0	9176315	10490489.0	20927.0
97	0.0107	25826468.0	9268606	10595393.0	21144.0
98	0.0108	26083439.0	9360889	10700258.0	21362.0
99	0.0109	26340500.0	9453164	10805168.0	21580.0
100	0.011	26597536.0	9545431	10910020.0	21798.0
101	0.0111	26854482.0	9637687	11014857.0	22016.0
102	0.0112	27111273.0	9729944	11119913.0	22232.0
103	0.0113	27369823.0	9822200	11225044.0	22451.0
104	0.0114	27626954.0	9914456	11330146.0	22669.0
105	0.0115	27885534.0	10006684	11434399.0	22888.0
106	0.0116	28138589.0	10097450	11537522.0	23108.0
107	0.0117	28391559.0	10188188	11641004.0	23327.0
108	0.0118	28644898.0	10279071	11744404.0	23548.0
109	0.0119	28898591.0	10370103	11847891.0	23770.0
110	0.012	29152501.0	10461262	11951466.0	23993.0
111	0.0121	29406502.0	10552532	12055090.0	24216.0
112	0.0122	29660569.0	10643903	12159069.0	24437.0
113	0.0123	29916632.0	10735375	12263169.0	24657.0
114	0.0124	30173054.0	10827481	12367328.0	24878.0
115	0.0125	30429503.0	10919673	12471547.0	25099.0
116	0.0126	30685916.0	11011880	12575844.0	25323.0
117	0.0127	30942415.0	11103600	12679931.0	25552.0
118	0.0128	31197327.0	11195326	12784066.0	25782.0
119	0.0129	31452384.0	11287099	12888269.0	26012.0
120	0.013	31707712.0	11378939	12992568.0	26243.0
121	0.0131	31963028.0	11470805	13097164.0	26472.0
122	0.0132	32220216.0	11562719	13201818.0	26700.0
123	0.0133	32477745.0	11655215	13306514.0	26929.0
124	0.0134	32735166.0	11747759	13411246.0	26929.0
125	0.0135	32992576.0	11840288	13515973.0	27158.0
126	0.0136	33249990.0	11932797	13621207.0	27386.0
127	0.0137	33507503.0	12025295	13726519.0	27614.0
128	0.0138	33765034.0	12117765	13831767.0	27843.0
129	0.0139	34022518.0	12210211	13936979.0	28072.0
130	0.014	34279993.0	12302635	14042181.0	28299.0
131	0.0141	34537343.0	12395007	14147276.0	28525.0
132	0.0142	34794462.0	12487357	14252327.0	28751.0
133	0.0143	35051523.0	12579701	14357322.0	28977.0
134	0.0144	35308508.0	12672009	14462266.0	29203.0
135	0.0145	35565425.0	12764282	14567199.0	29427.0
136	0.0146	35822402.0	12856548	14672128.0	29649.0
137	0.0147	36079336.0	12948811	14777060.0	29872.0
138	0.0148	36336242.0	13041073	14881983.0	30095.0
139	0.0149	36593219.0	13133344	14986909.0	30319.0
140	0.015	36850259.0	13225608	15091864.0	30544.0
141	0.0151	37107333.0	13317876	15197090.0	30766.0
142	0.0152	37366171.0	13410141	15302334.0	30987.0
143	0.0153	37625001.0	13502952	15407563.0	31208.0
144	0.0154	37883760.0	13595769	15512764.0	31208.0
145	0.0155	38142087.0	13688014	15617161.0	31433.0
146	0.0156	38395638.0	13779015	15617161.0	31652.0
147	0.0157	38649164.0	13870014	15822883.0	31867.0
148	0.0158	38901347.0	13960746	15926633.0	32084.0
149	0.0159	39156502.0	14052553	16031673.0	32302.0
150	0.016	39414752.0	14145475	16137914.0	32522.0
151	0.0161	39675735.0	14239362	16245210.0	32742.0
152	0.0162	39939245.0	14334128	16353456.0	32965.0
153	0.0163	40205043.0	14429706	16462529.0	33417.0
154	0.0164	40472815.0	14525983	16572363.0	33646.0
155	0.0165	41013609.0	14622877	16682872.0	33876.0
156	0.0166	41286344.0	14720333	16793986.0	34106.0
157	0.0167	41560370.0	14818274	16905641.0	34338.0
158	0.0168	41835463.0	14916664	17017792.0	34573.0
159	0.0169	42111279.0	15015444	17130303.0	34810.0
160	0.017	42388006.0	15114561	17243137.0	37264.0
