	time	ins	cycle	memory	branchm
0	0.001	304557.0	86706.0	23326.0	0.0
1	0.0011	465403.0	174708.0	47482.0	0.0
2	0.0012	632449.0	264477.0	72619.0	0.0
3	0.0013	807273.0	355255.0	125628.0	1081.0
4	0.0014	987344.0	446862.0	153061.0	1081.0
5	0.0015	1356724.0	539808.0	181117.0	1081.0
6	0.0016	1546790.0	634002.0	209761.0	1081.0
7	0.0017	1739943.0	729313.0	244162.0	1081.0
8	0.0018	1934318.0	825601.0	273807.0	1081.0
9	0.0019	2131011.0	922136.0	303633.0	1081.0
10	0.002	2330088.0	1019396.0	364601.0	1081.0
11	0.0021	2531337.0	1214860.0	395712.0	1081.0
12	0.0022	2734439.0	1313563.0	427072.0	2048.0
13	0.0023	2939098.0	1412234.0	458426.0	2048.0
14	0.0024	3143742.0	1511408.0	489972.0	2048.0
15	0.0025	3349722.0	1611084.0	526355.0	2048.0
16	0.0026	3557000.0	1711209.0	558270.0	2048.0
17	0.0027	3763946.0	1811146.0	590113.0	2048.0
18	0.0028	3971890.0	1911436.0	622092.0	2048.0
19	0.0029	4180875.0	2012102.0	654215.0	2048.0
20	0.003	4390738.0	2113098.0	686460.0	2048.0
21	0.0031	4601363.0	2214377.0	718803.0	2908.0
22	0.0032	4812705.0	2315336.0	751040.0	2908.0
23	0.0033	5023339.0	2416522.0	787487.0	2908.0
24	0.0034	5234529.0	2517389.0	819693.0	2908.0
25	0.0035	5444886.0	2618475.0	851984.0	2908.0
26	0.0036	5655819.0	2719833.0	884373.0	2908.0
27	0.0037	5867384.0	2821438.0	916853.0	2908.0
28	0.0038	6079455.0	2923246.0	949401.0	2908.0
29	0.0039	6291999.0	3025235.0	985698.0	3674.0
30	0.004	6505026.0	3126817.0	1018171.0	3674.0
31	0.0041	6717190.0	3227966.0	1050502.0	3674.0
32	0.0042	6928366.0	3328748.0	1082570.0	3674.0
33	0.0043	7137408.0	3427746.0	1114049.0	3674.0
34	0.0044	7342606.0	3527009.0	1145631.0	3674.0
35	0.0045	7548635.0	3626736.0	1180373.0	3674.0
36	0.0046	7755739.0	3726662.0	1212292.0	4295.0
37	0.0047	7962202.0	3826251.0	1244087.0	4295.0
38	0.0048	8169361.0	3926212.0	1275962.0	4295.0
39	0.0049	8377538.0	4026580.0	1307985.0	4295.0
40	0.005	8586696.0	4127306.0	1342815.0	4295.0
41	0.0051	8796756.0	4228352.0	1375091.0	4295.0
42	0.0052	9007670.0	4329114.0	1407277.0	4850.0
43	0.0053	9218007.0	4430124.0	1439562.0	4850.0
44	0.0054	9427539.0	4530825.0	1471742.0	4850.0
45	0.0055	9637731.0	4631780.0	1506425.0	4850.0
46	0.0056	9848729.0	4732448.0	1538599.0	4850.0
47	0.0057	10059095.0	4833373.0	1570875.0	4850.0
48	0.0058	10269980.0	4934575.0	1603253.0	5348.0
49	0.0059	10481582.0	5035475.0	1637715.0	5348.0
50	0.006	10692506.0	5136025.0	1669870.0	5348.0
51	0.0061	10902636.0	5236840.0	1702122.0	5348.0
52	0.0062	11113331.0	5337937.0	1736450.0	5348.0
53	0.0063	11324640.0	5439295.0	1768901.0	5796.0
54	0.0064	11535272.0	5539795.0	1801048.0	5796.0
55	0.0065	11745184.0	5640510.0	1835075.0	5796.0
56	0.0066	11955672.0	5741514.0	1867406.0	5796.0
57	0.0067	12166952.0	5842233.0	1899642.0	6200.0
58	0.0068	12377566.0	5943206.0	1933613.0	6200.0
59	0.0069	12587366.0	6043885.0	1965828.0	6200.0
60	0.007	12796425.0	6144227.0	1997923.0	6200.0
61	0.0071	13006266.0	6244859.0	2031646.0	6566.0
62	0.0072	13216961.0	6345815.0	2063968.0	6566.0
63	0.0073	13425851.0	6445954.0	2095998.0	6566.0
64	0.0074	13635283.0	6546344.0	2129522.0	6566.0
65	0.0075	13845642.0	6646504.0	2161566.0	6899.0
66	0.0076	14055388.0	6746410.0	2195012.0	6899.0
67	0.0077	14264435.0	6846075.0	2226891.0	6899.0
68	0.0078	14472847.0	6946101.0	2260090.0	6899.0
69	0.0079	14682168.0	7045959.0	2292224.0	7203.0
70	0.008	14891076.0	7145596.0	2325219.0	7203.0
71	0.0081	15099422.0	7245029.0	2356995.0	7203.0
72	0.0082	15307167.0	7245029.0	2389933.0	7460.0
73	0.0083	15515943.0	7344889.0	2421212.0	7460.0
74	0.0084	15720392.0	7442830.0	2453555.0	7696.0
75	0.0085	15924354.0	7541141.0	2485858.0	7696.0
76	0.0086	16128335.0	7639445.0	2517258.0	7696.0
77	0.0087	16332429.0	7737185.0	2518112.0	7915.0
78	0.0088	16537875.0	7835474.0	2550318.0	7915.0
79	0.0089	16741956.0	7933233.0	2581494.0	8118.0
80	0.009	16945872.0	8030934.0	2613442.0	8118.0
81	0.0091	17148649.0	8128651.0	2645362.0	8309.0
82	0.0092	17352732.0	8226394.0	2677276.0	8309.0
83	0.0093	17555658.0	8324158.0	2708458.0	8488.0
84	0.0094	17758590.0	8421402.0	2740181.0	8488.0
85	0.0095	17960409.0	8519236.0	2772092.0	8657.0
86	0.0096	18163696.0	8616603.0	2803818.0	8657.0
87	0.0097	18365898.0	8713980.0	2835542.0	8817.0
88	0.0098	18568153.0	8810877.0	2867086.0	8817.0
89	0.0099	18769434.0	8907300.0	2897796.0	8970.0
90	0.01	18970962.0	9003838.0	2929409.0	9116.0
91	0.0101	19171468.0	9100520.0	2960873.0	9116.0
92	0.0102	19370950.0	9196806.0	2992357.0	9258.0
93	0.0103	19570813.0	9293198.0	3023691.0	9258.0
94	0.0104	19771191.0	9389213.0	3054866.0	9393.0
95	0.0105	19970710.0	9485395.0	3086104.0	9523.0
96	0.0106	20170619.0	9581225.0	3117215.0	9523.0
97	0.0107	20369804.0	9676693.0	3148195.0	9650.0
98	0.0108	20568134.0	9772383.0	3179247.0	9773.0
99	0.0109	20765656.0	9867781.0	3210191.0	9894.0
100	0.011	20962485.0	9962870.0	3241019.0	10015.0
101	0.0111	21160030.0	10057670.0	3271744.0	10015.0
102	0.0112	21357059.0	10152220.0	3302382.0	10132.0
103	0.0113	21553519.0	10247089.0	3333133.0	10246.0
104	0.0114	21750581.0	10341751.0	3363213.0	10359.0
105	0.0115	21947177.0	10436175.0	3393802.0	10359.0
106	0.0116	22143240.0	10530936.0	3424505.0	10470.0
107	0.0117	22338799.0	10626054.0	3455918.0	10578.0
108	0.0118	22533860.0	10720462.0	3486087.0	10686.0
109	0.0119	22728552.0	10814610.0	3516587.0	10794.0
110	0.012	22924162.0	10909110.0	3547183.0	10900.0
111	0.0121	23119436.0	11003455.0	3577713.0	11005.0
112	0.0122	23314592.0	11097745.0	3608222.0	11005.0
113	0.0123	23505594.0	11190125.0	3638102.0	11111.0
114	0.0124	23696280.0	11282857.0	3668085.0	11214.0
115	0.0125	23887001.0	11375598.0	3698061.0	11316.0
116	0.0126	24077719.0	11468328.0	3728033.0	11418.0
117	0.0127	24077719.0	11561031.0	3757991.0	11521.0
118	0.0128	24457912.0	11652255.0	3787928.0	11521.0
119	0.0129	24649408.0	11744411.0	3817613.0	11723.0
120	0.013	24842973.0	11838272.0	3847415.0	11825.0
121	0.0131	25038432.0	11933145.0	3877536.0	11825.0
122	0.0132	25235774.0	12028293.0	3908175.0	11927.0
123	0.0133	25434832.0	12124792.0	3939338.0	12028.0
124	0.0134	25635377.0	12222017.0	3970745.0	12129.0
125	0.0135	25837170.0	12319837.0	4002356.0	12231.0
126	0.0136	26041522.0	12418172.0	4034137.0	12332.0
127	0.0137	26248332.0	12516976.0	4066074.0	12433.0
128	0.0138	26455907.0	12616198.0	4098146.0	12534.0
129	0.0139	26662762.0	12715782.0	4130347.0	12637.0
130	0.014	26870084.0	12815669.0	4194407.0	12740.0
131	0.0141	27079323.0	12915832.0	4226861.0	12843.0
132	0.0142	27289034.0	13016253.0	4259391.0	12947.0
133	0.0143	27497815.0	13116908.0	4292000.0	13053.0
134	0.0144	27708225.0	13318821.0	4324680.0	13158.0
135	0.0145	27919015.0	13420595.0	4358228.0	13262.0
136	0.0146	28129984.0	13522352.0	4390575.0	13368.0
137	0.0147	28340832.0	13624176.0	4423743.0	13474.0
138	0.0148	28553242.0	13726634.0	4456929.0	13579.0
139	0.0149	28765780.0	13829159.0	4490112.0	13684.0
140	0.015	28978302.0	13931678.0	4523294.0	13790.0
141	0.0151	29190771.0	14034179.0	4556477.0	13790.0
142	0.0152	29403319.0	14136669.0	4589659.0	14001.0
143	0.0153	29617202.0	14239157.0	4622839.0	14001.0
144	0.0154	29831063.0	14341637.0	4656019.0	14107.0
145	0.0155	30044734.0	14444119.0	4689217.0	14213.0
146	0.0156	30258436.0	14546601.0	4722411.0	14318.0
147	0.0157	30471986.0	14649079.0	4755598.0	14423.0
148	0.0158	30685298.0	14751544.0	4788781.0	14529.0
149	0.0159	30898467.0	14854000.0	4821958.0	14635.0
150	0.016	31111597.0	14957015.0	4855328.0	14740.0
151	0.0161	31324668.0	15060020.0	4888691.0	14845.0
152	0.0162	31537608.0	15162187.0	4921768.0	14953.0
153	0.0163	31749846.0	15263379.0	4954520.0	15058.0
154	0.0164	31959074.0	15364597.0	4987274.0	15163.0
155	0.0165	32168310.0	15465924.0	5020060.0	15269.0
156	0.0166	32377708.0	15567344.0	5052878.0	15269.0
157	0.0167	32587429.0	15668885.0	5085730.0	15375.0
158	0.0168	32798783.0	15770532.0	5118609.0	15480.0
159	0.0169	33010396.0	15872256.0	5151513.0	15585.0
160	0.017	33222041.0	15974050.0	5184449.0	15691.0
161	0.0171	33433736.0	16075930.0	5217411.0	15797.0
162	0.0172	33645670.0	16178445.0	5250588.0	15902.0
163	0.0173	33857717.0	16280494.0	5283623.0	16008.0
164	0.0174	34069722.0	16382534.0	5316659.0	16115.0
165	0.0175	34281821.0	16484624.0	5350130.0	16221.0
166	0.0176	34494081.0	16587344.0	5383619.0	16327.0
167	0.0177	34706371.0	16689597.0	5416932.0	16433.0
168	0.0178	34918739.0	16792392.0	5450422.0	16539.0
169	0.0179	35131256.0	16895787.0	5483905.0	16645.0
170	0.018	35343838.0	16999157.0	5517364.0	16751.0
171	0.0181	35556411.0	17102420.0	5550789.0	16859.0
172	0.0182	35768885.0	17205590.0	5584189.0	16967.0
173	0.0183	35981434.0	17308678.0	5617560.0	17074.0
174	0.0184	36195296.0	17411702.0	5650925.0	17182.0
175	0.0185	36407929.0	17514659.0	5684272.0	17182.0
176	0.0186	36620478.0	17617563.0	5717603.0	17290.0
177	0.0187	36834412.0	17720424.0	5750912.0	17397.0
178	0.0188	37048258.0	17823244.0	5784208.0	17504.0
179	0.0189	37261896.0	17926017.0	5817486.0	17612.0
180	0.019	37475441.0	18028749.0	5850754.0	17720.0
181	0.0191	37688947.0	18131459.0	5884017.0	17827.0
182	0.0192	37902421.0	18234591.0	5917493.0	17934.0
183	0.0193	38116715.0	18337680.0	5951113.0	18042.0
184	0.0194	38331052.0	18441262.0	5984720.0	18149.0
185	0.0195	38545293.0	18544790.0	6018281.0	18256.0
186	0.0196	38759280.0	18648212.0	6051811.0	18363.0
187	0.0197	38974131.0	18751945.0	6085461.0	18469.0
188	0.0198	39190243.0	18855591.0	6119085.0	18575.0
189	0.0199	39407457.0	18959112.0	6152657.0	18682.0
190	0.02	39624319.0	19062506.0	6186188.0	18682.0
191	0.0201	39839458.0	19165800.0	6219049.0	18790.0
192	0.0202	40055597.0	19268950.0	6252499.0	18897.0
193	0.0203	40271175.0	19370525.0	6285412.0	19003.0
194	0.0204	40483083.0	19472014.0	6318287.0	19109.0
195	0.0205	40694692.0	19573590.0	6351193.0	19215.0
196	0.0206	40906488.0	19675833.0	6384329.0	19320.0
197	0.0207	41118324.0	19778152.0	6417487.0	19425.0
198	0.0208	41330140.0	19880475.0	6450647.0	19532.0
199	0.0209	41542074.0	19982817.0	6483811.0	19638.0
200	0.021	41754129.0	20085166.0	6516970.0	19744.0
201	0.0211	41966218.0	20187522.0	6550129.0	19851.0
202	0.0212	42178258.0	20289885.0	6583297.0	19851.0
203	0.0213	42391700.0	20392251.0	6616474.0	19958.0
204	0.0214	42605223.0	20494631.0	6649643.0	20064.0
205	0.0215	42818662.0	20597016.0	6682811.0	20170.0
206	0.0216	43031902.0	20699401.0	6715980.0	20277.0
207	0.0217	43245111.0	20801797.0	6749153.0	20383.0
208	0.0218	43458269.0	20904767.0	6782525.0	20488.0
209	0.0219	43671359.0	21007739.0	6815890.0	20594.0
210	0.022	43884339.0	21110645.0	6849246.0	20700.0
211	0.0221	44097285.0	21213500.0	6882582.0	20805.0
212	0.0222	44310185.0	21316310.0	6915891.0	20910.0
213	0.0223	44523041.0	21419086.0	6949192.0	20910.0
214	0.0224	44735819.0	21521814.0	6982481.0	21016.0
215	0.0225	44949962.0	21624514.0	7015756.0	21121.0
216	0.0226	45164043.0	21727187.0	7049018.0	21226.0
217	0.0227	45377936.0	21829845.0	7082277.0	21332.0
218	0.0228	45591709.0	21932481.0	7115539.0	21438.0
219	0.0229	45805479.0	22035103.0	7148997.0	21543.0
220	0.023	46019158.0	22138280.0	7182462.0	21648.0
221	0.0231	46232750.0	22240935.0	7215728.0	21755.0
222	0.0232	46446268.0	22344086.0	7249180.0	21861.0
223	0.0233	46659811.0	22447791.0	7282816.0	21967.0
224	0.0234	46873291.0	22550939.0	7316271.0	22073.0
225	0.0235	47086651.0	22653942.0	7349683.0	22073.0
226	0.0236	47299972.0	22756896.0	7383276.0	22179.0
227	0.0237	47514662.0	22860363.0	7416843.0	22284.0
228	0.0238	47729240.0	22963779.0	7450371.0	22389.0
229	0.0239	47943606.0	23066585.0	7483702.0	22495.0
230	0.024	48157835.0	23169855.0	7517198.0	22600.0
231	0.0241	48371947.0	23273104.0	7550682.0	22705.0
232	0.0242	48585943.0	23376202.0	7584116.0	22811.0
233	0.0243	48799668.0	23478021.0	7617111.0	22917.0
234	0.0244	49010595.0	23580331.0	7650286.0	23022.0
235	0.0245	49221497.0	23682712.0	7683474.0	23127.0
236	0.0246	49432442.0	23785092.0	7716659.0	23233.0
237	0.0247	49643635.0	23887484.0	7749864.0	23233.0
238	0.0248	49855071.0	23989886.0	7783072.0	23338.0
239	0.0249	50067959.0	24092294.0	7816286.0	23546.0
240	0.025	50281020.0	24194690.0	7849484.0	23546.0
241	0.0251	50492779.0	24297096.0	7882692.0	23652.0
242	0.0252	50705888.0	24399512.0	7915895.0	23757.0
243	0.0253	50919061.0	24501938.0	7949098.0	23862.0
244	0.0254	51132101.0	24604369.0	7982305.0	23968.0
245	0.0255	51345061.0	24706796.0	8014876.0	24074.0
246	0.0256	51558065.0	24809242.0	8048709.0	24180.0
247	0.0257	51772421.0	24912159.0	8082138.0	24286.0
248	0.0258	51986491.0	25015065.0	8115522.0	24395.0
249	0.0259	52200387.0	25118480.0	8148457.0	24502.0
250	0.026	52415508.0	25221857.0	8182634.0	24609.0
251	0.0261	52630512.0	25325146.0	8216152.0	24717.0
252	0.0262	52844066.0	25428356.0	8249004.0	24717.0
253	0.0263	53057577.0	25531507.0	8282497.0	24825.0
254	0.0264	53273864.0	25634586.0	8315949.0	24931.0
