	time	ins	cycle	memory	branchm
0	0.001	37044.0	72651	14806.0	0.0
1	0.0011	187859.0	114176	50915.0	1394.0
2	0.0012	386567.0	210170	81309.0	1394.0
3	0.0013	600116.0	312333	104090.0	2551.0
4	0.0014	718485.0	369840	140159.0	2551.0
5	0.0015	987166.0	498080	188550.0	3618.0
6	0.0016	1136233.0	569629	215743.0	3618.0
7	0.0017	1293692.0	644444	244588.0	4629.0
8	0.0018	1628374.0	722832	299336.0	4629.0
9	0.0019	1800125.0	881796	330723.0	5583.0
10	0.002	1977754.0	964434	362684.0	6489.0
11	0.0021	2156534.0	1047638	395477.0	6489.0
12	0.0022	2340958.0	1131719	435464.0	7359.0
13	0.0023	2528489.0	1217207	469227.0	8193.0
14	0.0024	2716021.0	1303471	503252.0	8994.0
15	0.0025	2909829.0	1391426	537724.0	8994.0
16	0.0026	3104505.0	1479935	572680.0	9774.0
17	0.0027	3496408.0	1568867	607795.0	10536.0
18	0.0028	3695935.0	1658561	671482.0	11274.0
19	0.0029	3895611.0	1749127	707391.0	12000.0
20	0.003	4096998.0	1840518	743380.0	12000.0
21	0.0031	4297105.0	1931916	779310.0	12715.0
22	0.0032	4498393.0	2023945	815654.0	13410.0
23	0.0033	4701520.0	2116600	852087.0	14091.0
24	0.0034	4904615.0	2208751	888395.0	14763.0
25	0.0035	5106019.0	2300850	924738.0	15432.0
26	0.0036	5307463.0	2393495	961239.0	16096.0
27	0.0037	5510558.0	2486154	997602.0	16755.0
28	0.0038	5712002.0	2578264	1033846.0	17404.0
29	0.0039	5913210.0	2670832	1070468.0	18050.0
30	0.004	6114629.0	2763408	1107036.0	18050.0
31	0.0041	6315926.0	2855917	1143511.0	18695.0
32	0.0042	6516969.0	2948379	1179981.0	19338.0
33	0.0043	6721178.0	3040803	1216584.0	19970.0
34	0.0044	6925483.0	3133193	1253055.0	20600.0
35	0.0045	7127916.0	3225549	1289382.0	21230.0
36	0.0046	7330035.0	3318436	1325863.0	21859.0
37	0.0047	7532322.0	3411297	1362318.0	22481.0
38	0.0048	7734436.0	3504079	1398706.0	23107.0
39	0.0049	7936171.0	3596794	1435090.0	23733.0
40	0.005	8138057.0	3689435	1471606.0	24358.0
41	0.0051	8341452.0	3782025	1508070.0	24977.0
42	0.0052	8341452.0	3874067	1536931.0	25600.0
43	0.0053	8542960.0	3966503	1551717.0	26211.0
44	0.0054	8740347.0	4057188	1588077.0	26817.0
45	0.0055	8937843.0	4147780	1616290.0	27423.0
46	0.0056	9135388.0	4238461	1659269.0	28035.0
47	0.0057	9333179.0	4329293	1695132.0	28645.0
48	0.0058	9531718.0	4420280	1723522.0	29253.0
49	0.0059	9730483.0	4511396	1795297.0	29867.0
50	0.006	9929251.0	4602619	1802808.0	30479.0
51	0.0061	10128463.0	4693937	1839004.0	31090.0
52	0.0062	10328001.0	4785335	1896034.0	31701.0
53	0.0063	10527357.0	4876798	1910970.0	32317.0
54	0.0064	10726891.0	4968339	1947188.0	32930.0
55	0.0065	10926906.0	5059940	2004345.0	33540.0
56	0.0066	11326811.0	5151595	2048091.0	34156.0
57	0.0067	11528260.0	5243295	2084392.0	34772.0
58	0.0068	11731120.0	5335033	2113178.0	35387.0
59	0.0069	11932378.0	5426658	2149718.0	36002.0
60	0.007	12133665.0	5518875	2186257.0	36623.0
61	0.0071	12335092.0	5611144	2230138.0	37241.0
62	0.0072	12536186.0	5703394	2258940.0	37853.0
63	0.0073	12737212.0	5795632	2295698.0	38475.0
64	0.0074	12938552.0	5887866	2332118.0	39098.0
65	0.0075	13139779.0	5980085	2368438.0	39098.0
66	0.0076	13340793.0	6072288	2405185.0	40326.0
67	0.0077	13542027.0	6164482	2441984.0	40950.0
68	0.0078	13743390.0	6256661	2478409.0	40950.0
69	0.0079	13944504.0	6348836	2515174.0	41568.0
70	0.008	14145617.0	6441016	2551947.0	42183.0
71	0.0081	14347049.0	6533192	2588601.0	42798.0
72	0.0082	14548346.0	6625361	2625195.0	43417.0
73	0.0083	14749456.0	6717494	2661967.0	44032.0
74	0.0084	14953961.0	6809621	2698695.0	44638.0
75	0.0085	15159851.0	6901752	2735150.0	45250.0
76	0.0086	15362845.0	6994437	2771822.0	45860.0
77	0.0087	15565603.0	7087670	2808714.0	46469.0
78	0.0088	15768483.0	7180356	2845397.0	47077.0
79	0.0089	15972406.0	7272933	2881878.0	47692.0
80	0.009	16176052.0	7366006	2918492.0	48307.0
81	0.0091	16378510.0	7459029	2955398.0	48917.0
82	0.0092	16378510.0	7551467	2991904.0	49532.0
83	0.0093	16581834.0	7644266	2999306.0	50136.0
84	0.0094	16781068.0	7735396	3035765.0	50736.0
85	0.0095	16980016.0	7826376	3071762.0	51334.0
86	0.0096	17179358.0	7917396	3107416.0	51940.0
87	0.0097	17378640.0	8008501	3143231.0	52546.0
88	0.0098	17577905.0	8099653	3179307.0	53147.0
89	0.0099	17777594.0	8190890	3215259.0	53754.0
90	0.01	17977353.0	8282208	3251131.0	54362.0
91	0.0101	18176897.0	8373592	3287172.0	54970.0
92	0.0102	18376757.0	8465034	3315801.0	55574.0
93	0.0103	18576938.0	8556555	3359318.0	56184.0
94	0.0104	18776816.0	8648114	3395370.0	56795.0
95	0.0105	18976764.0	8739716	3431661.0	57401.0
96	0.0106	19176918.0	8831351	3460195.0	58013.0
97	0.0107	19376962.0	8923017	3503722.0	58626.0
98	0.0108	19576865.0	9014710	3539937.0	59238.0
99	0.0109	19777254.0	9106450	3568636.0	59846.0
100	0.011	19977646.0	9198232	3604874.0	60459.0
101	0.0111	20177784.0	9290037	3648503.0	61072.0
102	0.0112	20378098.0	9381879	3677279.0	61678.0
103	0.0113	20578729.0	9473705	3713551.0	62289.0
104	0.0114	20779112.0	9565537	3749765.0	62900.0
105	0.0115	20979499.0	9657397	3793550.0	63511.0
106	0.0116	21180237.0	9749281	3822209.0	64116.0
107	0.0117	21380905.0	9841167	3858536.0	64727.0
108	0.0118	21581361.0	9933061	3902282.0	65339.0
109	0.0119	21782118.0	10024967	3931115.0	65945.0
110	0.012	21982971.0	10116899	3967474.0	66554.0
111	0.0121	22183644.0	10208855	4003789.0	67165.0
112	0.0122	22384387.0	10300810	4040100.0	67776.0
113	0.0123	22585389.0	10392767	4076349.0	68382.0
114	0.0124	22786098.0	10484730	4112734.0	68995.0
115	0.0125	22986695.0	10576699	4149045.0	69608.0
116	0.0126	23187664.0	10668675	4185339.0	70219.0
117	0.0127	23388580.0	10760638	4221644.0	70830.0
118	0.0128	23589119.0	10852589	4286830.0	71442.0
119	0.0129	23789735.0	10944539	4294231.0	72054.0
120	0.013	23990657.0	11036489	4330651.0	72660.0
121	0.0131	24191264.0	11128436	4395868.0	73272.0
