	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	23833.0	57634	0	1805	0.0	0.0	0.0	0.0
1	0.0011	23191.0	68024	19060	0	-642.0	10390.0	19060.0	-1805.0
2	0.0012	54586.0	42383	14520	0	31395.0	-25641.0	-4540.0	0.0
3	0.0013	67313.0	89908	25576	1044	12727.0	47525.0	11056.0	1044.0
4	0.0014	86948.0	108713	20771	0	19635.0	18805.0	-4805.0	-1044.0
5	0.0015	103503.0	60039	33970	0	16555.0	-48674.0	13199.0	0.0
6	0.0016	57384.0	63268	30726	972	-46119.0	3229.0	-3244.0	972.0
7	0.0017	60786.0	137120	20840	0	3402.0	73852.0	-9886.0	-972.0
8	0.0018	130090.0	72573	21628	0	69304.0	-64547.0	788.0	0.0
9	0.0019	68807.0	75257	46041	0	-61283.0	2684.0	24413.0	0.0
10	0.002	71468.0	77731	24346	0	2661.0	2474.0	-21695.0	0.0
11	0.0021	74031.0	161905	25150	888	2563.0	84174.0	804.0	888.0
12	0.0022	153953.0	83717	25785	0	79922.0	-78188.0	635.0	-888.0
13	0.0023	79568.0	84679	26302	0	-74385.0	962.0	517.0	0.0
14	0.0024	81254.0	86048	54360	0	1686.0	1369.0	28058.0	0.0
15	0.0025	82876.0	87321	27968	0	1622.0	1273.0	-26392.0	0.0
16	0.0026	84328.0	88487	28451	803	1452.0	1166.0	483.0	803.0
17	0.0027	85747.0	89518	28805	0	1419.0	1031.0	354.0	-803.0
18	0.0028	86903.0	90426	29051	0	1156.0	908.0	246.0	0.0
19	0.0029	176421.0	90660	29405	0	89518.0	234.0	354.0	0.0
20	0.003	89989.0	90798	29736	0	-86432.0	138.0	331.0	0.0
21	0.0031	0.0	91491	29288	0	-89989.0	693.0	-448.0	0.0
22	0.0032	85184.0	87104	28082	657	85184.0	-4387.0	-1206.0	657.0
23	0.0033	166693.0	85013	27746	0	81509.0	-2091.0	-336.0	-657.0
24	0.0034	84950.0	85462	28139	0	-81743.0	449.0	393.0	0.0
25	0.0035	86848.0	86577	28796	0	1898.0	1115.0	657.0	0.0
26	0.0036	88126.0	87180	29400	591	1278.0	603.0	604.0	591.0
27	0.0037	89067.0	177600	29762	0	941.0	90420.0	362.0	-591.0
28	0.0038	90019.0	90258	60018	0	952.0	-87342.0	30256.0	0.0
29	0.0039	90257.0	91096	30290	0	238.0	838.0	-29728.0	0.0
30	0.004	90931.0	91825	30540	0	674.0	729.0	250.0	0.0
31	0.0041	91665.0	91911	30921	534	734.0	86.0	381.0	534.0
32	0.0042	92355.0	92492	31040	0	690.0	581.0	119.0	-534.0
33	0.0043	92249.0	92931	31153	0	-106.0	439.0	113.0	0.0
34	0.0044	93337.0	93438	31449	0	1088.0	507.0	296.0	0.0
35	0.0045	93930.0	93897	31603	484	593.0	459.0	154.0	484.0
36	0.0046	94361.0	94324	31638	0	431.0	427.0	35.0	-484.0
37	0.0047	94081.0	94691	31502	0	-280.0	367.0	-136.0	0.0
38	0.0048	94376.0	95009	31604	440	295.0	318.0	102.0	440.0
39	0.0049	94759.0	95149	31935	0	383.0	140.0	331.0	-440.0
40	0.005	95633.0	95406	32057	0	874.0	257.0	122.0	0.0
41	0.0051	95241.0	95658	31888	0	-392.0	252.0	-169.0	0.0
42	0.0052	95445.0	95878	31960	402	204.0	220.0	72.0	402.0
43	0.0053	95672.0	95959	32164	0	227.0	81.0	204.0	-402.0
44	0.0054	95800.0	95562	32205	0	128.0	-397.0	41.0	0.0
45	0.0055	95974.0	95725	32249	368	174.0	163.0	44.0	368.0
46	0.0056	96170.0	96534	32097	0	196.0	809.0	-152.0	-368.0
47	0.0057	95705.0	96148	32026	339	-465.0	-386.0	-71.0	339.0
48	0.0058	95890.0	96250	32097	0	185.0	102.0	71.0	-339.0
49	0.0059	96114.0	95852	32215	0	224.0	-398.0	118.0	0.0
50	0.006	95680.0	95998	32024	313	-434.0	146.0	-191.0	313.0
51	0.0061	95779.0	96172	31989	0	99.0	174.0	-35.0	-313.0
52	0.0062	95968.0	95786	31936	291	189.0	-386.0	-53.0	291.0
53	0.0063	95575.0	95909	32010	0	-393.0	123.0	74.0	-291.0
54	0.0064	95778.0	95966	32198	271	203.0	57.0	188.0	271.0
55	0.0065	95795.0	96114	32108	0	17.0	148.0	-90.0	-271.0
56	0.0066	95963.0	96277	32080	254	168.0	163.0	-28.0	254.0
57	0.0067	95553.0	95866	32023	0	-410.0	-411.0	-57.0	-254.0
58	0.0068	95744.0	95881	32205	239	191.0	15.0	182.0	239.0
59	0.0069	95815.0	95491	32243	0	71.0	-390.0	38.0	-239.0
60	0.007	96032.0	96255	32089	216	217.0	764.0	-154.0	216.0
61	0.0071	95601.0	95915	31992	0	-431.0	-340.0	-97.0	-216.0
62	0.0072	95622.0	95909	31778	204	21.0	-6.0	-214.0	204.0
63	0.0073	93909.0	94256	31369	197	-1713.0	-1653.0	-409.0	-7.0
64	0.0074	93477.0	93859	31335	0	-432.0	-397.0	-34.0	-197.0
65	0.0075	93821.0	94188	31376	188	344.0	329.0	41.0	188.0
66	0.0076	93634.0	93994	31321	181	-187.0	-194.0	-55.0	-7.0
67	0.0077	94067.0	93787	31340	0	433.0	-207.0	19.0	-181.0
68	0.0078	93888.0	94142	31393	175	-179.0	355.0	53.0	175.0
69	0.0079	93591.0	93965	31318	170	-297.0	-177.0	-75.0	-5.0
70	0.008	93342.0	93754	31336	0	-249.0	-211.0	18.0	-170.0
71	0.0081	93805.0	94111	31400	164	463.0	357.0	64.0	164.0
72	0.0082	93623.0	93949	31323	161	-182.0	-162.0	-77.0	-3.0
73	0.0083	93390.0	93755	31251	157	-233.0	-194.0	-72.0	-4.0
74	0.0084	93206.0	93575	31278	0	-184.0	-180.0	27.0	-157.0
75	0.0085	93693.0	93953	31224	153	487.0	378.0	-54.0	153.0
76	0.0086	93531.0	93802	31288	150	-162.0	-151.0	64.0	-3.0
77	0.0087	93304.0	93618	31235	148	-227.0	-184.0	-53.0	-2.0
78	0.0088	93137.0	93444	31186	146	-167.0	-174.0	-49.0	-2.0
79	0.0089	92966.0	93260	31117	145	-171.0	-184.0	-69.0	-1.0
80	0.009	93419.0	93120	31142	0	453.0	-140.0	25.0	-145.0
81	0.0091	93238.0	93556	31213	142	-181.0	436.0	71.0	142.0
82	0.0092	93059.0	93453	31173	141	-179.0	-103.0	-40.0	-1.0
83	0.0093	92903.0	93300	31114	140	-156.0	-153.0	-59.0	-1.0
84	0.0094	92741.0	93183	31064	140	-162.0	-117.0	-50.0	0.0
85	0.0095	92636.0	93069	31025	140	-105.0	-114.0	-39.0	0.0
86	0.0096	92519.0	92971	30995	139	-117.0	-98.0	-30.0	-1.0
87	0.0097	92435.0	92874	30878	139	-84.0	-97.0	-117.0	0.0
88	0.0098	92311.0	93330	30828	139	-124.0	456.0	-50.0	0.0
89	0.0099	92161.0	93251	30883	138	-150.0	-79.0	55.0	-1.0
90	0.01	92738.0	92618	30956	138	577.0	-633.0	73.0	0.0
91	0.0101	92694.0	92498	30918	0	-44.0	-120.0	-38.0	-138.0
92	0.0102	92523.0	92996	31004	274	-171.0	498.0	86.0	274.0
93	0.0103	92392.0	92946	30986	0	-131.0	-50.0	-18.0	-274.0
94	0.0104	92344.0	93269	31105	138	-48.0	323.0	119.0	138.0
95	0.0105	92730.0	93166	31072	138	386.0	-103.0	-33.0	0.0
96	0.0106	92576.0	93477	31168	138	-154.0	311.0	96.0	0.0
97	0.0107	92924.0	93337	31138	138	348.0	-140.0	-30.0	0.0
98	0.0108	92857.0	93206	31079	138	-67.0	-131.0	-59.0	0.0
99	0.0109	92705.0	93510	31097	139	-152.0	304.0	18.0	1.0
100	0.011	92995.0	93949	18935	138	290.0	439.0	-12162.0	-1.0
101	0.0111	92895.0	93662	31189	139	-100.0	-287.0	12254.0	1.0
102	0.0112	93211.0	92111	12053	138	316.0	-1551.0	-19136.0	-1.0
103	0.0113	91545.0	92431	30607	137	-1666.0	320.0	18554.0	-1.0
104	0.0114	91373.0	92407	42586	136	-172.0	-24.0	11979.0	-1.0
105	0.0115	92019.0	91859	30731	135	646.0	-548.0	-11855.0	-1.0
106	0.0116	92065.0	92374	30727	0	46.0	515.0	-4.0	-135.0
107	0.0117	91967.0	92393	49345	135	-98.0	19.0	18618.0	135.0
108	0.0118	91943.0	92358	18752	134	-24.0	-35.0	-30593.0	-1.0
109	0.0119	91918.0	92295	30849	134	-25.0	-63.0	12097.0	0.0
110	0.012	91823.0	92814	30738	134	-95.0	519.0	-111.0	0.0
111	0.0121	91789.0	92788	30728	134	-34.0	-26.0	-10.0	0.0
112	0.0122	91779.0	92218	30815	133	-10.0	-570.0	87.0	-1.0
113	0.0123	91801.0	92156	42875	135	22.0	-62.0	12060.0	2.0
114	0.0124	91694.0	92584	30921	135	-107.0	428.0	-11954.0	0.0
115	0.0125	92174.0	92560	18796	134	480.0	-24.0	-12125.0	-1.0
116	0.0126	92214.0	92497	30919	133	40.0	-63.0	12123.0	-1.0
117	0.0127	92761.0	92458	30887	133	547.0	-39.0	-32.0	0.0
118	0.0128	92695.0	92973	42822	133	-66.0	515.0	11935.0	0.0
119	0.0129	92617.0	92932	30960	0	-78.0	-41.0	-11862.0	-133.0
120	0.013	92559.0	92837	31069	131	-58.0	-95.0	109.0	131.0
121	0.0131	92416.0	92755	31027	131	-143.0	-82.0	-42.0	0.0
122	0.0132	92306.0	92676	30998	131	-110.0	-79.0	-29.0	0.0
123	0.0133	92248.0	92611	18823	131	-58.0	-65.0	-12175.0	0.0
124	0.0134	92236.0	92553	30975	131	-12.0	-58.0	12152.0	0.0
125	0.0135	92133.0	93052	30844	131	-103.0	499.0	-131.0	0.0
126	0.0136	92042.0	92994	30817	131	-91.0	-58.0	-27.0	0.0
127	0.0137	92005.0	92904	30791	133	-37.0	-90.0	-26.0	2.0
128	0.0138	91886.0	92798	30753	133	-119.0	-106.0	-38.0	0.0
129	0.0139	91798.0	92706	42835	133	-88.0	-92.0	12082.0	0.0
130	0.014	91779.0	92510	18805	133	-19.0	-196.0	-24030.0	0.0
131	0.0141	92242.0	92460	30969	133	463.0	-50.0	12164.0	0.0
132	0.0142	92183.0	92842	31016	133	-59.0	382.0	47.0	0.0
133	0.0143	92567.0	93344	43080	133	384.0	502.0	12064.0	0.0
134	0.0144	92545.0	93267	18841	133	-22.0	-77.0	-24239.0	0.0
135	0.0145	92443.0	92642	31007	133	-102.0	-625.0	12166.0	0.0
136	0.0146	92350.0	92533	43128	133	-93.0	-109.0	12121.0	0.0
137	0.0147	92289.0	92896	18882	134	-61.0	363.0	-24246.0	1.0
138	0.0148	92709.0	93265	31173	135	420.0	369.0	12291.0	1.0
139	0.0149	93052.0	93726	31095	135	343.0	461.0	-78.0	0.0
140	0.015	92892.0	93597	31034	134	-160.0	-129.0	-61.0	-1.0
141	0.0151	93397.0	93323	12120	134	505.0	-274.0	-18914.0	0.0
142	0.0152	93090.0	0	30719	134	-307.0	-93323.0	18599.0	0.0
143	0.0153	90669.0	182695	30304	134	-2421.0	182695.0	-415.0	0.0
144	0.0154	90526.0	0	30284	0	-143.0	-182695.0	-20.0	-134.0
