	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	59349.0	70500	19682.0	0.0	0.0	0.0	0.0	0.0
1	0.0011	33866.0	44325	11919.0	0.0	-25483.0	-26175.0	-7763.0	0.0
2	0.0012	139931.0	43563	63758.0	0.0	106065.0	-762.0	51839.0	0.0
3	0.0013	150211.0	46540	67529.0	0.0	10280.0	2977.0	3771.0	0.0
4	0.0014	203961.0	98274	128084.0	0.0	53750.0	51734.0	60555.0	0.0
5	0.0015	254849.0	113446	155999.0	0.0	50888.0	15172.0	27915.0	0.0
6	0.0016	147631.0	65157	89108.0	0.0	-107218.0	-48289.0	-66891.0	0.0
7	0.0017	341971.0	142726	143791.0	1506.0	194340.0	77569.0	54683.0	1506.0
8	0.0018	193243.0	76775	157595.0	0.0	-148728.0	-65951.0	13804.0	-1506.0
9	0.0019	406754.0	79504	108799.0	0.0	213511.0	2729.0	-48796.0	0.0
10	0.002	215776.0	82532	170471.0	0.0	-190978.0	3028.0	61672.0	0.0
11	0.0021	220598.0	173242	119522.0	0.0	4822.0	90710.0	-50949.0	0.0
12	0.0022	226495.0	90111	186473.0	0.0	5897.0	-83131.0	66951.0	0.0
13	0.0023	231342.0	92046	126461.0	0.0	4847.0	1935.0	-60012.0	0.0
14	0.0024	236854.0	93722	129416.0	0.0	5512.0	1676.0	2955.0	0.0
15	0.0025	241812.0	95211	130459.0	0.0	4958.0	1489.0	1043.0	0.0
16	0.0026	491234.0	96537	197920.0	0.0	249422.0	1326.0	67461.0	0.0
17	0.0027	249272.0	97805	135356.0	0.0	-241962.0	1268.0	-62564.0	0.0
18	0.0028	251931.0	98883	64020.0	0.0	2659.0	1078.0	-71336.0	0.0
19	0.0029	0.0	93480	62606.0	0.0	-251931.0	-5403.0	-1414.0	0.0
20	0.003	237182.0	90785	183333.0	0.0	237182.0	-2695.0	120727.0	0.0
21	0.0031	462213.0	190024	257619.0	1194.0	225031.0	99239.0	74286.0	1194.0
22	0.0032	257443.0	104970	143237.0	0.0	-204770.0	-85054.0	-114382.0	-1194.0
23	0.0033	559647.0	227376	226758.0	0.0	302204.0	122406.0	83521.0	0.0
24	0.0034	302145.0	120188	250195.0	0.0	-257502.0	-107188.0	23437.0	0.0
25	0.0035	314804.0	123865	174219.0	0.0	12659.0	3677.0	-75976.0	0.0
26	0.0036	326082.0	127878	179438.0	0.0	11278.0	4013.0	5219.0	0.0
27	0.0037	679265.0	131392	276889.0	0.0	353183.0	3514.0	97451.0	0.0
28	0.0038	351075.0	271818	190699.0	0.0	-328190.0	140426.0	-86190.0	0.0
29	0.0039	357543.0	139657	293490.0	0.0	6468.0	-132161.0	102791.0	0.0
30	0.004	365227.0	141095	198600.0	1056.0	7684.0	1438.0	-94890.0	1056.0
31	0.0041	370545.0	142912	200337.0	0.0	5318.0	1817.0	1737.0	-1056.0
32	0.0042	372778.0	143781	201663.0	0.0	2233.0	869.0	1326.0	0.0
33	0.0043	375859.0	145211	203895.0	0.0	3081.0	1430.0	2232.0	0.0
34	0.0044	378861.0	147268	206183.0	0.0	3002.0	2057.0	2288.0	0.0
35	0.0045	383870.0	148295	207589.0	0.0	5009.0	1027.0	1406.0	0.0
36	0.0046	384473.0	149972	208641.0	0.0	603.0	1677.0	1052.0	0.0
37	0.0047	386352.0	150892	209789.0	0.0	1879.0	920.0	1148.0	0.0
38	0.0048	388393.0	151601	210801.0	941.0	2041.0	709.0	1012.0	941.0
39	0.0049	389701.0	152178	211454.0	0.0	1308.0	577.0	653.0	-941.0
40	0.005	389926.0	152096	211525.0	0.0	225.0	-82.0	71.0	0.0
41	0.0051	391212.0	152593	212140.0	0.0	1286.0	497.0	615.0	0.0
42	0.0052	394600.0	152494	212819.0	0.0	3388.0	-99.0	679.0	0.0
43	0.0053	396125.0	152930	213591.0	0.0	1525.0	436.0	772.0	0.0
44	0.0054	397409.0	153402	320202.0	840.0	1284.0	472.0	106611.0	840.0
45	0.0055	398405.0	153823	109097.0	0.0	996.0	421.0	-211105.0	-840.0
46	0.0056	399316.0	154175	321058.0	0.0	911.0	352.0	211961.0	0.0
47	0.0057	398362.0	153814	215344.0	0.0	-954.0	-361.0	-105714.0	0.0
48	0.0058	398847.0	154051	215582.0	0.0	485.0	237.0	238.0	0.0
49	0.0059	399223.0	154289	216138.0	0.0	376.0	238.0	556.0	0.0
50	0.006	800702.0	154532	216415.0	752.0	401479.0	243.0	277.0	752.0
51	0.0061	0.0	154747	110001.0	0.0	-800702.0	215.0	-106414.0	-752.0
52	0.0062	401585.0	154959	322653.0	0.0	401585.0	212.0	212652.0	0.0
53	0.0063	800498.0	154542	216136.0	0.0	398913.0	-417.0	-106517.0	0.0
54	0.0064	401112.0	154722	216508.0	0.0	-399386.0	180.0	372.0	0.0
55	0.0065	401711.0	154903	216774.0	0.0	599.0	181.0	266.0	0.0
56	0.0066	402144.0	155079	217029.0	674.0	433.0	176.0	255.0	674.0
57	0.0067	402497.0	155250	217252.0	0.0	353.0	171.0	223.0	-674.0
58	0.0068	0.0	155393	109251.0	0.0	-402497.0	143.0	-108001.0	0.0
59	0.0069	398951.0	154341	213671.0	0.0	398951.0	-1052.0	104420.0	0.0
60	0.007	391500.0	152976	212080.0	0.0	-7451.0	-1365.0	-1591.0	0.0
61	0.0071	391540.0	153186	212470.0	548.0	40.0	210.0	390.0	548.0
62	0.0072	392981.0	153568	212858.0	0.0	1441.0	382.0	388.0	-548.0
63	0.0073	392922.0	153323	213589.0	0.0	-59.0	-245.0	731.0	0.0
64	0.0074	394150.0	153608	213928.0	0.0	1228.0	285.0	339.0	0.0
65	0.0075	395116.0	153921	214651.0	495.0	966.0	313.0	723.0	495.0
66	0.0076	398903.0	153620	215032.0	0.0	3787.0	-301.0	381.0	-495.0
67	0.0077	399449.0	153920	214867.0	0.0	546.0	300.0	-165.0	0.0
68	0.0078	398292.0	153627	320414.0	0.0	-1157.0	-293.0	105547.0	0.0
69	0.0079	398530.0	154578	109601.0	449.0	238.0	951.0	-210813.0	449.0
70	0.008	398998.0	155370	215475.0	0.0	468.0	792.0	105874.0	-449.0
71	0.0081	397615.0	154989	321260.0	0.0	-1383.0	-381.0	105785.0	0.0
72	0.0082	398036.0	155116	215746.0	410.0	421.0	127.0	-105514.0	410.0
73	0.0083	398774.0	155295	215642.0	0.0	738.0	179.0	-104.0	-410.0
74	0.0084	397720.0	154887	215431.0	0.0	-1054.0	-408.0	-211.0	0.0
75	0.0085	398202.0	155045	109301.0	376.0	482.0	158.0	-106130.0	376.0
76	0.0086	398683.0	155245	321352.0	0.0	481.0	200.0	212051.0	-376.0
77	0.0087	797071.0	154798	215444.0	346.0	398388.0	-447.0	-105908.0	346.0
78	0.0088	0.0	154931	216393.0	0.0	-797071.0	133.0	949.0	-346.0
79	0.0089	401566.0	154910	215803.0	0.0	401566.0	-21.0	-590.0	0.0
80	0.009	799150.0	155097	215971.0	319.0	397584.0	187.0	168.0	319.0
81	0.0091	403271.0	155261	216924.0	0.0	-395879.0	164.0	953.0	-319.0
82	0.0092	401879.0	155265	216323.0	0.0	-1392.0	4.0	-601.0	0.0
83	0.0093	0.0	154834	216598.0	295.0	-401879.0	-431.0	275.0	295.0
84	0.0094	402169.0	154989	215938.0	0.0	402169.0	155.0	-660.0	-295.0
85	0.0095	399439.0	155209	216185.0	275.0	-2730.0	220.0	247.0	275.0
86	0.0096	399787.0	155414	216427.0	0.0	348.0	205.0	242.0	-275.0
87	0.0097	398713.0	155580	109544.0	257.0	-1074.0	166.0	-106883.0	257.0
88	0.0098	399267.0	155154	321508.0	0.0	554.0	-426.0	211964.0	-257.0
89	0.0099	400065.0	154179	109377.0	244.0	798.0	-975.0	-212131.0	244.0
90	0.01	800117.0	154382	321401.0	231.0	400052.0	203.0	212024.0	-13.0
91	0.0101	0.0	154662	216360.0	0.0	-800117.0	280.0	-105041.0	-231.0
92	0.0102	801917.0	154750	215860.0	220.0	801917.0	88.0	-500.0	220.0
93	0.0103	401955.0	154970	216874.0	0.0	-399962.0	220.0	1014.0	-220.0
94	0.0104	0.0	155637	217004.0	210.0	-401955.0	667.0	130.0	210.0
95	0.0105	402531.0	155068	216507.0	201.0	402531.0	-569.0	-497.0	-9.0
96	0.0106	401275.0	154575	216564.0	0.0	-1256.0	-493.0	57.0	-201.0
97	0.0107	399667.0	155334	215822.0	191.0	-1608.0	759.0	-742.0	191.0
98	0.0108	398198.0	154904	109600.0	0.0	-1469.0	-430.0	-106222.0	-191.0
99	0.0109	398640.0	154960	212820.0	179.0	442.0	56.0	103220.0	179.0
100	0.011	386029.0	152078	208112.0	171.0	-12611.0	-2882.0	-4708.0	-8.0
101	0.0111	381585.0	151620	205989.0	168.0	-4444.0	-458.0	-2123.0	-3.0
102	0.0112	381186.0	151436	205976.0	0.0	-399.0	-184.0	-13.0	-168.0
103	0.0113	383656.0	152008	206298.0	163.0	2470.0	572.0	322.0	163.0
104	0.0114	384488.0	151933	207220.0	159.0	832.0	-75.0	922.0	-4.0
105	0.0115	384394.0	151691	207698.0	155.0	-94.0	-242.0	478.0	-4.0
106	0.0116	384366.0	152099	208503.0	153.0	-28.0	408.0	805.0	-2.0
107	0.0117	386867.0	151935	208777.0	0.0	2501.0	-164.0	274.0	-153.0
108	0.0118	387110.0	151854	208625.0	152.0	243.0	-81.0	-152.0	152.0
109	0.0119	387000.0	151731	208543.0	150.0	-110.0	-123.0	-82.0	-2.0
110	0.012	386760.0	150979	209157.0	149.0	-240.0	-752.0	614.0	-1.0
111	0.0121	386871.0	150910	209308.0	147.0	111.0	-69.0	151.0	-2.0
112	0.0122	386961.0	150919	211323.0	145.0	90.0	9.0	2015.0	-2.0
113	0.0123	388886.0	150936	211635.0	145.0	1925.0	17.0	312.0	0.0
114	0.0124	388948.0	151541	210467.0	145.0	62.0	605.0	-1168.0	0.0
115	0.0125	389002.0	151537	209245.0	145.0	54.0	-4.0	-1222.0	0.0
116	0.0126	388586.0	152133	209496.0	0.0	-416.0	596.0	251.0	-145.0
117	0.0127	388378.0	151431	210114.0	145.0	-208.0	-702.0	618.0	145.0
118	0.0128	388344.0	151284	210152.0	143.0	-34.0	-147.0	38.0	-2.0
119	0.0129	388523.0	151238	211231.0	142.0	179.0	-46.0	1079.0	-1.0
120	0.013	388494.0	150612	211673.0	139.0	-29.0	-626.0	442.0	-3.0
121	0.0131	389171.0	151189	212296.0	139.0	677.0	577.0	623.0	0.0
122	0.0132	392229.0	151691	211952.0	139.0	3058.0	502.0	-344.0	0.0
123	0.0133	392065.0	151651	211530.0	139.0	-164.0	-40.0	-422.0	0.0
124	0.0134	391544.0	152143	211163.0	0.0	-521.0	492.0	-367.0	-139.0
125	0.0135	390699.0	152025	210944.0	139.0	-845.0	-118.0	-219.0	139.0
126	0.0136	390461.0	151857	210851.0	137.0	-238.0	-168.0	-93.0	-2.0
127	0.0137	390147.0	151743	211045.0	137.0	-314.0	-114.0	194.0	0.0
128	0.0138	389591.0	151617	211553.0	136.0	-556.0	-126.0	508.0	-1.0
129	0.0139	390019.0	150985	211704.0	135.0	428.0	-632.0	151.0	-1.0
130	0.014	389878.0	151551	210125.0	135.0	-141.0	566.0	-1579.0	0.0
131	0.0141	389735.0	152875	209737.0	135.0	-143.0	1324.0	-388.0	0.0
132	0.0142	390794.0	152684	211554.0	135.0	1059.0	-191.0	1817.0	0.0
133	0.0143	390404.0	152484	212006.0	135.0	-390.0	-200.0	452.0	0.0
134	0.0144	392023.0	152339	211762.0	135.0	1619.0	-145.0	-244.0	0.0
135	0.0145	391363.0	152199	211584.0	134.0	-660.0	-140.0	-178.0	-1.0
136	0.0146	390542.0	152031	211536.0	133.0	-821.0	-168.0	-48.0	-1.0
137	0.0147	390700.0	151866	212161.0	0.0	158.0	-165.0	625.0	-133.0
138	0.0148	391545.0	152239	210844.0	133.0	845.0	373.0	-1317.0	133.0
139	0.0149	390397.0	152516	208653.0	133.0	-1148.0	277.0	-2191.0	0.0
140	0.015	383733.0	150130	206366.0	132.0	-6664.0	-2386.0	-2287.0	-1.0
141	0.0151	383400.0	149910	206875.0	132.0	-333.0	-220.0	509.0	0.0
142	0.0152	383771.0	149382	207688.0	265.0	371.0	-528.0	813.0	133.0
143	0.0153	790627.0	304769	441017.0	143.0	406856.0	155387.0	233329.0	-122.0
144	0.0154	447846.0	168454	243583.0	324.0	-342781.0	-136315.0	-197434.0	181.0
145	0.0155	989663.0	376264	536318.0	176.0	541817.0	207810.0	292735.0	-148.0
146	0.0156	534462.0	203514	290123.0	184.0	-455201.0	-172750.0	-246195.0	8.0
147	0.0157	555922.0	212393	301982.0	192.0	21460.0	8879.0	11859.0	8.0
148	0.0158	1165366.0	446687	468245.0	395.0	609444.0	234294.0	166263.0	203.0
149	0.0159	605536.0	232332	325297.0	203.0	-559830.0	-214355.0	-142948.0	-192.0
150	0.016	618307.0	238057	504042.0	205.0	12771.0	5725.0	178745.0	2.0
151	0.0161	628411.0	242333	341338.0	210.0	10104.0	4276.0	-162704.0	5.0
152	0.0162	638423.0	246008	345935.0	211.0	10012.0	3675.0	4597.0	1.0
153	0.0163	645901.0	249166	351264.0	213.0	7478.0	3158.0	5329.0	2.0
