	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	212379	111909	129832.0	0.0	0.0	0.0	0.0	0.0
1	0.0011	263746	125073	164284.0	1565.0	51367.0	13164.0	34452.0	1565.0
2	0.0012	343001	71512	146439.0	0.0	79255.0	-53561.0	-17845.0	-1565.0
3	0.0013	198260	164627	234516.0	0.0	-144741.0	93115.0	88077.0	0.0
4	0.0014	444692	91898	129945.0	0.0	246432.0	-72729.0	-104571.0	0.0
5	0.0015	241679	199324	136531.0	0.0	-203013.0	107426.0	6586.0	0.0
6	0.0016	253981	106202	290879.0	0.0	12302.0	-93122.0	154348.0	0.0
7	0.0017	536834	109866	153171.0	0.0	282853.0	3664.0	-137708.0	0.0
8	0.0018	280777	113088	157572.0	0.0	-256057.0	3222.0	4401.0	0.0
9	0.0019	286921	115926	161347.0	0.0	6144.0	2838.0	3775.0	0.0
10	0.002	293273	239012	164508.0	0.0	6352.0	123086.0	3161.0	0.0
11	0.0021	299341	122525	167971.0	0.0	6068.0	-116487.0	3463.0	0.0
12	0.0022	304461	124233	254713.0	1424.0	5120.0	1708.0	86742.0	1424.0
13	0.0023	308204	125097	263048.0	0.0	3743.0	864.0	8335.0	-1424.0
14	0.0024	623932	126440	175864.0	0.0	315728.0	1343.0	-87184.0	0.0
15	0.0025	317162	127636	177692.0	0.0	-306770.0	1196.0	1828.0	0.0
16	0.0026	0	128685	87250.0	0.0	-317162.0	1049.0	-90442.0	0.0
17	0.0027	589224	121352	250357.0	0.0	589224.0	-7333.0	163107.0	0.0
18	0.0028	0	119001	79958.0	0.0	-589224.0	-2351.0	-170399.0	0.0
19	0.0029	295845	120505	84770.0	0.0	295845.0	1504.0	4812.0	0.0
20	0.003	293089	0	164101.0	0.0	-2756.0	-120505.0	79331.0	0.0
21	0.0031	287706	117536	160460.0	0.0	-5383.0	117536.0	-3641.0	0.0
22	0.0032	282590	115122	157405.0	0.0	-5116.0	-2414.0	-3055.0	0.0
23	0.0033	277167	112995	154550.0	0.0	-5423.0	-2127.0	-2855.0	0.0
24	0.0034	272945	111068	152421.0	0.0	-4222.0	-1927.0	-2129.0	0.0
25	0.0035	269563	109406	150371.0	0.0	-3382.0	-1662.0	-2050.0	0.0
26	0.0036	0	107930	72861.0	0.0	-269563.0	-1476.0	-77510.0	0.0
27	0.0037	266383	106655	147747.0	0.0	266383.0	-1275.0	74886.0	0.0
28	0.0038	263570	105504	75045.0	1125.0	-2813.0	-1151.0	-72702.0	1125.0
29	0.0039	261134	0	145581.0	0.0	-2436.0	-105504.0	70536.0	-1125.0
30	0.004	257447	104503	143943.0	0.0	-3687.0	104503.0	-1638.0	0.0
31	0.0041	254534	103117	142324.0	0.0	-2913.0	-1386.0	-1619.0	0.0
32	0.0042	252753	102305	141374.0	0.0	-1781.0	-812.0	-950.0	0.0
33	0.0043	251460	101677	140641.0	0.0	-1293.0	-628.0	-733.0	0.0
34	0.0044	249980	101116	139842.0	0.0	-1480.0	-561.0	-799.0	0.0
35	0.0045	248930	100595	139283.0	0.0	-1050.0	-521.0	-559.0	0.0
36	0.0046	248090	100175	138772.0	0.0	-840.0	-420.0	-511.0	0.0
37	0.0047	247456	99787	138205.0	0.0	-634.0	-388.0	-567.0	0.0
38	0.0048	247146	99418	137817.0	0.0	-310.0	-369.0	-388.0	0.0
39	0.0049	246318	99132	137488.0	0.0	-828.0	-286.0	-329.0	0.0
40	0.005	245412	98879	137037.0	0.0	-906.0	-253.0	-451.0	0.0
41	0.0051	245037	98606	136759.0	0.0	-375.0	-273.0	-278.0	0.0
42	0.0052	244296	98386	136502.0	994.0	-741.0	-220.0	-257.0	994.0
43	0.0053	243645	98218	136210.0	0.0	-651.0	-168.0	-292.0	-994.0
44	0.0054	242050	98051	135665.0	0.0	-1595.0	-167.0	-545.0	0.0
45	0.0055	241488	97388	135124.0	0.0	-562.0	-663.0	-541.0	0.0
46	0.0056	241330	97271	135137.0	0.0	-158.0	-117.0	13.0	0.0
47	0.0057	241505	97236	135196.0	0.0	175.0	-35.0	59.0	0.0
48	0.0058	241373	97213	135000.0	0.0	-132.0	-23.0	-196.0	0.0
49	0.0059	241154	97153	135123.0	0.0	-219.0	-60.0	123.0	0.0
50	0.006	241027	97119	135037.0	0.0	-127.0	-34.0	-86.0	0.0
51	0.0061	241348	97065	134866.0	0.0	321.0	-54.0	-171.0	0.0
52	0.0062	241443	97004	134797.0	0.0	95.0	-61.0	-69.0	0.0
53	0.0063	241248	96945	134757.0	0.0	-195.0	-59.0	-40.0	0.0
54	0.0064	240996	96942	134678.0	0.0	-252.0	-3.0	-79.0	0.0
55	0.0065	241036	96903	134682.0	880.0	40.0	-39.0	4.0	880.0
56	0.0066	0	96893	65943.0	0.0	-241036.0	-10.0	-68739.0	-880.0
57	0.0067	241104	96594	134784.0	0.0	241104.0	-299.0	68841.0	0.0
58	0.0068	471299	94917	199143.0	0.0	230195.0	-1677.0	64359.0	0.0
59	0.0069	235964	94968	132090.0	0.0	-235335.0	51.0	-67053.0	0.0
60	0.007	236302	95186	132344.0	0.0	338.0	218.0	254.0	0.0
61	0.0071	237412	95388	132531.0	0.0	1110.0	202.0	187.0	0.0
62	0.0072	237637	95565	132600.0	0.0	225.0	177.0	69.0	0.0
63	0.0073	237987	95685	132826.0	0.0	350.0	120.0	226.0	0.0
64	0.0074	238016	95810	133070.0	0.0	29.0	125.0	244.0	0.0
65	0.0075	238202	95955	133461.0	0.0	186.0	145.0	391.0	0.0
66	0.0076	238591	96084	133457.0	693.0	389.0	129.0	-4.0	693.0
67	0.0077	238723	96199	133670.0	0.0	132.0	115.0	213.0	-693.0
68	0.0078	237396	95746	133002.0	0.0	-1327.0	-453.0	-668.0	0.0
69	0.0079	238320	95862	133074.0	0.0	924.0	116.0	72.0	0.0
70	0.008	238358	95960	133109.0	0.0	38.0	98.0	35.0	0.0
71	0.0081	238803	96027	133319.0	0.0	445.0	67.0	210.0	0.0
72	0.0082	238864	96138	133543.0	0.0	61.0	111.0	224.0	0.0
73	0.0083	238893	96229	133693.0	0.0	29.0	91.0	150.0	0.0
74	0.0084	239205	96309	133911.0	0.0	312.0	80.0	218.0	0.0
75	0.0085	239256	96391	133817.0	615.0	51.0	82.0	-94.0	615.0
76	0.0086	239372	96449	134129.0	0.0	116.0	58.0	312.0	-615.0
77	0.0087	238054	95978	133405.0	0.0	-1318.0	-471.0	-724.0	0.0
78	0.0088	238551	96038	133308.0	0.0	497.0	60.0	-97.0	0.0
79	0.0089	239003	96113	133437.0	0.0	452.0	75.0	129.0	0.0
80	0.009	238989	96206	133609.0	0.0	-14.0	93.0	172.0	0.0
81	0.0091	238855	96311	133667.0	0.0	-134.0	105.0	58.0	0.0
82	0.0092	239097	96380	133717.0	0.0	242.0	69.0	50.0	0.0
83	0.0093	239069	96447	133906.0	548.0	-28.0	67.0	189.0	548.0
84	0.0094	239054	96495	133404.0	0.0	-15.0	48.0	-502.0	-548.0
85	0.0095	237846	96005	133314.0	0.0	-1208.0	-490.0	-90.0	0.0
86	0.0096	237904	96060	133367.0	0.0	58.0	55.0	53.0	0.0
87	0.0097	238884	96119	133477.0	0.0	980.0	59.0	110.0	0.0
88	0.0098	238962	96193	133540.0	0.0	78.0	74.0	63.0	0.0
89	0.0099	238806	96267	133555.0	0.0	-156.0	74.0	15.0	0.0
90	0.01	239118	96337	133731.0	490.0	312.0	70.0	176.0	490.0
91	0.0101	239100	96415	133522.0	0.0	-18.0	78.0	-209.0	-490.0
92	0.0102	237674	95928	133233.0	0.0	-1426.0	-487.0	-289.0	0.0
93	0.0103	238073	95997	133324.0	0.0	399.0	69.0	91.0	0.0
94	0.0104	238119	96101	133490.0	0.0	46.0	104.0	166.0	0.0
95	0.0105	239264	96187	133627.0	0.0	1145.0	86.0	137.0	0.0
96	0.0106	0	96294	65227.0	0.0	-239264.0	107.0	-68400.0	0.0
97	0.0107	239115	96296	133683.0	395.0	239115.0	2.0	68456.0	395.0
98	0.0108	235789	95020	131908.0	0.0	-3326.0	-1276.0	-1775.0	-395.0
99	0.0109	235892	94564	131142.0	0.0	103.0	-456.0	-766.0	0.0
100	0.011	234651	94775	131709.0	0.0	-1241.0	211.0	567.0	0.0
101	0.0111	235062	95019	199276.0	0.0	411.0	244.0	67567.0	0.0
102	0.0112	472080	95238	132377.0	0.0	237018.0	219.0	-66899.0	0.0
103	0.0113	0	95429	132621.0	354.0	-472080.0	191.0	244.0	354.0
104	0.0114	237545	95605	64379.0	0.0	237545.0	176.0	-68242.0	-354.0
105	0.0115	472721	95252	199781.0	0.0	235176.0	-353.0	135402.0	0.0
106	0.0116	236942	95371	132458.0	0.0	-235779.0	119.0	-67323.0	0.0
107	0.0117	237115	95519	132844.0	0.0	173.0	148.0	386.0	0.0
108	0.0118	0	95686	132923.0	319.0	-237115.0	167.0	79.0	319.0
109	0.0119	237283	95841	132801.0	0.0	237283.0	155.0	-122.0	-319.0
110	0.012	472663	95459	132477.0	0.0	235380.0	-382.0	-324.0	0.0
111	0.0121	237563	95534	132630.0	0.0	-235100.0	75.0	153.0	0.0
112	0.0122	237824	95679	132792.0	288.0	261.0	145.0	162.0	288.0
113	0.0123	0	95794	64904.0	0.0	-237824.0	115.0	-67888.0	-288.0
114	0.0124	237694	95383	132682.0	0.0	237694.0	-411.0	67778.0	0.0
115	0.0125	236616	95501	200182.0	0.0	-1078.0	118.0	67500.0	0.0
116	0.0126	473894	95668	132769.0	261.0	237278.0	167.0	-67413.0	261.0
117	0.0127	0	95806	133138.0	0.0	-473894.0	138.0	369.0	-261.0
118	0.0128	474000	95396	132414.0	0.0	474000.0	-410.0	-724.0	0.0
119	0.0129	237349	95516	132507.0	0.0	-236651.0	120.0	93.0	0.0
120	0.013	237592	95680	64776.0	238.0	243.0	164.0	-67731.0	238.0
121	0.0131	0	95824	132865.0	0.0	-237592.0	144.0	68089.0	-238.0
122	0.0132	237632	95427	132295.0	0.0	237632.0	-397.0	-570.0	0.0
123	0.0133	236567	95512	132471.0	218.0	-1065.0	85.0	176.0	218.0
124	0.0134	236593	95643	132618.0	0.0	26.0	131.0	147.0	-218.0
125	0.0135	236777	95246	199379.0	0.0	184.0	-397.0	66761.0	0.0
126	0.0136	235803	95380	64490.0	201.0	-974.0	134.0	-134889.0	201.0
127	0.0137	236035	95516	131987.0	0.0	232.0	136.0	67497.0	-201.0
128	0.0138	235485	95143	131740.0	187.0	-550.0	-373.0	-247.0	187.0
129	0.0139	235757	95286	132033.0	0.0	272.0	143.0	293.0	-187.0
130	0.014	234392	94906	131420.0	176.0	-1365.0	-380.0	-613.0	176.0
131	0.0141	234878	95054	131628.0	0.0	486.0	148.0	208.0	-176.0
132	0.0142	235200	94705	130975.0	0.0	322.0	-349.0	-653.0	0.0
133	0.0143	234211	94927	67154.0	164.0	-989.0	222.0	-63821.0	164.0
134	0.0144	234714	94556	195450.0	0.0	503.0	-371.0	128296.0	-164.0
135	0.0145	234172	94752	131170.0	154.0	-542.0	196.0	-64280.0	154.0
136	0.0146	234844	0	67167.0	0.0	672.0	-94752.0	-64003.0	-154.0
137	0.0147	234079	188019	131362.0	136.0	-765.0	188019.0	64195.0	136.0
138	0.0148	229661	93149	128687.0	0.0	-4418.0	-94870.0	-2675.0	-136.0
139	0.0149	228901	92997	128564.0	128.0	-760.0	-152.0	-123.0	128.0
140	0.015	229649	93369	128773.0	122.0	748.0	372.0	209.0	-6.0
141	0.0151	229934	0	128500.0	0.0	285.0	-93369.0	-273.0	-122.0
142	0.0152	230859	185221	128592.0	118.0	925.0	185221.0	92.0	118.0
143	0.0153	227966	93369	127630.0	114.0	-2893.0	-91852.0	-962.0	-4.0
144	0.0154	229971	94306	128886.0	0.0	2005.0	937.0	1256.0	-114.0
145	0.0155	233462	95078	194630.0	111.0	3491.0	772.0	65744.0	111.0
146	0.0156	473634	96346	201041.0	108.0	240172.0	1268.0	6411.0	-3.0
147	0.0157	240377	96991	134000.0	106.0	-233257.0	645.0	-67041.0	-2.0
148	0.0158	241553	97448	134692.0	106.0	1176.0	457.0	692.0	0.0
149	0.0159	242423	97880	135797.0	0.0	870.0	432.0	1105.0	-106.0
150	0.016	243198	98831	136542.0	105.0	775.0	951.0	745.0	105.0
151	0.0161	245753	99198	137232.0	103.0	2555.0	367.0	690.0	-2.0
152	0.0162	246335	99444	137426.0	102.0	582.0	246.0	194.0	-1.0
153	0.0163	246677	99631	138390.0	102.0	342.0	187.0	964.0	0.0
154	0.0164	247344	99822	138745.0	102.0	667.0	191.0	355.0	0.0
155	0.0165	247445	100609	138801.0	0.0	101.0	787.0	56.0	-102.0
156	0.0166	247839	100732	139339.0	102.0	394.0	123.0	538.0	102.0
157	0.0167	250304	100794	139460.0	100.0	2465.0	62.0	121.0	-2.0
158	0.0168	250390	100849	139496.0	100.0	86.0	55.0	36.0	0.0
159	0.0169	250630	100910	140063.0	99.0	240.0	61.0	567.0	-1.0
160	0.017	250594	100977	140166.0	98.0	-36.0	67.0	103.0	-1.0
161	0.0171	250452	101599	140104.0	0.0	-142.0	622.0	-62.0	-98.0
162	0.0172	250577	101604	140535.0	98.0	125.0	5.0	431.0	98.0
163	0.0173	252058	101590	140586.0	97.0	1481.0	-14.0	51.0	-1.0
164	0.0174	251987	101595	140479.0	96.0	-71.0	5.0	-107.0	-1.0
165	0.0175	252080	101576	140979.0	95.0	93.0	-19.0	500.0	-1.0
166	0.0176	251813	101565	140945.0	95.0	-267.0	-11.0	-34.0	0.0
167	0.0177	251565	101555	140800.0	95.0	-248.0	-10.0	-145.0	0.0
168	0.0178	251539	101495	140733.0	0.0	-26.0	-60.0	-67.0	-95.0
169	0.0179	251276	102060	141105.0	94.0	-263.0	565.0	372.0	94.0
170	0.018	252480	102039	140934.0	93.0	1204.0	-21.0	-171.0	-1.0
171	0.0181	252464	101938	140787.0	92.0	-16.0	-101.0	-147.0	-1.0
172	0.0182	252145	101863	140751.0	92.0	-319.0	-75.0	-36.0	0.0
173	0.0183	251877	101824	140635.0	92.0	-268.0	-39.0	-116.0	0.0
174	0.0184	252037	101787	141118.0	91.0	160.0	-37.0	483.0	-1.0
175	0.0185	251905	101726	141176.0	91.0	-132.0	-61.0	58.0	0.0
176	0.0186	251693	102281	140823.0	0.0	-212.0	555.0	-353.0	-91.0
177	0.0187	251154	101943	140037.0	91.0	-539.0	-338.0	-786.0	91.0
178	0.0188	248827	100569	139109.0	89.0	-2327.0	-1374.0	-928.0	-2.0
179	0.0189	248689	100527	139066.0	89.0	-138.0	-42.0	-43.0	0.0
180	0.019	249156	100619	139226.0	89.0	467.0	92.0	160.0	0.0
181	0.0191	249128	100708	139838.0	89.0	-28.0	89.0	612.0	0.0
182	0.0192	249231	100802	139945.0	89.0	103.0	94.0	107.0	0.0
183	0.0193	249540	101436	139969.0	89.0	309.0	634.0	24.0	0.0
184	0.0194	249685	101495	140054.0	0.0	145.0	59.0	85.0	-89.0
185	0.0195	249672	101478	140562.0	89.0	-13.0	-17.0	508.0	89.0
186	0.0196	249946	101459	140693.0	89.0	274.0	-19.0	131.0	0.0
187	0.0197	251547	101468	140718.0	88.0	1601.0	9.0	25.0	-1.0
188	0.0198	251639	101453	140761.0	88.0	92.0	-15.0	43.0	0.0
189	0.0199	251799	101460	141137.0	87.0	160.0	7.0	376.0	-1.0
190	0.02	251670	101455	141144.0	86.0	-129.0	-5.0	7.0	-1.0
191	0.0201	251618	102021	141566.0	86.0	-52.0	566.0	422.0	0.0
192	0.0202	251671	102037	141476.0	87.0	53.0	16.0	-90.0	1.0
193	0.0203	251559	101991	141371.0	0.0	-112.0	-46.0	-105.0	-87.0
194	0.0204	251215	101938	141251.0	87.0	-344.0	-53.0	-120.0	87.0
195	0.0205	252953	101858	141105.0	87.0	1738.0	-80.0	-146.0	0.0
196	0.0206	252837	101823	141032.0	86.0	-116.0	-35.0	-73.0	-1.0
197	0.0207	252541	101791	141395.0	86.0	-296.0	-32.0	363.0	0.0
198	0.0208	252524	101757	141308.0	86.0	-17.0	-34.0	-87.0	0.0
199	0.0209	252360	101740	141251.0	86.0	-164.0	-17.0	-57.0	0.0
200	0.021	252189	101702	141192.0	85.0	-171.0	-38.0	-59.0	-1.0
201	0.0211	252241	102232	141477.0	85.0	52.0	530.0	285.0	0.0
202	0.0212	252072	102240	141434.0	85.0	-169.0	8.0	-43.0	0.0
203	0.0213	251853	102174	141363.0	0.0	-219.0	-66.0	-71.0	-85.0
204	0.0214	251918	102093	141267.0	85.0	65.0	-81.0	-96.0	85.0
205	0.0215	253369	102040	141193.0	85.0	1451.0	-53.0	-74.0	0.0
206	0.0216	253221	101971	141133.0	85.0	-148.0	-69.0	-60.0	0.0
207	0.0217	253218	101901	141053.0	84.0	-3.0	-70.0	-80.0	-1.0
208	0.0218	252930	101851	140973.0	84.0	-288.0	-50.0	-80.0	0.0
209	0.0219	252601	101794	141377.0	84.0	-329.0	-57.0	404.0	0.0
210	0.022	252642	101735	141290.0	84.0	41.0	-59.0	-87.0	0.0
211	0.0221	252365	101704	141180.0	84.0	-277.0	-31.0	-110.0	0.0
212	0.0222	252103	101676	141106.0	86.0	-262.0	-28.0	-74.0	2.0
213	0.0223	252111	101659	140984.0	86.0	8.0	-17.0	-122.0	0.0
214	0.0224	251893	101652	140876.0	86.0	-218.0	-7.0	-108.0	0.0
215	0.0225	251640	101606	140811.0	86.0	-253.0	-46.0	-65.0	0.0
216	0.0226	251712	101572	140700.0	87.0	72.0	-34.0	-111.0	1.0
217	0.0227	251376	101559	139462.0	86.0	-336.0	-13.0	-1238.0	-1.0
218	0.0228	247262	100033	138302.0	86.0	-4114.0	-1526.0	-1160.0	0.0
219	0.0229	247354	100038	138528.0	86.0	92.0	5.0	226.0	0.0
220	0.023	247428	100162	138710.0	0.0	74.0	124.0	182.0	-86.0
221	0.0231	247645	100880	138848.0	86.0	217.0	718.0	138.0	86.0
222	0.0232	248189	101011	139408.0	170.0	544.0	131.0	560.0	84.0
223	0.0233	248833	101038	139446.0	0.0	644.0	27.0	38.0	-170.0
224	0.0234	249145	101062	139559.0	86.0	312.0	24.0	113.0	86.0
225	0.0235	250776	101089	139638.0	86.0	1631.0	27.0	79.0	0.0
226	0.0236	250734	101124	139571.0	86.0	-42.0	35.0	-67.0	0.0
227	0.0237	250922	101134	139677.0	87.0	188.0	10.0	106.0	1.0
228	0.0238	250876	101188	139786.0	87.0	-46.0	54.0	109.0	0.0
229	0.0239	250691	101222	139772.0	88.0	-185.0	34.0	-14.0	1.0
230	0.024	250836	101212	139799.0	88.0	145.0	-10.0	27.0	0.0
231	0.0241	250685	101220	139837.0	88.0	-151.0	8.0	38.0	0.0
232	0.0242	250528	101253	139824.0	88.0	-157.0	33.0	-13.0	0.0
233	0.0243	250733	101273	140364.0	87.0	205.0	20.0	540.0	-1.0
234	0.0244	250765	101286	140508.0	87.0	32.0	13.0	144.0	0.0
235	0.0245	250624	101874	140426.0	0.0	-141.0	588.0	-82.0	-87.0
236	0.0246	250775	101844	140873.0	174.0	151.0	-30.0	447.0	174.0
237	0.0247	252178	101797	140904.0	89.0	1403.0	-47.0	31.0	-85.0
238	0.0248	250618	101771	140785.0	0.0	-1560.0	-26.0	-119.0	-89.0
239	0.0249	250688	101708	140761.0	90.0	70.0	-63.0	-24.0	90.0
240	0.025	252199	101687	140780.0	90.0	1511.0	-21.0	19.0	0.0
241	0.0251	252078	101681	140696.0	90.0	-121.0	-6.0	-84.0	0.0
242	0.0252	252155	101631	140635.0	90.0	77.0	-50.0	-61.0	0.0
243	0.0253	252001	101613	140648.0	90.0	-154.0	-18.0	13.0	0.0
244	0.0254	251751	101617	141041.0	90.0	-250.0	4.0	393.0	0.0
245	0.0255	251801	101578	140997.0	89.0	50.0	-39.0	-44.0	-1.0
246	0.0256	251605	102128	140970.0	88.0	-196.0	550.0	-27.0	-1.0
247	0.0257	251335	102116	141270.0	88.0	-270.0	-12.0	300.0	0.0
248	0.0258	251398	102045	141179.0	88.0	63.0	-71.0	-91.0	0.0
249	0.0259	251217	101974	141112.0	88.0	-181.0	-71.0	-67.0	0.0
250	0.026	251097	101925	141024.0	0.0	-120.0	-49.0	-88.0	-88.0
251	0.0261	251221	101849	140932.0	88.0	124.0	-76.0	-92.0	88.0
252	0.0262	252533	101806	140862.0	87.0	1312.0	-43.0	-70.0	-1.0
253	0.0263	252384	101767	140779.0	87.0	-149.0	-39.0	-83.0	0.0
254	0.0264	252426	101719	140711.0	87.0	42.0	-48.0	-68.0	0.0
255	0.0265	251966	101676	140577.0	87.0	-460.0	-43.0	-134.0	0.0
256	0.0266	251772	101656	140924.0	87.0	-194.0	-20.0	347.0	0.0
257	0.0267	251690	101601	139962.0	87.0	-82.0	-55.0	-962.0	0.0
