	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	57906.0	61267.0	20408.0	1230.0	0.0	0.0	0.0	0.0
1	0.0011	77340.0	79125.0	3590.0	1221.0	19434.0	17858.0	-16818.0	-9.0
2	0.0012	120289.0	99867.0	16995.0	1246.0	42949.0	20742.0	13405.0	25.0
3	0.0013	146407.0	57376.0	25851.0	0.0	26118.0	-42491.0	8856.0	-1246.0
4	0.0014	175991.0	60989.0	15831.0	1284.0	29584.0	3613.0	-10020.0	1284.0
5	0.0015	105562.0	132113.0	8465.0	2521.0	-70429.0	71124.0	-7366.0	1237.0
6	0.0016	108579.0	71088.0	16552.0	1330.0	3017.0	-61025.0	8087.0	-1191.0
7	0.0017	109788.0	74162.0	25175.0	0.0	1209.0	3074.0	8623.0	-1330.0
8	0.0018	228368.0	76823.0	17164.0	1210.0	118580.0	2661.0	-8011.0	1210.0
9	0.0019	114058.0	78540.0	16459.0	0.0	-114310.0	1717.0	-705.0	-1210.0
10	0.002	112427.0	145274.0	15723.0	1135.0	-1631.0	66734.0	-736.0	1135.0
11	0.0021	117124.0	74572.0	16049.0	0.0	4697.0	-70702.0	326.0	-1135.0
12	0.0022	250419.0	76494.0	16867.0	1100.0	133295.0	1922.0	818.0	1100.0
13	0.0023	134131.0	78825.0	27516.0	0.0	-116288.0	2331.0	10649.0	-1100.0
14	0.0024	136633.0	80310.0	25677.0	1033.0	2502.0	1485.0	-1839.0	1033.0
15	0.0025	141289.0	82199.0	19142.0	961.0	4656.0	1889.0	-6535.0	-72.0
16	0.0026	146686.0	167648.0	19321.0	0.0	5397.0	85449.0	179.0	-961.0
17	0.0027	298197.0	85778.0	31206.0	0.0	151511.0	-81870.0	11885.0	0.0
18	0.0028	154653.0	86583.0	8339.0	929.0	-143544.0	805.0	-22867.0	929.0
19	0.0029	156002.0	87813.0	32510.0	0.0	1349.0	1230.0	24171.0	-929.0
20	0.003	158313.0	88383.0	29604.0	871.0	2311.0	570.0	-2906.0	871.0
21	0.0031	163120.0	88820.0	21405.0	812.0	4807.0	437.0	-8199.0	-59.0
22	0.0032	164362.0	89207.0	21191.0	0.0	1242.0	387.0	-214.0	-812.0
23	0.0033	164387.0	89567.0	21464.0	790.0	25.0	360.0	273.0	790.0
24	0.0034	166327.0	90456.0	21907.0	745.0	1940.0	889.0	443.0	-45.0
25	0.0035	167434.0	90741.0	21605.0	0.0	1107.0	285.0	-302.0	-745.0
26	0.0036	169481.0	91937.0	22028.0	729.0	2047.0	1196.0	423.0	729.0
27	0.0037	169876.0	92105.0	22370.0	692.0	395.0	168.0	342.0	-37.0
28	0.0038	170174.0	92154.0	21940.0	0.0	298.0	49.0	-430.0	-692.0
29	0.0039	172098.0	92745.0	22436.0	685.0	1924.0	591.0	496.0	685.0
30	0.004	171389.0	92799.0	22489.0	653.0	-709.0	54.0	53.0	-32.0
31	0.0041	172830.0	92778.0	22181.0	651.0	1441.0	-21.0	-308.0	-2.0
