	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	50493.0	58561.0	6436.0	1551	0.0	0.0	0.0	0.0
1	0.0011	25987.0	69338.0	21354.0	0	-24506.0	10777.0	14918.0	-1551.0
2	0.0012	99173.0	40293.0	40091.0	1100	73186.0	-29045.0	18737.0	1100.0
3	0.0013	116838.0	40783.0	63403.0	0	17665.0	490.0	23312.0	-1100.0
4	0.0014	271856.0	90859.0	73490.0	0	155018.0	50076.0	10087.0	0.0
5	0.0015	115934.0	108541.0	42557.0	1038	-155922.0	17682.0	-30933.0	1038.0
6	0.0016	260503.0	60436.0	95867.0	0	144569.0	-48105.0	53310.0	-1038.0
7	0.0017	142339.0	130817.0	52911.0	957	-118164.0	70381.0	-42956.0	957.0
8	0.0018	150346.0	70467.0	114154.0	0	8007.0	-60350.0	61243.0	-957.0
9	0.0019	317866.0	72704.0	60559.0	888	167520.0	2237.0	-53595.0	888.0
10	0.002	168400.0	75330.0	62856.0	0	-149466.0	2626.0	2297.0	-888.0
11	0.0021	172398.0	77103.0	65251.0	828	3998.0	1773.0	2395.0	828.0
12	0.0022	177312.0	78068.0	94481.0	0	4914.0	965.0	29230.0	-828.0
13	0.0023	180390.0	161340.0	110511.0	780	3078.0	83272.0	16030.0	780.0
14	0.0024	184575.0	83028.0	70694.0	0	4185.0	-78312.0	-39817.0	-780.0
15	0.0025	378790.0	84037.0	71761.0	737	194215.0	1009.0	1067.0	737.0
16	0.0026	191870.0	85431.0	72557.0	702	-186920.0	1394.0	796.0	-35.0
17	0.0027	194682.0	86142.0	73357.0	0	2812.0	711.0	800.0	-702.0
18	0.0028	196055.0	87322.0	73992.0	668	1373.0	1180.0	635.0	668.0
19	0.0029	198601.0	87858.0	74417.0	643	2546.0	536.0	425.0	-25.0
20	0.003	199555.0	88276.0	75425.0	618	954.0	418.0	1008.0	-25.0
21	0.0031	200198.0	89220.0	75348.0	0	643.0	944.0	-77.0	-618.0
22	0.0032	202255.0	89551.0	75822.0	599	2057.0	331.0	474.0	599.0
23	0.0033	202937.0	89799.0	76341.0	578	682.0	248.0	519.0	-21.0
24	0.0034	203245.0	90582.0	76664.0	0	308.0	783.0	323.0	-578.0
25	0.0035	192363.0	90752.0	74254.0	539	-10882.0	170.0	-2410.0	539.0
26	0.0036	188611.0	86739.0	71322.0	518	-3752.0	-4013.0	-2932.0	-21.0
27	0.0037	189618.0	84995.0	71157.0	508	1007.0	-1744.0	-165.0	-10.0
28	0.0038	192326.0	85328.0	72573.0	500	2708.0	333.0	1416.0	-8.0
29	0.0039	193833.0	86513.0	73616.0	499	1507.0	1185.0	1043.0	-1.0
30	0.004	195074.0	87127.0	73507.0	493	1241.0	614.0	-109.0	-6.0
31	0.0041	197589.0	87623.0	104241.0	490	2515.0	496.0	30734.0	-3.0
32	0.0042	198581.0	88050.0	74572.0	487	992.0	427.0	-29669.0	-3.0
33	0.0043	199413.0	88439.0	74878.0	0	832.0	389.0	306.0	-487.0
34	0.0044	200070.0	177878.0	75157.0	484	657.0	89439.0	279.0	484.0
35	0.0045	200588.0	89932.0	75868.0	476	518.0	-87946.0	711.0	-8.0
