	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	49614	59881	19293.0	0.0	0.0	0.0	0.0	0.0
1	0.0011	56972	36708	34570.0	1143.0	7358.0	-23173.0	15277.0	1143.0
2	0.0012	77650	38783	40038.0	0.0	20678.0	2075.0	5468.0	-1143.0
3	0.0013	189189	79939	80742.0	0.0	111539.0	41156.0	40704.0	0.0
4	0.0014	209424	92485	93271.0	0.0	20235.0	12546.0	12529.0	0.0
5	0.0015	276253	52817	119850.0	0.0	66829.0	-39668.0	26579.0	0.0
6	0.0016	336990	118949	110906.0	0.0	60737.0	66132.0	-8944.0	0.0
7	0.0017	184479	66225	76380.0	1078.0	-152511.0	-52724.0	-34526.0	1078.0
8	0.0018	193702	142067	112238.0	0.0	9223.0	75842.0	35858.0	-1078.0
9	0.0019	407940	75000	83761.0	0.0	214238.0	-67067.0	-28477.0	0.0
10	0.002	214647	77520	140550.0	0.0	-193293.0	2520.0	56789.0	0.0
11	0.0021	220990	79794	90931.0	0.0	6343.0	2274.0	-49619.0	0.0
12	0.0022	226646	81808	93153.0	969.0	5656.0	2014.0	2222.0	969.0
13	0.0023	231706	83541	94817.0	0.0	5060.0	1733.0	1664.0	-969.0
14	0.0024	234362	170467	96168.0	0.0	2656.0	86926.0	1351.0	0.0
15	0.0025	238515	87267	136413.0	0.0	4153.0	-83200.0	40245.0	0.0
16	0.0026	487693	88453	99752.0	874.0	249178.0	1186.0	-36661.0	874.0
17	0.0027	248385	89474	100762.0	0.0	-239308.0	1021.0	1010.0	-874.0
18	0.0028	249409	89824	164385.0	0.0	1024.0	350.0	63623.0	0.0
19	0.0029	251809	90633	103059.0	0.0	2400.0	809.0	-61326.0	0.0
20	0.003	254189	91424	103962.0	791.0	2380.0	791.0	903.0	791.0
21	0.0031	256238	92145	104483.0	0.0	2049.0	721.0	521.0	-791.0
22	0.0032	256241	92213	104755.0	0.0	3.0	68.0	272.0	0.0
23	0.0033	257718	92773	105412.0	0.0	1477.0	560.0	657.0	0.0
24	0.0034	259504	93309	106125.0	718.0	1786.0	536.0	713.0	718.0
25	0.0035	261157	93786	106486.0	0.0	1653.0	477.0	361.0	-718.0
26	0.0036	260893	93669	106598.0	0.0	-264.0	-117.0	112.0	0.0
27	0.0037	261999	94067	107045.0	654.0	1106.0	398.0	447.0	654.0
28	0.0038	263280	94479	105703.0	0.0	1281.0	412.0	-1342.0	-654.0
29	0.0039	251449	91594	101783.0	0.0	-11831.0	-2885.0	-3920.0	0.0
30	0.004	246179	89319	100767.0	0.0	-5270.0	-2275.0	-1016.0	0.0
31	0.0041	248343	89880	101745.0	553.0	2164.0	561.0	978.0	553.0
32	0.0042	251150	90717	102589.0	0.0	2807.0	837.0	844.0	-553.0
33	0.0043	251912	90962	103177.0	504.0	762.0	245.0	588.0	504.0
34	0.0044	254341	91663	104119.0	0.0	2429.0	701.0	942.0	-504.0
35	0.0045	256608	92350	104747.0	0.0	2267.0	687.0	628.0	0.0
36	0.0046	256921	92426	105131.0	465.0	313.0	76.0	384.0	465.0
37	0.0047	258645	92967	105747.0	0.0	1724.0	541.0	616.0	-465.0
38	0.0048	258495	92951	105707.0	434.0	-150.0	-16.0	-40.0	434.0
39	0.0049	259775	93413	106196.0	0.0	1280.0	462.0	489.0	-434.0
40	0.005	259654	93351	106113.0	407.0	-121.0	-62.0	-83.0	407.0
41	0.0051	261089	93787	106699.0	384.0	1435.0	436.0	586.0	-23.0
42	0.0052	260716	93684	106523.0	0.0	-373.0	-103.0	-176.0	-384.0
43	0.0053	261884	94088	106696.0	366.0	1168.0	404.0	173.0	366.0
44	0.0054	261243	93936	106692.0	0.0	-641.0	-152.0	-4.0	-366.0
