	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	176359.0	82683.0	18491.0	0.0	0.0	0.0	0.0	0.0
1	0.0011	184192.0	100938.0	26650.0	0.0	7833.0	18255.0	8159.0	0.0
2	0.0012	251147.0	60332.0	40391.0	1374.0	66955.0	-40606.0	13741.0	1374.0
3	0.0013	144626.0	139344.0	21196.0	0.0	-106521.0	79012.0	-19195.0	-1374.0
4	0.0014	317030.0	75998.0	46938.0	0.0	172404.0	-63346.0	25742.0	0.0
5	0.0015	150261.0	79720.0	22472.0	0.0	-166769.0	3722.0	-24466.0	0.0
6	0.0016	150612.0	150979.0	22578.0	0.0	351.0	71259.0	106.0	0.0
7	0.0017	159250.0	79437.0	49281.0	0.0	8638.0	-71542.0	26703.0	0.0
8	0.0018	344937.0	83515.0	26677.0	0.0	185687.0	4078.0	-22604.0	0.0
9	0.0019	183775.0	87212.0	31140.0	0.0	-161162.0	3697.0	4463.0	0.0
10	0.002	190283.0	181553.0	28848.0	0.0	6508.0	94341.0	-2292.0	0.0
11	0.0021	189101.0	91852.0	28985.0	0.0	-1182.0	-89701.0	137.0	0.0
12	0.0022	191727.0	93158.0	29201.0	0.0	2626.0	1306.0	216.0	0.0
13	0.0023	194569.0	94392.0	59653.0	1106.0	2842.0	1234.0	30452.0	1106.0
14	0.0024	197051.0	95485.0	30389.0	0.0	2482.0	1093.0	-29264.0	-1106.0
15	0.0025	199383.0	95853.0	33457.0	0.0	2332.0	368.0	3068.0	0.0
16	0.0026	200047.0	96696.0	30795.0	0.0	664.0	843.0	-2662.0	0.0
17	0.0027	200378.0	96896.0	30845.0	0.0	331.0	200.0	50.0	0.0
18	0.0028	405679.0	97593.0	31080.0	0.0	205301.0	697.0	235.0	0.0
19	0.0029	205212.0	98272.0	31325.0	0.0	-200467.0	679.0	245.0	0.0
20	0.003	206488.0	98897.0	34186.0	0.0	1276.0	625.0	2861.0	0.0
21	0.0031	206281.0	99445.0	31719.0	0.0	-207.0	548.0	-2467.0	0.0
22	0.0032	207299.0	99329.0	31671.0	0.0	1018.0	-116.0	-48.0	0.0
23	0.0033	208353.0	99744.0	31824.0	982.0	1054.0	415.0	153.0	982.0
24	0.0034	209305.0	100179.0	34368.0	0.0	952.0	435.0	2544.0	-982.0
25	0.0035	208729.0	99977.0	31896.0	0.0	-576.0	-202.0	-2472.0	0.0
26	0.0036	208177.0	99742.0	31814.0	0.0	-552.0	-235.0	-82.0	0.0
27	0.0037	208997.0	100105.0	31946.0	0.0	820.0	363.0	132.0	0.0
28	0.0038	209781.0	100499.0	34243.0	0.0	784.0	394.0	2297.0	0.0
29	0.0039	209225.0	100835.0	32197.0	0.0	-556.0	336.0	-2046.0	0.0
30	0.004	209954.0	100571.0	32112.0	0.0	729.0	-264.0	-85.0	0.0
31	0.0041	210718.0	100848.0	34175.0	873.0	764.0	277.0	2063.0	873.0
32	0.0042	211387.0	101153.0	32324.0	0.0	669.0	305.0	-1851.0	-873.0
33	0.0043	209380.0	101427.0	32206.0	0.0	-2007.0	274.0	-118.0	0.0
34	0.0044	209927.0	100563.0	33876.0	0.0	547.0	-864.0	1670.0	0.0
35	0.0045	210676.0	100768.0	32187.0	0.0	749.0	205.0	-1689.0	0.0
36	0.0046	209961.0	101073.0	32296.0	0.0	-715.0	305.0	109.0	0.0
37	0.0047	210542.0	100760.0	33816.0	0.0	581.0	-313.0	1520.0	0.0
38	0.0048	211233.0	101006.0	32273.0	0.0	691.0	246.0	-1543.0	0.0
39	0.0049	210524.0	101292.0	32378.0	778.0	-709.0	286.0	105.0	778.0
40	0.005	210976.0	100960.0	33756.0	0.0	452.0	-332.0	1378.0	-778.0
41	0.0051	210281.0	101173.0	32328.0	0.0	-695.0	213.0	-1428.0	0.0
42	0.0052	209588.0	100336.0	32039.0	0.0	-693.0	-837.0	-289.0	0.0
43	0.0053	210191.0	100575.0	33507.0	0.0	603.0	239.0	1468.0	0.0
44	0.0054	209538.0	100901.0	32238.0	0.0	-653.0	326.0	-1269.0	0.0
45	0.0055	210207.0	100620.0	33334.0	0.0	669.0	-281.0	1096.0	0.0
46	0.0056	207735.0	99509.0	31757.0	0.0	-2472.0	-1111.0	-1577.0	0.0
