	time	ins	cycle	memory	branchm	ins_d	cycle_d	memory_d	branchm_d
0	0.001	182378.0	148680.0	28474.0	1256.0	0.0	0.0	0.0	0.0
1	0.0011	255703.0	63517.0	43120.0	0.0	73325.0	-85163.0	14646.0	-1256.0
2	0.0012	306904.0	141626.0	46998.0	1180.0	51201.0	78109.0	3878.0	1180.0
3	0.0013	171618.0	78605.0	36506.0	0.0	-135286.0	-63021.0	-10492.0	-1180.0
4	0.0014	178224.0	82378.0	57277.0	1115.0	6606.0	3773.0	20771.0	1115.0
5	0.0015	383228.0	175648.0	34308.0	1062.0	205004.0	93270.0	-22969.0	-53.0
6	0.0016	202548.0	92540.0	35493.0	0.0	-180680.0	-83108.0	1185.0	-1062.0
7	0.0017	207021.0	94811.0	44698.0	1015.0	4473.0	2271.0	9205.0	1015.0
8	0.0018	212800.0	97408.0	68092.0	978.0	5779.0	2597.0	23394.0	-37.0
9	0.0019	216885.0	99121.0	39289.0	949.0	4085.0	1713.0	-28803.0	-29.0
10	0.002	220100.0	100569.0	39994.0	0.0	3215.0	1448.0	705.0	-949.0
11	0.0021	224241.0	102503.0	40390.0	918.0	4141.0	1934.0	396.0	918.0
12	0.0022	226815.0	103647.0	40457.0	824.0	2574.0	1144.0	67.0	-94.0
13	0.0023	210556.0	96686.0	38032.0	790.0	-16259.0	-6961.0	-2425.0	-34.0
14	0.0024	416793.0	191602.0	37386.0	0.0	206237.0	94916.0	-646.0	-790.0
15	0.0025	0.0	0.0	38051.0	783.0	-416793.0	-191602.0	665.0	783.0
16	0.0026	213554.0	98131.0	38122.0	762.0	213554.0	98131.0	71.0	-21.0
17	0.0027	211345.0	97361.0	38009.0	747.0	-2209.0	-770.0	-113.0	-15.0
18	0.0028	210223.0	96798.0	37799.0	730.0	-1122.0	-563.0	-210.0	-17.0
19	0.0029	208992.0	96838.0	37579.0	715.0	-1231.0	40.0	-220.0	-15.0
20	0.003	209484.0	96402.0	37608.0	0.0	492.0	-436.0	29.0	-715.0
21	0.0031	209116.0	95945.0	29706.0	700.0	-368.0	-457.0	-7902.0	700.0
22	0.0032	208257.0	95540.0	37703.0	686.0	-859.0	-405.0	7997.0	-14.0
23	0.0033	207237.0	95191.0	45218.0	680.0	-1020.0	-349.0	7515.0	-6.0
24	0.0034	206705.0	94872.0	29593.0	675.0	-532.0	-319.0	-15625.0	-5.0
25	0.0035	206409.0	94580.0	37380.0	669.0	-296.0	-292.0	7787.0	-6.0
26	0.0036	205816.0	94324.0	37280.0	663.0	-593.0	-256.0	-100.0	-6.0
27	0.0037	205285.0	94103.0	37133.0	652.0	-531.0	-221.0	-147.0	-11.0
28	0.0038	205209.0	94449.0	37070.0	646.0	-76.0	346.0	-63.0	-6.0
29	0.0039	206425.0	94276.0	37132.0	644.0	1216.0	-173.0	62.0	-2.0
30	0.004	205704.0	94050.0	36982.0	641.0	-721.0	-226.0	-150.0	-3.0
31	0.0041	205251.0	93866.0	36931.0	637.0	-453.0	-184.0	-51.0	-4.0
32	0.0042	205169.0	93691.0	37023.0	636.0	-82.0	-175.0	92.0	-1.0
33	0.0043	204874.0	93543.0	36960.0	636.0	-295.0	-148.0	-63.0	0.0
34	0.0044	204294.0	93413.0	36753.0	0.0	-580.0	-130.0	-207.0	-636.0
35	0.0045	204234.0	93298.0	36840.0	634.0	-60.0	-115.0	87.0	634.0
36	0.0046	204244.0	93171.0	37247.0	624.0	10.0	-127.0	407.0	-10.0
37	0.0047	203844.0	93093.0	37052.0	627.0	-400.0	-78.0	-195.0	3.0
38	0.0048	203480.0	92999.0	36850.0	627.0	-364.0	-94.0	-202.0	0.0
39	0.0049	203724.0	92935.0	36953.0	626.0	244.0	-64.0	103.0	-1.0
40	0.005	203595.0	92874.0	37092.0	619.0	-129.0	-61.0	139.0	-7.0
41	0.0051	203098.0	92802.0	36770.0	623.0	-497.0	-72.0	-322.0	4.0
42	0.0052	203068.0	92730.0	36740.0	623.0	-30.0	-72.0	-30.0	0.0
43	0.0053	203192.0	92668.0	36927.0	619.0	124.0	-62.0	187.0	-4.0
44	0.0054	202789.0	92626.0	36887.0	616.0	-403.0	-42.0	-40.0	-3.0
45	0.0055	202440.0	92564.0	36573.0	622.0	-349.0	-62.0	-314.0	6.0
46	0.0056	202718.0	92530.0	36679.0	622.0	278.0	-34.0	106.0	0.0
47	0.0057	202724.0	92504.0	36895.0	616.0	6.0	-26.0	216.0	-6.0
48	0.0058	202445.0	92486.0	36692.0	614.0	-279.0	-18.0	-203.0	-2.0
49	0.0059	202471.0	92473.0	36571.0	620.0	26.0	-13.0	-121.0	6.0
50	0.006	202671.0	92466.0	36788.0	617.0	200.0	-7.0	217.0	-3.0
51	0.0061	202475.0	92460.0	36825.0	615.0	-196.0	-6.0	37.0	-2.0
52	0.0062	202543.0	92453.0	7587.0	615.0	68.0	-7.0	-29238.0	0.0
53	0.0063	198610.0	92527.0	36419.0	608.0	-3933.0	74.0	28832.0	-7.0
54	0.0064	198282.0	90664.0	35971.0	604.0	-328.0	-1863.0	-448.0	-4.0
55	0.0065	198243.0	90628.0	36054.0	602.0	-39.0	-36.0	83.0	-2.0
56	0.0066	198803.0	90787.0	35781.0	610.0	560.0	159.0	-273.0	8.0
57	0.0067	199385.0	90936.0	35957.0	611.0	582.0	149.0	176.0	1.0
58	0.0068	199325.0	91076.0	36227.0	607.0	-60.0	140.0	270.0	-4.0
59	0.0069	199482.0	91186.0	36032.0	612.0	157.0	110.0	-195.0	5.0
60	0.007	199966.0	91292.0	36032.0	612.0	484.0	106.0	0.0	0.0
61	0.0071	200082.0	91391.0	36290.0	608.0	116.0	99.0	258.0	-4.0
62	0.0072	200106.0	91495.0	28789.0	603.0	24.0	104.0	-7501.0	-5.0
63	0.0073	200738.0	92149.0	43679.0	610.0	632.0	654.0	14890.0	7.0
64	0.0074	202415.0	92797.0	36422.0	608.0	1677.0	648.0	-7257.0	-2.0
65	0.0075	201081.0	92313.0	36620.0	604.0	-1334.0	-484.0	198.0	-4.0
66	0.0076	202567.0	92287.0	57591.0	605.0	1486.0	-26.0	20971.0	1.0
67	0.0077	202968.0	92824.0	15100.0	614.0	401.0	537.0	-42491.0	9.0
68	0.0078	202633.0	92814.0	36599.0	611.0	-335.0	-10.0	21499.0	-3.0
69	0.0079	201300.0	92770.0	28912.0	606.0	-1333.0	-44.0	-7687.0	-5.0
70	0.008	202948.0	92226.0	65537.0	613.0	1648.0	-544.0	36625.0	7.0
71	0.0081	204374.0	92726.0	15103.0	614.0	1426.0	500.0	-50434.0	1.0
72	0.0082	204055.0	92742.0	36725.0	609.0	-319.0	16.0	21622.0	-5.0
73	0.0083	204111.0	92711.0	57803.0	609.0	56.0	-31.0	21078.0	0.0
74	0.0084	204185.0	92645.0	36711.0	615.0	74.0	-66.0	-21092.0	6.0
75	0.0085	203612.0	92607.0	7523.0	615.0	-573.0	-38.0	-29188.0	0.0
76	0.0086	203331.0	92558.0	36549.0	609.0	-281.0	-49.0	29026.0	-6.0
77	0.0087	203503.0	92521.0	65554.0	615.0	172.0	-37.0	29005.0	6.0
78	0.0088	203328.0	92482.0	7594.0	616.0	-175.0	-39.0	-57960.0	1.0
79	0.0089	202862.0	92467.0	36551.0	0.0	-466.0	-15.0	28957.0	-616.0
80	0.009	202890.0	92453.0	65394.0	1226.0	28.0	-14.0	28843.0	1226.0
81	0.0091	203066.0	92434.0	7693.0	617.0	176.0	-19.0	-57701.0	-609.0
82	0.0092	202632.0	92417.0	36515.0	0.0	-434.0	-17.0	28822.0	-617.0
83	0.0093	202471.0	92397.0	36457.0	617.0	-161.0	-20.0	-58.0	617.0
84	0.0094	202739.0	92386.0	65579.0	611.0	268.0	-11.0	29122.0	-6.0
85	0.0095	202730.0	92384.0	36684.0	615.0	-9.0	-2.0	-28895.0	4.0
86	0.0096	202383.0	92377.0	7472.0	616.0	-347.0	-7.0	-29212.0	1.0
87	0.0097	202523.0	92363.0	65646.0	615.0	140.0	-14.0	58174.0	-1.0
88	0.0098	202805.0	92359.0	36754.0	609.0	282.0	-4.0	-28892.0	-6.0
89	0.0099	202474.0	92347.0	36626.0	615.0	-331.0	-12.0	-128.0	6.0
90	0.01	202404.0	92354.0	36634.0	615.0	-70.0	7.0	8.0	0.0
91	0.0101	202655.0	92337.0	36776.0	614.0	251.0	-17.0	142.0	-1.0
92	0.0102	202540.0	92326.0	7712.0	606.0	-115.0	-11.0	-29064.0	-8.0
93	0.0103	199648.0	92301.0	36618.0	606.0	-2892.0	-25.0	28906.0	0.0
94	0.0104	199758.0	91113.0	36171.0	606.0	110.0	-1188.0	-447.0	0.0
95	0.0105	200209.0	91095.0	36326.0	598.0	451.0	-18.0	155.0	-8.0
96	0.0106	200130.0	91205.0	36563.0	604.0	-79.0	110.0	237.0	6.0
97	0.0107	200432.0	91335.0	36374.0	605.0	302.0	130.0	-189.0	1.0
98	0.0108	200939.0	91445.0	65567.0	605.0	507.0	110.0	29193.0	0.0
99	0.0109	200992.0	91550.0	7658.0	601.0	53.0	105.0	-57909.0	-4.0
100	0.011	200845.0	91622.0	36580.0	608.0	-147.0	72.0	28922.0	7.0
101	0.0111	201289.0	91691.0	36475.0	609.0	444.0	69.0	-105.0	1.0
102	0.0112	201504.0	91760.0	36607.0	607.0	215.0	69.0	132.0	-2.0
103	0.0113	201278.0	91831.0	36660.0	609.0	-226.0	71.0	53.0	2.0
104	0.0114	201503.0	91876.0	36412.0	610.0	225.0	45.0	-248.0	1.0
105	0.0115	201868.0	91924.0	36532.0	610.0	365.0	48.0	120.0	0.0
106	0.0116	201596.0	91972.0	36666.0	609.0	-272.0	48.0	134.0	-1.0
107	0.0117	201508.0	92011.0	36601.0	611.0	-88.0	39.0	-65.0	2.0
108	0.0118	201811.0	92042.0	36439.0	612.0	303.0	31.0	-162.0	1.0
109	0.0119	201823.0	92080.0	36556.0	610.0	12.0	38.0	117.0	-2.0
110	0.012	201598.0	92112.0	36655.0	611.0	-225.0	32.0	99.0	1.0
111	0.0121	201756.0	92121.0	36370.0	611.0	158.0	9.0	-285.0	0.0
112	0.0122	202004.0	92113.0	36479.0	611.0	248.0	-8.0	109.0	0.0
113	0.0123	201636.0	92133.0	36609.0	610.0	-368.0	20.0	130.0	-1.0
114	0.0124	201484.0	92136.0	36527.0	614.0	-152.0	3.0	-82.0	4.0
115	0.0125	201853.0	92169.0	36368.0	614.0	369.0	33.0	-159.0	0.0
116	0.0126	201906.0	92192.0	36520.0	612.0	53.0	23.0	152.0	-2.0
117	0.0127	201704.0	92205.0	36641.0	613.0	-202.0	13.0	121.0	1.0
118	0.0128	201880.0	92196.0	36312.0	614.0	176.0	-9.0	-329.0	1.0
119	0.0129	202148.0	92751.0	36496.0	613.0	268.0	555.0	184.0	-1.0
120	0.013	201891.0	92259.0	36673.0	610.0	-257.0	-492.0	177.0	-3.0
121	0.0131	201867.0	92231.0	36558.0	612.0	-24.0	-28.0	-115.0	2.0
122	0.0132	202193.0	92231.0	36386.0	612.0	326.0	0.0	-172.0	0.0
123	0.0133	202139.0	92771.0	36599.0	611.0	-54.0	540.0	213.0	-1.0
124	0.0134	201973.0	92268.0	29070.0	606.0	-166.0	-503.0	-7529.0	-5.0
125	0.0135	202252.0	92227.0	44106.0	613.0	279.0	-41.0	15036.0	7.0
126	0.0136	203718.0	92773.0	36526.0	613.0	1466.0	546.0	-7580.0	0.0
127	0.0137	202159.0	92776.0	36775.0	611.0	-1559.0	3.0	249.0	-2.0
128	0.0138	202114.0	92228.0	29007.0	612.0	-45.0	-548.0	-7768.0	1.0
129	0.0139	202371.0	92181.0	36632.0	612.0	257.0	-47.0	7625.0	0.0
130	0.014	203640.0	92738.0	44061.0	612.0	1269.0	557.0	7429.0	0.0
131	0.0141	203321.0	92734.0	29078.0	609.0	-319.0	-4.0	-14983.0	-3.0
132	0.0142	202287.0	92687.0	36568.0	612.0	-1034.0	-47.0	7490.0	3.0
133	0.0143	199186.0	92568.0	36363.0	602.0	-3101.0	-119.0	-205.0	-10.0
134	0.0144	198424.0	90681.0	35775.0	595.0	-762.0	-1887.0	-588.0	-7.0
135	0.0145	197110.0	90024.0	35373.0	604.0	-1314.0	-657.0	-402.0	9.0
136	0.0146	199924.0	91136.0	35810.0	612.0	2814.0	1112.0	437.0	8.0
137	0.0147	202271.0	92340.0	43891.0	613.0	2347.0	1204.0	8081.0	1.0
138	0.0148	204583.0	94033.0	66417.0	613.0	2312.0	1693.0	22526.0	0.0
139	0.0149	208596.0	95007.0	37510.0	626.0	4013.0	974.0	-28907.0	13.0
140	0.015	209262.0	95813.0	37901.0	631.0	666.0	806.0	391.0	5.0
141	0.0151	210548.0	96535.0	38135.0	631.0	1286.0	722.0	234.0	0.0
142	0.0152	213650.0	97169.0	38466.0	635.0	3102.0	634.0	331.0	4.0
143	0.0153	215242.0	97729.0	38648.0	646.0	1592.0	560.0	182.0	11.0
144	0.0154	214954.0	98231.0	38912.0	650.0	-288.0	502.0	264.0	4.0
145	0.0155	433827.0	98695.0	39019.0	648.0	218873.0	464.0	107.0	-2.0
146	0.0156	219254.0	198546.0	39249.0	650.0	-214573.0	99851.0	230.0	2.0
147	0.0157	219866.0	99736.0	39382.0	654.0	612.0	-98810.0	133.0	4.0
148	0.0158	218858.0	100011.0	39487.0	660.0	-1008.0	275.0	105.0	6.0
149	0.0159	219293.0	100248.0	39547.0	662.0	435.0	237.0	60.0	2.0
150	0.016	221548.0	100470.0	39714.0	659.0	2255.0	222.0	167.0	-3.0
151	0.0161	222118.0	100646.0	39841.0	662.0	570.0	176.0	127.0	3.0
152	0.0162	220913.0	100820.0	39857.0	669.0	-1205.0	174.0	16.0	7.0
153	0.0163	221088.0	100991.0	40021.0	670.0	175.0	171.0	164.0	1.0
154	0.0164	223161.0	101141.0	40015.0	666.0	2073.0	150.0	-6.0	-4.0
155	0.0165	223759.0	101276.0	40131.0	666.0	598.0	135.0	116.0	0.0
156	0.0166	223847.0	101393.0	40187.0	670.0	88.0	117.0	56.0	4.0
157	0.0167	223643.0	101486.0	40195.0	671.0	-204.0	93.0	8.0	1.0
158	0.0168	223733.0	101570.0	40150.0	671.0	90.0	84.0	-45.0	0.0
159	0.0169	224056.0	101647.0	40251.0	671.0	323.0	77.0	101.0	0.0
160	0.017	224348.0	101716.0	40349.0	672.0	292.0	69.0	98.0	1.0
161	0.0171	224137.0	101781.0	40373.0	674.0	-211.0	65.0	24.0	2.0
162	0.0172	224027.0	101814.0	40373.0	674.0	-110.0	33.0	0.0	0.0
