	time	ins	cycle	memory	branchm
0	0.001	93569.0	117755.0	24238.0	1262
1	0.0011	55965.0	69168.0	40626.0	0
2	0.0012	126542.0	151918.0	22247.0	0
3	0.0013	71295.0	82449.0	48889.0	0
4	0.0014	75695.0	86537.0	25498.0	0
5	0.0015	143798.0	81514.0	24704.0	1051
6	0.0016	74857.0	80652.0	25036.0	0
7	0.0017	76923.0	83487.0	25848.0	0
8	0.0018	78936.0	84467.0	26283.0	0
9	0.0019	80673.0	173114.0	54347.0	0
10	0.002	166352.0	87805.0	28134.0	951
11	0.0021	85381.0	88856.0	28618.0	0
12	0.0022	85996.0	89292.0	28823.0	0
13	0.0023	87184.0	90173.0	29211.0	0
14	0.0024	88220.0	91027.0	29592.0	0
15	0.0025	89185.0	91787.0	29882.0	0
16	0.0026	90017.0	92445.0	30156.0	854
17	0.0027	90806.0	93049.0	30424.0	0
18	0.0028	90841.0	93581.0	30554.0	0
19	0.0029	91485.0	93491.0	30632.0	0
20	0.003	92055.0	93905.0	30826.0	0
21	0.0031	92567.0	94317.0	30987.0	0
22	0.0032	93137.0	94703.0	31163.0	766
23	0.0033	93583.0	95040.0	31323.0	0
24	0.0034	94006.0	94296.0	31396.0	0
25	0.0035	94351.0	94572.0	31380.0	0
26	0.0036	94760.0	94925.0	50737.0	0
27	0.0037	95042.0	95249.0	31706.0	689
28	0.0038	95301.0	95532.0	31808.0	0
29	0.0039	95558.0	95785.0	44144.0	0
30	0.004	95229.0	95468.0	31837.0	0
31	0.0041	95442.0	95666.0	31950.0	0
32	0.0042	95694.0	95898.0	32005.0	621
33	0.0043	95890.0	96104.0	32005.0	0
34	0.0044	95472.0	95753.0	31957.0	0
35	0.0045	95720.0	95923.0	32033.0	0
36	0.0046	95925.0	96115.0	32120.0	561
37	0.0047	96119.0	96306.0	32177.0	0
38	0.0048	96335.0	96467.0	32043.0	0
39	0.0049	95927.0	96073.0	32101.0	0
40	0.005	96045.0	96216.0	32177.0	508
41	0.0051	96232.0	96378.0	32229.0	0
42	0.0052	96383.0	96532.0	32064.0	0
43	0.0053	95884.0	96133.0	32128.0	0
