	time	ins	cycle	memory	branchm
0	0.001	25439	57457	0.0	1356.0
1	0.0011	51718	67512	19976.0	0.0
2	0.0012	59138	39521	14185.0	1110.0
3	0.0013	92970	39354	63087.0	0.0
4	0.0014	130446	41301	64159.0	0.0
5	0.0015	173724	88130	106036.0	0.0
6	0.0016	213863	48771	121788.0	0.0
7	0.0017	232343	98008	66334.0	0.0
8	0.0018	133095	53675	150945.0	0.0
9	0.0019	300019	120510	125649.0	0.0
10	0.002	164078	66109	91812.0	0.0
11	0.0021	172452	142039	146770.0	0.0
12	0.0022	367706	76068	150942.0	927.0
13	0.0023	193993	77820	106975.0	0.0
14	0.0024	197883	79320	108593.0	0.0
15	0.0025	203299	81250	111489.0	0.0
16	0.0026	207792	83064	113745.0	0.0
17	0.0027	212491	170751	176374.0	0.0
18	0.0028	435473	87366	118438.0	0.0
19	0.0029	222755	88519	179741.0	0.0
20	0.003	225272	89555	122778.0	0.0
21	0.0031	227924	90413	123703.0	824.0
22	0.0032	230076	91221	125093.0	0.0
23	0.0033	231915	91888	125739.0	0.0
24	0.0034	232120	91920	125734.0	0.0
25	0.0035	233591	92443	126903.0	0.0
26	0.0036	234948	93007	127621.0	0.0
27	0.0037	236567	93489	128224.0	0.0
28	0.0038	237748	93932	128632.0	0.0
29	0.0039	238665	94329	129571.0	0.0
30	0.004	239705	94653	130207.0	0.0
31	0.0041	240795	94931	130431.0	733.0
32	0.0042	241824	95193	130136.0	0.0
33	0.0043	240890	94918	130540.0	0.0
34	0.0044	241316	95169	130969.0	0.0
35	0.0045	242698	95372	131299.0	0.0
36	0.0046	243016	95612	131349.0	0.0
37	0.0047	243574	95782	131646.0	0.0
38	0.0048	243851	95930	132223.0	0.0
39	0.0049	244342	96057	132480.0	653.0
40	0.005	244963	96117	132436.0	0.0
41	0.0051	245076	96270	131884.0	0.0
42	0.0052	243757	95791	131700.0	0.0
43	0.0053	244112	95922	132357.0	0.0
44	0.0054	244688	96093	132689.0	0.0
45	0.0055	245421	96214	132758.0	0.0
46	0.0056	245628	96343	132279.0	0.0
47	0.0057	244478	95979	130692.0	522.0
48	0.0058	239934	94396	129965.0	0.0
49	0.0059	240186	94540	129831.0	0.0
50	0.006	239646	94248	129706.0	0.0
51	0.0061	240261	94504	129815.0	0.0
52	0.0062	240980	94740	130524.0	0.0
53	0.0063	241476	94981	130984.0	466.0
54	0.0064	243978	95076	132103.0	0.0
55	0.0065	244190	95905	131533.0	0.0
56	0.0066	242997	95594	131165.0	0.0
57	0.0067	243356	95698	131925.0	0.0
58	0.0068	243888	95862	132248.0	0.0
59	0.0069	244876	96010	132442.0	419.0
60	0.007	244943	96168	131910.0	0.0
61	0.0071	243810	95784	131600.0	0.0
62	0.0072	244030	95852	132311.0	0.0
63	0.0073	244433	95975	132549.0	0.0
64	0.0074	246216	95955	133394.0	377.0
65	0.0075	246348	96611	133113.0	0.0
66	0.0076	245032	96213	132281.0	0.0
67	0.0077	245233	96263	132844.0	0.0
68	0.0078	245388	96380	133054.0	340.0
69	0.0079	247646	96332	134008.0	0.0
70	0.008	247517	96981	133266.0	0.0
71	0.0081	245858	96510	132664.0	0.0
72	0.0082	245809	96495	132954.0	308.0
73	0.0083	245571	96527	133072.0	0.0
74	0.0084	245688	96600	132916.0	0.0
75	0.0085	244742	96147	132407.0	0.0
76	0.0086	245002	96231	132354.0	280.0
77	0.0087	245438	96335	132700.0	0.0
78	0.0088	245752	96441	132765.0	0.0
79	0.0089	244529	95979	132481.0	256.0
80	0.009	244923	96001	132495.0	0.0
81	0.0091	245194	96163	131956.0	0.0
82	0.0092	243877	95691	131611.0	235.0
83	0.0093	244150	95821	132281.0	0.0
84	0.0094	244513	96007	132075.0	0.0
85	0.0095	243595	95588	131879.0	201.0
86	0.0096	244103	95731	131865.0	0.0
87	0.0097	244386	95854	130629.0	0.0
88	0.0098	239753	94288	129894.0	186.0
89	0.0099	240030	94437	130210.0	0.0
90	0.01	241147	94676	130168.0	173.0
91	0.0101	240435	94418	129888.0	0.0
92	0.0102	239567	94632	129739.0	164.0
93	0.0103	240146	94359	130238.0	0.0
94	0.0104	239927	94614	130330.0	155.0
95	0.0105	240612	94407	130083.0	0.0
