	time	ins	cycle	memory	branchm
0	0.001	174946	154786.0	108511.0	1767.0
1	0.0011	411116	89392.0	244671.0	0.0
2	0.0012	477883	198193.0	205286.0	0.0
3	0.0013	262019	107800.0	149857.0	0.0
4	0.0014	275167	112490.0	239627.0	0.0
5	0.0015	288433	116663.0	165045.0	0.0
6	0.0016	605293	244862.0	253475.0	0.0
7	0.0017	314731	126626.0	176097.0	0.0
8	0.0018	291634	118058.0	163344.0	0.0
9	0.0019	288858	116917.0	161646.0	0.0
10	0.002	295643	119885.0	165899.0	0.0
11	0.0021	303969	123083.0	170265.0	0.0
12	0.0022	298376	120962.0	167148.0	0.0
13	0.0023	0	0.0	83111.0	0.0
14	0.0024	291600	118272.0	162072.0	0.0
15	0.0025	285961	115804.0	78603.0	1416.0
16	0.0026	282481	113174.0	157405.0	0.0
17	0.0027	274969	111259.0	154173.0	0.0
18	0.0028	272584	109089.0	151833.0	0.0
19	0.0029	269117	107670.0	149803.0	0.0
20	0.003	266003	106449.0	148104.0	0.0
21	0.0031	262072	0.0	147643.0	0.0
22	0.0032	258240	104886.0	146346.0	0.0
23	0.0033	257584	104484.0	73641.0	0.0
24	0.0034	0	104239.0	143531.0	0.0
25	0.0035	257696	103007.0	142678.0	0.0
26	0.0036	256091	102264.0	141783.0	0.0
27	0.0037	252358	102202.0	140990.0	0.0
28	0.0038	250707	101645.0	140333.0	0.0
29	0.0039	249635	101097.0	139662.0	0.0
30	0.004	248732	100604.0	139163.0	0.0
31	0.0041	250135	99654.0	139455.0	0.0
32	0.0042	249495	98799.0	139526.0	1252.0
33	0.0043	247152	98536.0	67640.0	0.0
34	0.0044	245015	97816.0	138087.0	0.0
35	0.0045	245489	98879.0	137068.0	0.0
36	0.0046	245027	99245.0	136987.0	0.0
37	0.0047	244779	99099.0	136873.0	0.0
38	0.0048	245512	98897.0	136942.0	0.0
39	0.0049	244796	99121.0	136874.0	0.0
40	0.005	245651	98946.0	137060.0	0.0
41	0.0051	246925	98645.0	137243.0	0.0
42	0.0052	245915	99046.0	137264.0	0.0
43	0.0053	247071	98745.0	137512.0	0.0
44	0.0054	246582	98559.0	137278.0	0.0
45	0.0055	244526	99040.0	137017.0	0.0
46	0.0056	244209	98878.0	136885.0	0.0
47	0.0057	243770	98698.0	136609.0	1106.0
48	0.0058	244113	98789.0	136978.0	0.0
49	0.0059	239236	95922.0	133401.0	0.0
50	0.006	238739	95729.0	133181.0	0.0
51	0.0061	237359	95896.0	134389.0	0.0
52	0.0062	237561	96518.0	135178.0	0.0
53	0.0063	239300	97267.0	134350.0	0.0
54	0.0064	241289	96763.0	134388.0	0.0
55	0.0065	240873	97359.0	134691.0	0.0
56	0.0066	240700	97826.0	135035.0	0.0
57	0.0067	242611	97286.0	135209.0	0.0
58	0.0068	242611	97206.0	135328.0	0.0
59	0.0069	243294	97204.0	135215.0	0.0
