	time	ins	cycle	memory	branchm
0	0.001	77372.0	116676.0	11395	0.0
1	0.0011	180596.0	141926.0	25807	1676.0
2	0.0012	226617.0	78437.0	19307	1592.0
3	0.0013	124067.0	82229.0	19289	1709.0
4	0.0014	127260.0	175386.0	29713	1733.0
5	0.0015	273053.0	92419.0	20485	0.0
6	0.0016	145418.0	94717.0	19768	1487.0
7	0.0017	136571.0	88675.0	18832	0.0
8	0.0018	136726.0	87064.0	19512	1411.0
9	0.0019	300808.0	89956.0	31691	0.0
10	0.002	157605.0	92419.0	20804	1325.0
11	0.0021	159094.0	93334.0	21022	0.0
12	0.0022	159251.0	93864.0	21065	0.0
13	0.0023	160939.0	93762.0	21488	1229.0
14	0.0024	164569.0	93635.0	21867	0.0
15	0.0025	164981.0	94059.0	21762	0.0
16	0.0026	166122.0	94444.0	31456	1136.0
17	0.0027	168907.0	94281.0	22544	1047.0
18	0.0028	169062.0	94088.0	22222	0.0
19	0.0029	169850.0	94456.0	22416	0.0
20	0.003	170944.0	94310.0	22523	999.0
21	0.0031	172879.0	94092.0	22275	0.0
22	0.0032	172212.0	94454.0	22900	933.0
23	0.0033	175963.0	94675.0	22930	0.0
24	0.0034	351589.0	94472.0	22744	870.0
25	0.0035	178243.0	94804.0	23184	0.0
26	0.0036	0.0	94614.0	22920	816.0
27	0.0037	354453.0	94918.0	22871	0.0
28	0.0038	179001.0	94705.0	23324	776.0
29	0.0039	179077.0	94981.0	22961	727.0
30	0.004	178699.0	94770.0	23228	0.0
31	0.0041	179194.0	95080.0	23466	686.0
32	0.0042	179830.0	94846.0	23002	0.0
33	0.0043	179469.0	94566.0	23217	666.0
34	0.0044	178939.0	94861.0	23219	630.0
35	0.0045	178994.0	94649.0	22950	620.0
36	0.0046	178853.0	94419.0	23385	594.0
37	0.0047	179124.0	95205.0	23173	0.0
38	0.0048	178138.0	94991.0	23019	585.0
39	0.0049	180914.0	95129.0	23580	556.0
40	0.005	179542.0	95405.0	23152	563.0
41	0.0051	178633.0	95676.0	23119	557.0
42	0.0052	0.0	95401.0	23374	0.0
43	0.0053	179213.0	94612.0	22941	544.0
44	0.0054	355395.0	94851.0	23121	531.0
45	0.0055	0.0	94630.0	23192	511.0
46	0.0056	179297.0	94948.0	22823	0.0
47	0.0057	177795.0	94745.0	0	517.0
48	0.0058	174111.0	92621.0	22767	492.0
49	0.0059	173408.0	92353.0	35245	506.0
50	0.006	172447.0	92316.0	9314	506.0
51	0.0061	173171.0	92292.0	22488	490.0
52	0.0062	172778.0	92283.0	22316	500.0
53	0.0063	171980.0	92287.0	22201	508.0
54	0.0064	172748.0	92301.0	22459	500.0
55	0.0065	172370.0	92294.0	35137	0.0
56	0.0066	171806.0	92288.0	9291	977.0
57	0.0067	173985.0	92845.0	22648	526.0
58	0.0068	172214.0	92339.0	22277	543.0
59	0.0069	171568.0	92305.0	22266	525.0
60	0.007	173871.0	92871.0	22514	550.0
61	0.0071	171945.0	92385.0	22157	0.0
62	0.0072	171397.0	92314.0	22278	1084.0
63	0.0073	173872.0	92856.0	22403	546.0
64	0.0074	172686.0	92856.0	22123	580.0
65	0.0075	170285.0	92823.0	22244	0.0
66	0.0076	174063.0	92792.0	22307	558.0
67	0.0077	172154.0	93271.0	22123	557.0
68	0.0078	173024.0	93257.0	22594	529.0
69	0.0079	176974.0	93550.0	22683	547.0
70	0.008	174897.0	92976.0	22512	555.0
71	0.0081	174717.0	92873.0	22682	536.0
72	0.0082	176505.0	93354.0	22563	0.0
73	0.0083	174187.0	93837.0	22487	534.0
74	0.0084	175663.0	93221.0	22829	509.0
75	0.0085	175714.0	93065.0	22665	517.0
76	0.0086	174636.0	93555.0	22707	503.0
77	0.0087	177889.0	93879.0	23007	503.0
78	0.0088	177339.0	93730.0	22689	0.0
79	0.0089	176406.0	93569.0	22789	502.0
80	0.009	177063.0	93437.0	22956	484.0
81	0.0091	176064.0	93318.0	22595	494.0
82	0.0092	174464.0	93781.0	22767	490.0
83	0.0093	176639.0	93206.0	22813	482.0
84	0.0094	175797.0	93057.0	22650	477.0
85	0.0095	175756.0	92975.0	22864	458.0
86	0.0096	177830.0	93442.0	22762	467.0
87	0.0097	176193.0	93310.0	22447	0.0
88	0.0098	172670.0	92400.0	22506	465.0
89	0.0099	174768.0	91823.0	22332	458.0
90	0.01	172828.0	92352.0	22350	458.0
91	0.0101	174490.0	91893.0	22706	437.0
92	0.0102	176381.0	91909.0	22547	459.0
93	0.0103	174694.0	91980.0	22546	464.0
94	0.0104	175260.0	92039.0	22820	453.0
95	0.0105	175073.0	92094.0	22658	0.0
96	0.0106	173741.0	92691.0	22754	889.0
97	0.0107	177313.0	92721.0	22855	457.0
98	0.0108	176875.0	92694.0	22646	0.0
99	0.0109	175225.0	93217.0	22833	465.0
100	0.011	177299.0	92708.0	22771	451.0
101	0.0111	176704.0	92637.0	22648	452.0
102	0.0112	175513.0	93158.0	23009	429.0
103	0.0113	179065.0	93137.0	22888	447.0
104	0.0114	178495.0	92575.0	22921	467.0
105	0.0115	177182.0	92532.0	23099	450.0
106	0.0116	179135.0	93082.0	22793	458.0
107	0.0117	177902.0	94236.0	23192	0.0
108	0.0118	176696.0	93678.0	23253	900.0
109	0.0119	178163.0	92981.0	22851	0.0
110	0.012	177219.0	94016.0	23167	456.0
111	0.0121	176270.0	93471.0	9634	448.0
112	0.0122	175976.0	93852.0	36254	452.0
113	0.0123	176565.0	94292.0	9505	450.0
114	0.0124	177305.0	92758.0	23319	437.0
115	0.0125	177973.0	93118.0	36260	441.0
116	0.0126	176398.0	93640.0	9566	436.0
117	0.0127	178397.0	92976.0	23255	436.0
118	0.0128	178587.0	93401.0	36384	0.0
119	0.0129	178168.0	93332.0	9611	855.0
120	0.013	180074.0	93791.0	23366	434.0
121	0.0131	177925.0	94247.0	22945	445.0
122	0.0132	176634.0	93608.0	23088	435.0
123	0.0133	180046.0	93436.0	23083	0.0
124	0.0134	180090.0	93301.0	22778	435.0
