	time	ins	cycle	memory	branchm
0	0.001	49402.0	28036	10224.0	1005
1	0.0011	26653.0	63530	20262.0	0
2	0.0012	64687.0	39581	34657.0	1225
3	0.0013	129174.0	39991	74004.0	0
4	0.0014	279033.0	82430	75514.0	0
5	0.0015	123994.0	96300	78366.0	0
6	0.0016	292321.0	54411	125300.0	0
7	0.0017	166400.0	121999	70353.0	0
8	0.0018	364173.0	66842	152935.0	1150
9	0.0019	196250.0	70236	49348.0	0
10	0.002	182325.0	133410	103719.0	0
11	0.0021	181717.0	69268	75788.0	0
12	0.0022	388083.0	72287	128919.0	0
13	0.0023	206118.0	75094	118228.0	0
14	0.0024	213362.0	157494	88357.0	919
15	0.0025	219662.0	81868	90515.0	0
16	0.0026	452070.0	83037	92220.0	0
17	0.0027	233263.0	84607	152655.0	0
18	0.0028	237555.0	86068	97114.0	825
19	0.0029	241483.0	87379	98687.0	0
20	0.003	245084.0	88558	137922.0	0
21	0.0031	246435.0	89031	101205.0	0
22	0.0032	249079.0	89924	102343.0	747
23	0.0033	251631.0	90770	103009.0	0
24	0.0034	252222.0	91533	103472.0	0
25	0.0035	254142.0	91669	104238.0	680
26	0.0036	256152.0	92265	104731.0	0
27	0.0037	259872.0	185644	104947.0	0
28	0.0038	259770.0	93274	105182.0	623
29	0.0039	259258.0	93746	106000.0	0
30	0.004	260437.0	93629	106548.0	0
31	0.0041	260240.0	94024	106713.0	573
32	0.0042	261587.0	94445	106966.0	0
33	0.0043	261283.0	94284	107078.0	529
34	0.0044	262451.0	94582	107527.0	0
35	0.0045	528062.0	94364	107659.0	0
36	0.0046	0.0	94674	107216.0	489
37	0.0047	265586.0	95022	107353.0	0
38	0.0048	263228.0	94788	107768.0	456
39	0.0049	263953.0	95029	107913.0	0
40	0.005	263231.0	94765	107843.0	428
41	0.0051	264110.0	95032	107971.0	0
42	0.0052	265289.0	94791	108325.0	400
43	0.0053	529727.0	95038	108008.0	377
44	0.0054	0.0	94752	108341.0	0
45	0.0055	266143.0	95028	107608.0	358
46	0.0056	265315.0	94775	107518.0	0
47	0.0057	264226.0	94496	108071.0	341
48	0.0058	263408.0	94776	107815.0	325
49	0.0059	264456.0	94567	108124.0	0
50	0.006	263460.0	0	106953.0	304
51	0.0061	257986.0	94244	105474.0	292
52	0.0062	258855.0	92778	105066.0	0
53	0.0063	260410.0	92566	105419.0	282
54	0.0064	258582.0	92495	105726.0	273
55	0.0065	257982.0	92954	105927.0	262
56	0.0066	259579.0	185700	106248.0	0
57	0.0067	259353.0	0	106111.0	255
58	0.0068	259186.0	93274	106003.0	250
59	0.0069	260532.0	93202	105475.0	249
60	0.007	261948.0	93083	105311.0	246
61	0.0071	259847.0	92980	106318.0	240
62	0.0072	259457.0	92889	106300.0	238
63	0.0073	259116.0	92819	106090.0	0
64	0.0074	258601.0	92733	105895.0	236
65	0.0075	258332.0	93203	105720.0	234
66	0.0076	259755.0	93158	105205.0	232
67	0.0077	259512.0	93057	105141.0	229
68	0.0078	259297.0	92971	105992.0	228
69	0.0079	259086.0	92879	105959.0	230
70	0.008	258633.0	92792	105798.0	229
71	0.0081	260235.0	92710	105316.0	230
72	0.0082	259919.0	92669	105440.0	228
73	0.0083	258087.0	92628	105811.0	228
74	0.0084	257640.0	92566	105889.0	227
75	0.0085	258697.0	92522	105751.0	227
76	0.0086	260265.0	92864	105553.0	228
77	0.0087	260065.0	92813	105404.0	0
78	0.0088	257889.0	92768	105611.0	227
79	0.0089	257478.0	92696	105558.0	225
80	0.009	257374.0	93184	105469.0	223
81	0.0091	258989.0	93119	104968.0	222
82	0.0092	258775.0	93029	105100.0	218
83	0.0093	259833.0	92912	105909.0	220
84	0.0094	259463.0	93224	106187.0	220
85	0.0095	259159.0	186165	106273.0	221
86	0.0096	260324.0	0	106163.0	220
87	0.0097	261757.0	93345	105913.0	226
88	0.0098	259877.0	93260	105374.0	227
89	0.0099	257818.0	93154	105656.0	227
90	0.01	257395.0	92978	104898.0	224
91	0.0101	254716.0	91636	103536.0	220
92	0.0102	256343.0	91515	104204.0	219
93	0.0103	254798.0	91532	104689.0	218
94	0.0104	254765.0	91569	104667.0	218
95	0.0105	256525.0	91626	104270.0	217
96	0.0106	256532.0	91682	104235.0	217
97	0.0107	256555.0	91711	104445.0	217
98	0.0108	256131.0	91758	104909.0	0
99	0.0109	256076.0	92216	105457.0	217
100	0.011	257429.0	92243	105439.0	434
101	0.0111	259307.0	93225	105329.0	219
102	0.0112	259233.0	93209	105236.0	221
103	0.0113	258920.0	92596	105326.0	222
104	0.0114	258280.0	92480	105705.0	222
105	0.0115	257900.0	92843	105912.0	223
106	0.0116	257798.0	92801	105833.0	222
107	0.0117	259142.0	92721	105267.0	223
108	0.0118	258996.0	92636	105119.0	223
109	0.0119	258656.0	92566	105039.0	0
110	0.012	258179.0	92531	104940.0	224
111	0.0121	256519.0	92494	105363.0	222
112	0.0122	256308.0	93003	105312.0	221
113	0.0123	258102.0	92965	104837.0	220
114	0.0124	257954.0	92881	104761.0	220
115	0.0125	257689.0	92785	104678.0	220
116	0.0126	257524.0	92716	104666.0	220
117	0.0127	255714.0	92654	105050.0	220
118	0.0128	255644.0	92584	105017.0	221
119	0.0129	257277.0	92521	104601.0	221
120	0.013	257440.0	92453	104559.0	221
121	0.0131	257287.0	92423	104554.0	221
122	0.0132	257126.0	92401	104701.0	221
123	0.0133	256670.0	92367	105137.0	222
124	0.0134	256477.0	92744	105437.0	223
125	0.0135	258083.0	92706	104982.0	220
126	0.0136	259809.0	92628	105575.0	217
127	0.0137	259759.0	92552	105587.0	217
128	0.0138	259308.0	92494	105458.0	217
129	0.0139	257554.0	92435	65092.0	0
130	0.014	257226.0	92379	105653.0	217
131	0.0141	252985.0	90568	103118.0	212
132	0.0142	252884.0	90512	142883.0	212
133	0.0143	253131.0	90631	103197.0	212
134	0.0144	253466.0	90772	63370.0	213
135	0.0145	253783.0	90919	143181.0	208
136	0.0146	251773.0	90495	103161.0	210
137	0.0147	254637.0	91540	104388.0	211
138	0.0148	257802.0	186386	105655.0	212
139	0.0149	260577.0	94622	106681.0	215
140	0.015	262981.0	95421	107666.0	436
141	0.0151	265170.0	96151	108540.0	0
142	0.0152	267335.0	96790	109390.0	444
143	0.0153	540052.0	97382	110113.0	224
144	0.0154	272345.0	97881	110760.0	226
145	0.0155	273590.0	98330	111326.0	227
146	0.0156	274783.0	98725	111817.0	228
147	0.0157	275787.0	99076	112257.0	231
148	0.0158	276548.0	99385	112649.0	233
149	0.0159	277446.0	99695	113000.0	233
150	0.016	278297.0	99945	113340.0	235
151	0.0161	279008.0	100185	183505.0	236
152	0.0162	279619.0	100370	114083.0	237
153	0.0163	280146.0	100568	114271.0	237
154	0.0164	280626.0	100709	114534.0	238
155	0.0165	281166.0	100841	114752.0	239
156	0.0166	281459.0	100968	114857.0	239
157	0.0167	281821.0	101083	115025.0	239
158	0.0168	282218.0	101185	115173.0	240
159	0.0169	282630.0	101280	115285.0	242
160	0.017	282953.0	101350	115436.0	243
161	0.0171	283074.0	101437	115489.0	244
162	0.0172	283289.0	101483	115579.0	244
163	0.0173	283418.0	101542	115647.0	245
164	0.0174	283504.0	101586	115670.0	2623
