	time	ins	cycle	memory	branchm
0	0.001	198273.0	91630	28979.0	0.0
1	0.0011	205171.0	109045	29156.0	0.0
2	0.0012	267812.0	63855	38415.0	0.0
3	0.0013	151276.0	145001	22063.0	1438.0
4	0.0014	161202.0	79886	52370.0	0.0
5	0.0015	338329.0	82532	25875.0	0.0
6	0.0016	179665.0	174017	26773.0	0.0
7	0.0017	186608.0	91689	27875.0	0.0
8	0.0018	192641.0	94368	58648.0	0.0
9	0.0019	400519.0	96697	30547.0	0.0
10	0.002	206863.0	98741	34392.0	0.0
11	0.0021	209013.0	100549	31865.0	0.0
12	0.0022	212141.0	101483	32177.0	0.0
13	0.0023	215154.0	102850	32635.0	0.0
14	0.0024	217919.0	209392	35909.0	1296.0
15	0.0025	220296.0	106257	33482.0	0.0
16	0.0026	220839.0	105944	33828.0	0.0
17	0.0027	221281.0	106699	33710.0	0.0
18	0.0028	223122.0	107498	70806.0	0.0
19	0.0029	224745.0	108182	34506.0	0.0
20	0.003	224799.0	108192	34512.0	0.0
21	0.0031	226233.0	108744	34716.0	0.0
22	0.0032	227576.0	109295	37229.0	0.0
23	0.0033	228805.0	109778	35089.0	0.0
24	0.0034	228492.0	109613	35036.0	0.0
25	0.0035	218776.0	105507	0.0	0.0
26	0.0036	213661.0	103023	35526.0	1029.0
27	0.0037	215266.0	103827	32779.0	0.0
28	0.0038	215111.0	103747	32859.0	0.0
29	0.0039	213965.0	102932	34779.0	0.0
30	0.004	214081.0	102890	32701.0	0.0
31	0.0041	213009.0	102378	32516.0	0.0
32	0.0042	213330.0	0	34174.0	0.0
33	0.0043	213749.0	204401	32635.0	0.0
34	0.0044	212739.0	102062	33979.0	0.0
35	0.0045	213019.0	0	32551.0	0.0
36	0.0046	212162.0	102207	32621.0	913.0
37	0.0047	212624.0	101786	33859.0	0.0
38	0.0048	211702.0	101924	32556.0	0.0
39	0.0049	210764.0	100985	33495.0	0.0
40	0.005	211318.0	101135	32293.0	0.0
41	0.0051	210545.0	101382	33569.0	0.0
42	0.0052	211121.0	101049	32283.0	0.0
43	0.0053	210527.0	101248	33470.0	0.0
44	0.0054	211142.0	100931	32267.0	0.0
45	0.0055	210487.0	101152	33392.0	811.0
46	0.0056	211019.0	100836	32245.0	0.0
47	0.0057	209138.0	99968	32935.0	0.0
48	0.0058	209777.0	100244	32979.0	0.0
49	0.0059	209171.0	100029	31972.0	0.0
50	0.006	208564.0	100361	32980.0	0.0
51	0.0061	209432.0	100130	32871.0	0.0
52	0.0062	208909.0	99877	31929.0	0.0
53	0.0063	208312.0	100210	32865.0	722.0
54	0.0064	207736.0	100008	32766.0	0.0
55	0.0065	207421.0	99765	32469.0	0.0
56	0.0066	207084.0	99042	31647.0	0.0
57	0.0067	206662.0	99448	32548.0	0.0
