	time	ins	cycle	memory	branchm
0	0.001	182548.0	83960	24398.0	0.0
1	0.0011	198178.0	50602	35571.0	1363.0
2	0.0012	261905.0	116153	38970.0	0.0
3	0.0013	146054.0	134812	45794.0	1262.0
4	0.0014	317770.0	73798	34862.0	0.0
5	0.0015	170196.0	77574	29890.0	1183.0
6	0.0016	177807.0	81031	57191.0	0.0
7	0.0017	182356.0	169005	33196.0	1113.0
8	0.0018	188829.0	88798	34418.0	1054.0
9	0.0019	389688.0	89802	42494.0	0.0
10	0.002	200482.0	91710	36025.0	1005.0
11	0.0021	204444.0	93533	36772.0	961.0
12	0.0022	206480.0	94011	29210.0	0.0
13	0.0023	191397.0	88800	41495.0	843.0
14	0.0024	187496.0	86750	33909.0	800.0
15	0.0025	186381.0	87951	61858.0	774.0
16	0.0026	191761.0	88662	35355.0	0.0
17	0.0027	199455.0	184256	36789.0	762.0
18	0.0028	204300.0	96013	37504.0	759.0
19	0.0029	422105.0	97871	46230.0	759.0
20	0.003	218141.0	99480	39291.0	752.0
21	0.0031	221152.0	100896	39704.0	752.0
22	0.0032	224089.0	102131	72461.0	749.0
23	0.0033	226813.0	103250	41285.0	749.0
24	0.0034	228904.0	104258	41728.0	745.0
25	0.0035	230520.0	105737	41921.0	744.0
26	0.0036	232212.0	213702	42294.0	743.0
27	0.0037	234003.0	107730	42438.0	749.0
28	0.0038	235501.0	108209	42646.0	750.0
29	0.0039	236754.0	108650	43004.0	746.0
30	0.004	237707.0	109022	43129.0	746.0
31	0.0041	238507.0	109388	43273.0	742.0
32	0.0042	240901.0	109691	43434.0	742.0
33	0.0043	484434.0	109954	43515.0	742.0
34	0.0044	244534.0	110188	43544.0	743.0
35	0.0045	0.0	110413	43674.0	745.0
36	0.0046	244707.0	110609	43874.0	745.0
37	0.0047	243428.0	110760	43845.0	745.0
38	0.0048	487496.0	110921	43956.0	745.0
39	0.0049	244565.0	111064	44056.0	745.0
40	0.005	244915.0	111179	44106.0	744.0
41	0.0051	246728.0	111297	44087.0	739.0
42	0.0052	246743.0	111385	44343.0	740.0
43	0.0053	245364.0	111428	44464.0	740.0
44	0.0054	245359.0	111516	44414.0	740.0
45	0.0055	245566.0	111578	44483.0	740.0
46	0.0056	245992.0	111651	44521.0	740.0
47	0.0057	246266.0	111665	44568.0	740.0
48	0.0058	247818.0	111707	44505.0	740.0
49	0.0059	247722.0	111764	44430.0	740.0
