            perf 74670 [015] 2602684.066781:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066793:          1 cpu/event=0xC0,umask=0x00/u:            469ca4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066797:          2 cpu/event=0xC0,umask=0x00/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066800:          9 cpu/event=0xC0,umask=0x00/u:      7f00dedf0000 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066807:          1 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066808:         40 cpu/event=0xC0,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066812:          1 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066815:          4 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066819:         18 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066822:         81 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066825:        366 cpu/event=0x3C,umask=0x00/u:      7f00dedf0007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066830:        100 cpu/event=0xC0,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.066837:          1 cpu/event=0xD0,umask=0x81/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066838:       1640 cpu/event=0x3C,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066841:          1 cpu/event=0xD0,umask=0x81/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066845:          4 cpu/event=0xD0,umask=0x81/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066848:         18 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066849:       3072 cpu/event=0x3C,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066857:         80 cpu/event=0xD0,umask=0x81/u:            469d10 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066865:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066868:        146 cpu/event=0xC0,umask=0x00/u:            469d07 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066872:          1 cpu/event=0xD0,umask=0x82/u:      7f00dedf0005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 74670 [015] 2602684.066918:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.066933:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.066959:       6111 cpu/event=0x3C,umask=0x00/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066960:        176 cpu/event=0xC0,umask=0x00/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.066964:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.066977:        190 cpu/event=0xD0,umask=0x81/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.066978:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.067024:          2 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.067049:        178 cpu/event=0xC0,umask=0x00/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.067053:          3 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.067077:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.067080:          4 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.067115:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 74670 [015] 2602684.067130:        181 cpu/event=0xC0,umask=0x00/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 74670 [015] 2602684.067139:          6 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
