            perf 77072 [002] 2603058.046447:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046457:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046460:          3 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046463:         15 cpu/event=0xC0,umask=0x00/u:      7f0566a5b005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046469:          1 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046472:          1 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046475:          5 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046478:         25 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046481:        127 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046482:         75 cpu/event=0xC0,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046485:        644 cpu/event=0x3C,umask=0x00/u:      7f0566a5b007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 77072 [002] 2603058.046489:       2764 cpu/event=0x3C,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 77072 [002] 2603058.046495:          1 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046498:          1 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046501:          5 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046504:         26 cpu/event=0xD0,umask=0x81/u:            469d10 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046507:        115 cpu/event=0xC0,umask=0x00/u:            406d10 ioctl@plt (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046518:      11166 cpu/event=0x3C,umask=0x00/u:            469d21 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046521:        132 cpu/event=0xD0,umask=0x81/u:            469d21 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046524:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046527:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 77072 [002] 2603058.046561:          1 cpu/event=0xC5,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 77072 [002] 2603058.046564:        157 cpu/event=0xC0,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 77072 [002] 2603058.046572:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
