aiifft01_lite	79217	[013]	2603322.831251	1165	cpu/event=0xD0,umask=0x82/u	ffffffff8186a950	entry_SYSCALL_64	([kernel.kallsyms])
aiifft01_lite	79217	[013]	2603322.831329	1031	cpu/event=0xD0,umask=0x82/u	7f959ad74b2a	match_symbol	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831368	1068	cpu/event=0xD0,umask=0x82/u	7f959ad6f636	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831386	1283	cpu/event=0xD0,umask=0x82/u	7f959ad6ce4c	check_match	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831399	2007	cpu/event=0xD0,umask=0x82/u	7f959ad6da61	_dl_lookup_symbol_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831412	3707	cpu/event=0xD0,umask=0x82/u	7f959ad6cf57	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831481	6745	cpu/event=0xD0,umask=0x82/u	7f959ad6cee3	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	79217	[013]	2603322.831629	7116	cpu/event=0xD0,umask=0x82/u	7f959aa7f3e3	__sincos	(/lib/x86_64-linux-gnu/libm-2.23.so)
aiifft01_lite	79217	[013]	2603322.831665	6830	cpu/event=0xD0,umask=0x82/u	400cd2	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.831672	8332	cpu/event=0xD0,umask=0x82/u	400cd2	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.831680	22348	cpu/event=0xD0,umask=0x82/u	400ce5	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.831701	57036	cpu/event=0xD0,umask=0x82/u	40108e	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
