            perf 78614 [002] 2603273.053404:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053413:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053416:          3 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053419:         15 cpu/event=0xC0,umask=0x00/u:      7f57f7204005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053425:          1 cpu/event=0x3C,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053427:          1 cpu/event=0x3C,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053430:          6 cpu/event=0x3C,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053433:         32 cpu/event=0x3C,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053436:        172 cpu/event=0x3C,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053437:         77 cpu/event=0xC0,umask=0x00/u:      7f57f7204007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053439:        925 cpu/event=0x3C,umask=0x00/u:      7f57f720400f __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053446:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053447:       4050 cpu/event=0x3C,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053450:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053453:          5 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053455:         27 cpu/event=0xD0,umask=0x81/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 78614 [002] 2603273.053458:        121 cpu/event=0xC0,umask=0x00/u:      7f57f7204000 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 78614 [002] 2603273.053468:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
