bitmnp01_lite	79709	[007]	2603485.376514	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
bitmnp01_lite	79709	[007]	2603485.376524	1	cpu/event=0xD0,umask=0x82/u	7f5d416faa48	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376540	3	cpu/event=0xD0,umask=0x82/u	7f5d416faa53	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376545	5	cpu/event=0xD0,umask=0x82/u	7f5d416faa75	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376555	17	cpu/event=0xD0,umask=0x82/u	7f5d416faaa2	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376564	36	cpu/event=0xD0,umask=0x82/u	7f5d416fad5b	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376587	83	cpu/event=0xD0,umask=0x82/u	7f5d417126c6	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376612	118	cpu/event=0xD0,umask=0x82/u	7f5d41715f6a	strlen	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376639	162	cpu/event=0xD0,umask=0x82/u	7f5d41704bf5	_dl_new_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376667	218	cpu/event=0xD0,umask=0x82/u	7f5d41708949	_dl_important_hwcaps	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376703	289	cpu/event=0xD0,umask=0x82/u	7f5d41715f5d	strlen	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376803	354	cpu/event=0xD0,umask=0x82/u	7f5d416ffc5f	_dl_map_object_from_fd	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376881	354	cpu/event=0xD0,umask=0x82/u	7f5d41716c44	memset	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376924	367	cpu/event=0xD0,umask=0x82/u	7f5d41714b1a	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376951	428	cpu/event=0xD0,umask=0x82/u	7f5d4170aae7	match_symbol	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.376997	579	cpu/event=0xD0,umask=0x82/u	7f5d417054b2	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.377030	664	cpu/event=0xD0,umask=0x82/u	7f5d41705650	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.377055	827	cpu/event=0xD0,umask=0x82/u	7f5d41702ef5	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
bitmnp01_lite	79709	[007]	2603485.377076	1140	cpu/event=0xD0,umask=0x82/u	7f5d41702d0f	check_match	(/lib/x86_64-linux-gnu/ld-2.23.so)
