            perf 79600 [006] 2603476.368711:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368720:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368722:          3 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368725:         16 cpu/event=0xC0,umask=0x00/u:      7fd25c15e005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368731:          1 cpu/event=0x3C,umask=0x00/u:      7fd25c15e007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368734:          1 cpu/event=0x3C,umask=0x00/u:      7fd25c15e007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368737:          6 cpu/event=0x3C,umask=0x00/u:      7fd25c15e007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368740:         32 cpu/event=0x3C,umask=0x00/u:      7fd25c15e007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368743:        170 cpu/event=0x3C,umask=0x00/u:      7fd25c15e007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368745:        903 cpu/event=0x3C,umask=0x00/u:      7fd25c15e00f __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368746:         83 cpu/event=0xC0,umask=0x00/u:      7fd25c15e00f __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 79600 [006] 2603476.368753:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368753:       4729 cpu/event=0x3C,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368756:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368759:          5 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368762:         27 cpu/event=0xD0,umask=0x81/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368768:        123 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368775:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368778:        142 cpu/event=0xD0,umask=0x81/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368781:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368838:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368853:        177 cpu/event=0xC0,umask=0x00/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368856:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368882:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368895:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368945:          2 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368946:        181 cpu/event=0xC0,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368959:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368972:          3 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 79600 [006] 2603476.368984:      11644 cpu/event=0x3C,umask=0x00/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 79600 [006] 2603476.368996:          4 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
