canrdr01_lite	81466	[019]	2603710.233015	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
canrdr01_lite	81466	[019]	2603710.233034	1	cpu/event=0xD0,umask=0x82/u	7f5df57c2c6b	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233043	2	cpu/event=0xD0,umask=0x82/u	7f5df57c2a5a	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233050	5	cpu/event=0xD0,umask=0x82/u	7f5df57c2a75	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233067	14	cpu/event=0xD0,umask=0x82/u	7f5df57c2afb	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233082	23	cpu/event=0xD0,umask=0x82/u	7f5df57c2da7	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233102	40	cpu/event=0xD0,umask=0x82/u	7f5df57da5b0	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233126	60	cpu/event=0xD0,umask=0x82/u	7f5df57db420	brk	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233148	84	cpu/event=0xD0,umask=0x82/u	7f5df57ddf5d	strlen	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233182	122	cpu/event=0xD0,umask=0x82/u	7f5df57c38f3	dl_main	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233202	151	cpu/event=0xD0,umask=0x82/u	7f5df57ccb30	_dl_add_to_namespace_list	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233229	229	cpu/event=0xD0,umask=0x82/u	7f5df57dec92	memset	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233290	308	cpu/event=0xD0,umask=0x82/u	7f5df57df008	memcpy	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233396	333	cpu/event=0xD0,umask=0x82/u	7f5df57ca283	_dl_map_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233460	332	cpu/event=0xD0,umask=0x82/u	7f5df57dec44	memset	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233511	356	cpu/event=0xD0,umask=0x82/u	7f5df57d29c8	_dl_name_match_p	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233546	400	cpu/event=0xD0,umask=0x82/u	7f5df57d2ebf	_dl_check_map_versions	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233601	492	cpu/event=0xD0,umask=0x82/u	7f5df57cd633	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233621	543	cpu/event=0xD0,umask=0x82/u	7f5df57cd633	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233648	803	cpu/event=0xD0,umask=0x82/u	7f5df57cd630	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233676	1086	cpu/event=0xD0,umask=0x82/u	7f5df57caf6b	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233696	1435	cpu/event=0xD0,umask=0x82/u	7f5df57caff2	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233716	2141	cpu/event=0xD0,umask=0x82/u	7f5df57cd706	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.233750	3175	cpu/event=0xD0,umask=0x82/u	7f5df57caf8a	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81466	[019]	2603710.234039	3975	cpu/event=0xD0,umask=0x82/u	7f5df516cab4	malloc_consolidate	(/lib/x86_64-linux-gnu/libc-2.23.so)
canrdr01_lite	81466	[019]	2603710.234096	3651	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234119	3990	cpu/event=0xD0,umask=0x82/u	400f46	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234131	5677	cpu/event=0xD0,umask=0x82/u	400d60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234161	10968	cpu/event=0xD0,umask=0x82/u	4011d8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234190	14087	cpu/event=0xD0,umask=0x82/u	400b46	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234239	18489	cpu/event=0xD0,umask=0x82/u	400fb0	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234295	20897	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234355	22929	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234413	24835	cpu/event=0xD0,umask=0x82/u	400b3d	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234474	27078	cpu/event=0xD0,umask=0x82/u	4008b0	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234538	29261	cpu/event=0xD0,umask=0x82/u	400d03	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234611	31317	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234683	32737	cpu/event=0xD0,umask=0x82/u	400dee	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234756	34398	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234838	35922	cpu/event=0xD0,umask=0x82/u	400e16	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234916	36938	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.234996	38205	cpu/event=0xD0,umask=0x82/u	4011fe	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235079	39396	cpu/event=0xD0,umask=0x82/u	400e30	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235168	40463	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235254	41051	cpu/event=0xD0,umask=0x82/u	400d60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235346	41891	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235434	42347	cpu/event=0xD0,umask=0x82/u	400d69	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235523	43062	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235618	43737	cpu/event=0xD0,umask=0x82/u	400c22	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235704	44031	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235800	44949	cpu/event=0xD0,umask=0x82/u	400d60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235893	45160	cpu/event=0xD0,umask=0x82/u	4008b7	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.235991	45617	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236115	42661	cpu/event=0xD0,umask=0x82/u	400feb	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236204	41637	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236298	42243	cpu/event=0xD0,umask=0x82/u	400d60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236381	42629	cpu/event=0xD0,umask=0x82/u	4008b7	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236475	43682	cpu/event=0xD0,umask=0x82/u	4008c3	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236571	44025	cpu/event=0xD0,umask=0x82/u	400d69	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236668	44256	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236759	44447	cpu/event=0xD0,umask=0x82/u	400dcc	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236857	44955	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.236951	45126	cpu/event=0xD0,umask=0x82/u	4008b3	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237049	45487	cpu/event=0xD0,umask=0x82/u	400a95	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237138	45590	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237237	46255	cpu/event=0xD0,umask=0x82/u	400d60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237338	46313	cpu/event=0xD0,umask=0x82/u	400ead	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237438	46289	cpu/event=0xD0,umask=0x82/u	400c07	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237534	46287	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237631	46498	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237731	46729	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237831	46713	cpu/event=0xD0,umask=0x82/u	400c07	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.237927	46696	cpu/event=0xD0,umask=0x82/u	400f60	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238028	46957	cpu/event=0xD0,umask=0x82/u	400d69	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238134	46920	cpu/event=0xD0,umask=0x82/u	400c22	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238235	46563	cpu/event=0xD0,umask=0x82/u	400e0f	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238331	46496	cpu/event=0xD0,umask=0x82/u	4008b3	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238431	46781	cpu/event=0xD0,umask=0x82/u	4008b3	GetInputValues	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238532	46761	cpu/event=0xD0,umask=0x82/u	400a7f	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238638	46695	cpu/event=0xD0,umask=0x82/u	4010c8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238739	46350	cpu/event=0xD0,umask=0x82/u	400de7	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238840	46300	cpu/event=0xD0,umask=0x82/u	400d6e	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.238935	46279	cpu/event=0xD0,umask=0x82/u	400ea8	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239035	46582	cpu/event=0xD0,umask=0x82/u	400d48	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239135	46563	cpu/event=0xD0,umask=0x82/u	400f8a	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239236	46540	cpu/event=0xD0,umask=0x82/u	400c07	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239333	46491	cpu/event=0xD0,umask=0x82/u	400ef2	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239429	46716	cpu/event=0xD0,umask=0x82/u	400e0f	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
canrdr01_lite	81466	[019]	2603710.239530	46917	cpu/event=0xD0,umask=0x82/u	400b31	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
