pntrch01_lite	84302	[027]	2604140.652424	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
pntrch01_lite	84302	[027]	2604140.652432	1	cpu/event=0xD0,umask=0x82/u	7f675423aa48	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652448	3	cpu/event=0xD0,umask=0x82/u	7f675423aa53	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652458	5	cpu/event=0xD0,umask=0x82/u	7f675423aa65	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652471	11	cpu/event=0xD0,umask=0x82/u	7f675423ab0b	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652485	20	cpu/event=0xD0,umask=0x82/u	7f675423ad51	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652500	36	cpu/event=0xD0,umask=0x82/u	7f67542525b0	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652516	63	cpu/event=0xD0,umask=0x82/u	7f6754252850	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652541	103	cpu/event=0xD0,umask=0x82/u	7f6754252cb0	_dl_next_ld_env_entry	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652572	143	cpu/event=0xD0,umask=0x82/u	7f675423b8e8	dl_main	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652593	183	cpu/event=0xD0,umask=0x82/u	7f6754248200	_dl_important_hwcaps	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652621	266	cpu/event=0xD0,umask=0x82/u	7f6754247ca8	_dl_map_object_deps	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652696	352	cpu/event=0xD0,umask=0x82/u	7f6754244eba	_dl_new_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652780	367	cpu/event=0xD0,umask=0x82/u	7f6754244c7f	_dl_new_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652846	376	cpu/event=0xD0,umask=0x82/u	7f6754255ecc	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652872	401	cpu/event=0xD0,umask=0x82/u	7f675424ae8c	_dl_check_map_versions	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652908	545	cpu/event=0xD0,umask=0x82/u	7f675424c5fa	_dl_allocate_tls_storage	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652953	667	cpu/event=0xD0,umask=0x82/u	7f675424565a	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652975	768	cpu/event=0xD0,umask=0x82/u	7f6754245639	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.652998	1116	cpu/event=0xD0,umask=0x82/u	7f6754242f86	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.653011	1567	cpu/event=0xD0,umask=0x82/u	7f675424395f	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.653038	2860	cpu/event=0xD0,umask=0x82/u	7f6754245706	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.653110	3846	cpu/event=0xD0,umask=0x82/u	7f6754242edf	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
pntrch01_lite	84302	[027]	2604140.653357	4031	cpu/event=0xD0,umask=0x82/u	4008ed	GetTestData	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.653994	3317	cpu/event=0xD0,umask=0x82/u	400d92	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.654505	2969	cpu/event=0xD0,umask=0x82/u	400a70	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.654996	2672	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.655434	2407	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.655830	2176	cpu/event=0xD0,umask=0x82/u	400a8a	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.656175	1974	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.656483	1800	cpu/event=0xD0,umask=0x82/u	401046	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.656788	1649	cpu/event=0xD0,umask=0x82/u	401026	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.657068	1512	cpu/event=0xD0,umask=0x82/u	400d8e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.657300	1392	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.657540	1294	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.657773	1129	cpu/event=0xD0,umask=0x82/u	4010e8	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
