            perf 84155 [002] 2604129.202072:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84155 [002] 2604129.202081:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84155 [002] 2604129.202083:          3 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84155 [002] 2604129.202085:         19 cpu/event=0xC0,umask=0x00/u:      7f924e41f005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202090:          1 cpu/event=0x3C,umask=0x00/u:      7f924e41f007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202092:          1 cpu/event=0x3C,umask=0x00/u:      7f924e41f007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202094:          7 cpu/event=0x3C,umask=0x00/u:      7f924e41f007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202096:         47 cpu/event=0x3C,umask=0x00/u:      7f924e41f007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202113:        321 cpu/event=0x3C,umask=0x00/u:      7f924e41f007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84155 [002] 2604129.202115:        525 cpu/event=0x3C,umask=0x00/u:            469d1e perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84155 [002] 2604129.202115:        124 cpu/event=0xC0,umask=0x00/u:            469d1e perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84155 [002] 2604129.202118:       3600 cpu/event=0x3C,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
