            perf 84894 [002] 2604262.856708:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856716:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856718:          3 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856720:         20 cpu/event=0xC0,umask=0x00/u:            406d10 ioctl@plt (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856725:          1 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856727:          1 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856729:          7 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856731:         50 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856733:        362 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856735:       2627 cpu/event=0x3C,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856735:        139 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856740:          1 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856742:          1 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856744:          7 cpu/event=0xD0,umask=0x81/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856746:         50 cpu/event=0xD0,umask=0x81/u:            469d10 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856754:      18163 cpu/event=0x3C,umask=0x00/u:      7f73159fa007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.856756:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856758:          1 cpu/event=0xD0,umask=0x82/u:            406d10 ioctl@plt (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.856758:        238 cpu/event=0xC0,umask=0x00/u:            406d10 ioctl@plt (/usr/lib/linux-tools-4.4.0-194/perf)
